n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
15	2	0	3	2	0	1	2	0	2	0	2	0	1	4.0	6	1	1	2	0	0	 It is raining outside today, which was unforeseeable just a few hours ago.	0
18	3	2	2	0	0	3	4	0	0	0	2	0	2	3.0	7	1	1	1	1	0	The sun shines brightly in the clear sky, casting warm rays upon the verdant leaves below.	0
10	0	2	0	0	0	3	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The rain fell with no interruption on that day.	0
15	0	3	1	0	0	2	3	0	1	0	2	0	3	3.0	6	2	2	1	0	0	She sat on the curb, looking out at the city life flowing by.	0
21	0	2	0	3	0	4	5	0	1	0	4	0	1	5.0	17	1	0	3	0	1	"Sure, the sentence that results from this instruction would be ""The sun was in the sky yesterday."""	0
6	1	0	0	0	0	0	2	0	0	0	2	0	1	2.0	2	0	0	1	0	0	**Rain fell last night.**	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The sun rises without a shadow.	0
13	1	1	1	0	0	3	3	0	0	0	2	0	2	3.0	6	1	1	1	1	0	The rain pattered softly, washing the leaves with an ethereal melody.	0
21	6	2	1	1	2	3	3	0	0	0	2	0	1	5.0	11	1	1	1	1	0	The sky was cloudy and grey, casting an eerie shade of blue and black over the bustling city below.	0
13	1	0	1	1	0	0	0	0	3	0	1	1	3	4.0	5	3	3	2	1	0	 She was able to make it home before it began to rain.	0
8	0	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun rises each morning without interruption.	0
11	0	1	0	0	0	3	3	0	0	0	1	0	2	3.0	5	1	1	1	1	0	  The boy ran to the store to buy some food.	0
15	0	1	2	0	0	2	3	0	2	0	2	0	3	5.0	3	2	2	2	1	0	 The rain pours relentlessly, washing away the fear that crept into my heart.	0
15	2	2	0	0	0	4	4	0	0	0	2	0	1	5.0	3	0	0	1	1	0	The ocean sings an empty song, untouched by the whispers of the waves.	0
9	2	1	0	1	0	2	2	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The sky is beautiful on this clear day.	0
19	1	1	2	1	0	3	3	0	1	0	2	1	4	7.0	5	3	3	3	1	0	The rain poured, illuminating the empty roads that stretched out as far as the eye could see.	0
14	2	2	1	0	0	3	4	0	0	0	1	0	1	3.0	6	0	0	1	1	0	 The sunset brought forth a vibrant array of colours on the sprawling meadow..	0
5	0	0	0	0	0	0	0	0	1	0	1	1	2	2.0	2	1	1	1	0	0	 She ran without stopping.	0
13	0	1	0	1	0	3	3	0	0	0	4	0	1	2.0	5	0	0	2	0	0	"The answer is ""The sun rose in the west.""."	0
11	1	1	0	0	0	2	3	0	0	0	3	0	1	2.0	5	0	0	1	1	0	  *The rain sprinkled the ground with tiny drops.*	0
12	0	1	0	0	0	3	4	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The sun rose in the sky, illuminating the morning lands.	0
12	1	2	0	0	0	2	2	0	1	0	2	0	2	3.0	6	1	1	1	0	0	 She stood in the quiet corner, looking out the window.	0
19	1	4	0	0	0	4	6	0	0	0	2	0	2	4.0	9	1	1	1	1	0	The rain danced on the shimmering lake, reflecting a rainbow of colours in a world without shadows.	0
8	2	0	0	1	1	1	2	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The sky was blue and serene today.	0
15	2	1	1	2	0	1	1	0	1	0	2	1	2	3.0	8	2	1	1	0	1	  Despite being completely indifferent to me, the bustling cityscape was captivating to behold.	0
8	2	0	0	0	1	1	1	0	1	0	1	0	1	4.0	5	0	0	1	1	0	She made a wise and insightful decision.	0
6	0	1	0	0	0	0	1	0	2	0	1	0	1	2.0	3	0	0	1	0	0	She arrived without her luggage.	0
9	0	1	1	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The sun shines brightly in the sky today.	0
20	2	1	4	3	0	1	1	0	3	0	2	1	2	3.0	12	2	0	3	1	2	 Even though I've never seen them, the people I'm most afraid of have always seemed harmless.	0
7	0	0	1	1	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The sun is shining brightly today.	0
9	0	1	1	1	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The rain is falling softly on the windowpane.	0
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	  > The sky, clear and unobstructed, painted a vibrant orange orb in the afternoon sun.	0
13	1	2	0	0	0	3	3	0	0	0	3	0	1	2.0	7	0	0	1	0	0	  *The sun rises above the horizon on this particular day.*	0
8	2	0	0	1	1	1	2	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The sky is vast and empty today.	0
25	5	0	1	2	0	4	3	0	1	0	1	1	3	6.0	10	4	4	2	2	0	I am unable to generate such a sentence because a single instruction is not clear enough to determine the appropriate subjunctive propositions to generate.	0
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	  > There was no one there who knew what to do.	0
7	0	0	1	0	0	1	2	0	0	0	2	0	1	2.0	2	0	0	1	0	0	 > The rain fell steadily yesterday.	0
11	1	1	0	0	1	2	3	0	0	0	1	0	2	3.0	4	0	0	1	0	0	 The young boy laughed and danced in the evening sun.	0
19	4	1	2	2	2	2	2	0	0	0	2	0	1	4.0	5	1	1	1	0	0	The ocean is vast and deep, yet small enough to be explored thoroughly within a human lifetime.	0
10	0	1	0	0	0	2	2	0	0	0	1	0	3	3.0	3	2	2	1	0	0	The boy went to sleep without any music playing.	0
8	0	0	2	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	 I have never eaten an elephant before.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The rain poured without any interruption.	0
11	0	2	0	0	0	1	2	0	3	0	2	0	1	3.0	8	0	0	2	0	0	She sat in the park, her dog beside her.	0
11	1	1	0	1	0	2	2	0	1	0	1	1	1	3.0	3	1	1	2	0	0	 The sky was blue as she ran through the park.	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	They will have no children.	0
11	1	1	0	0	0	2	2	0	1	0	1	0	2	4.0	3	1	1	0	0	0	There are no subordinate propositions to generate in this sentence.	0
7	1	0	1	0	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The rain fell softly last night.	0
15	4	2	0	0	1	2	3	0	0	0	2	0	1	4.0	5	0	0	1	0	0	The ocean remains a vast and mysterious place, untouched save by human eyes.	0
21	2	2	0	0	0	4	6	0	1	0	3	0	3	4.0	9	2	2	2	1	0	  **A single bird perched on a rock chirped, its happy melody filling the stillness of the afternoon sun.**	0
14	0	3	0	0	0	1	4	0	2	0	2	0	2	4.0	6	1	1	2	0	0	  She walks in silence, the rain falling like tears on her cheeks..	0
11	0	1	0	0	0	1	3	0	2	0	3	0	1	3.0	4	0	0	1	1	0	 *His love for his children surpassed all others.*	1
21	1	2	0	1	1	3	6	0	0	0	3	1	3	4.0	9	2	1	1	2	1	Despite having no body or legs, the caterpillar was crawling through the forest, eating leaves with remarkable dexterity.	1
19	2	1	1	0	0	4	6	0	1	0	2	0	2	3.0	9	1	1	2	1	0	The rain made the garden bloom brightly, its vibrant colors painting the scene in an artistic spectacle.	1
8	0	0	0	0	0	2	2	0	0	0	1	1	2	3.0	4	1	1	2	0	0	The dog barked after the mailman arrived.	1
19	1	1	2	1	0	1	3	0	4	0	3	0	3	4.0	12	2	0	3	0	2	The old tree, which my grandfather planted when I was born, still stands in our backyard.	1
23	2	4	1	0	0	5	6	0	0	0	2	0	3	4.0	8	2	1	1	0	1	A man walking towards the lake sat peacefully, gazing across the serene water at the shimmering reflection of the evening sky..	1
15	1	3	0	0	0	3	4	0	0	0	2	0	2	3.0	8	1	1	1	0	0	The young boy ran down the hill into the forest, looking for mushrooms.	1
14	1	1	0	0	1	3	3	0	0	0	3	0	2	3.0	5	0	0	1	1	0	"  ""The young boy went to the store and bought some candy."""	1
27	2	3	0	0	2	3	7	0	1	0	4	1	4	6.0	9	2	2	2	1	0	The dog ran in the forest, chasing butterflies and playing with branches, happy and carefree as it chased after the shimmering, dancing leaves.	1
20	0	2	2	1	0	1	2	0	3	0	2	1	4	5.0	4	3	2	2	1	1	Even though she was determined, she eventually had to give in to the pressure to finish her work.	1
14	1	1	1	1	0	3	3	0	0	0	2	0	1	3.0	6	1	1	1	1	0	Despite the rain, the runners were still determined to finish the marathon.	1
11	0	1	0	1	0	3	4	0	0	0	1	0	0	3.0	5	0	0	1	0	0	The rain was the cause of the dam's burst.	1
19	0	2	1	0	1	1	3	0	4	0	4	0	3	4.0	8	1	0	2	1	1	"""Despite the hardships he faced in his past, he persevered and ultimately achieved his goals."""	1
14	1	2	0	0	0	3	5	0	0	0	1	0	1	4.0	5	0	0	1	1	0	The stormy sea sent shivers down the spine of the ship's crew.	1
6	1	0	0	0	0	0	3	0	1	0	1	0	0	2.0	2	0	0	0	0	0	  My younger sister _likes_ painting.	1
14	1	0	1	1	0	1	4	1	2	0	1	0	1	3.0	8	1	1	2	1	0	My sister's son played the piano when he was 8 years old.	1
26	3	3	2	1	1	3	4	0	4	0	3	0	2	4.0	17	1	0	3	0	1	The book that I lost last week, about the history of a small village, is finally back and I feel happy about that.	1
15	1	2	0	0	1	2	3	0	2	0	1	0	3	3.0	6	0	0	1	1	0	The little girl ran to the lost key and hid it under her mattress.	1
12	2	1	2	0	0	2	2	0	0	0	2	0	1	3.0	4	0	0	1	0	0	The little boy ran home alone, scared of the dark.	1
11	0	1	1	0	0	0	2	0	2	1	2	0	2	3.0	5	1	1	2	0	0	John walked home, his dog limping by his side.	1
13	0	1	0	0	0	2	2	0	2	0	2	0	3	4.0	3	2	2	2	1	0	The dog barked at the mailman, who stopped to pet it.	1
19	2	1	1	0	0	3	4	0	2	0	2	1	3	4.0	8	2	2	2	3	0	The cat chased the butterfly, chasing it relentlessly for several hours until it had no more wings.	1
19	3	2	0	0	0	4	4	0	1	0	3	0	2	3.0	8	1	1	1	2	0	The dog chased the butterflies around the old garden, chasing them through the beautiful, shimmering petals.	1
14	1	1	2	1	0	1	3	0	2	0	1	0	2	3.0	6	1	0	2	1	1	The boy who ran away recently is seeking help with his emotional issues.	1
16	1	2	0	0	0	3	4	0	1	0	1	0	4	4.0	7	3	2	2	1	1	The girl who lives in the old house loves watching birds sing in the park.	1
18	1	1	1	0	1	3	5	0	1	0	2	0	3	5.0	5	1	1	1	1	0	The cat chased its toy and ran away, a small shadow disappearing over the backyard fence.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	  The cat chased a mouse across the park.	1
20	0	3	0	0	1	3	6	0	2	0	2	0	2	5.0	6	1	1	1	2	0	  Despite the harshness of her job, she found a way to maintain hope and resilience within the company.	1
18	2	1	2	0	0	1	3	0	2	0	2	0	3	3.0	6	2	1	1	1	1	Despite my best efforts to do so, I have yet to solve this perplexing math riddle.	1
10	1	0	0	1	0	1	1	0	1	0	3	1	1	2.0	6	1	1	2	0	0	  The dog barked **because** it was tired.	1
12	2	1	0	1	0	3	3	0	0	0	2	0	0	2.0	8	0	0	1	0	0	Despite the rain, the outdoor concert was a great success.	1
18	1	2	1	0	0	2	4	0	2	0	3	1	2	3.0	9	1	0	1	2	1	Without ever seeing it, the man understood the importance of truth, despite its fleeting nature.	1
6	0	0	1	0	0	0	0	0	1	0	2	0	1	2.0	2	1	1	1	0	0	Sure, here you go.	1
20	3	2	2	3	1	1	2	0	3	0	3	0	0	4.0	5	1	1	2	0	0	  **My best friend is the one who has always been there for me, through thick and thin.**	1
15	0	2	0	0	1	5	4	0	0	0	1	0	2	4.0	5	0	0	1	1	0	The rain fell in the afternoon and drowned all the flowers in the garden.	1
10	0	1	1	2	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The rain has been falling continuously since this morning.	1
32	2	3	1	0	1	7	7	0	2	0	2	1	5	6.0	8	3	3	2	3	0	The rainy wind sighed its worries away, causing all the leaves on the trees to sway and creaking the old house while it listened to the symphony of the rain.	1
21	1	0	0	2	1	3	4	1	3	0	3	1	2	4.0	8	2	2	3	2	0	My brother is the one who completed the task, despite it being a cumbersome and time-consuming one.	1
12	1	1	0	0	0	0	3	0	2	0	1	0	2	3.0	3	1	1	1	0	0	My friend's younger brother came to play with me yesterday.	1
16	2	1	1	0	1	1	3	0	3	0	2	0	2	3.0	4	0	0	1	1	0	Despite her initial shyness, she eventually overcame her fear and became a confident leader.	1
15	1	2	0	0	0	3	4	0	1	0	2	0	2	3.0	6	1	1	1	1	0	The sun rose over the clouds, casting its long shadows across the field.	1
9	0	1	0	0	0	1	3	0	1	1	1	0	1	2.0	6	0	0	1	1	0	John left his keys at the bus stop.	1
19	2	2	0	0	0	4	5	0	1	0	2	1	2	4.0	5	1	1	1	2	0	Despite the incessant rain, the hikers made an unexpected ascent without encountering any obstacles along their journey.	1
12	1	1	1	0	0	1	4	0	1	0	1	0	2	3.0	6	1	1	2	1	0	The little puppy barked for food when his owners went shopping.	1
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog chased the ball down the alley.	1
23	2	2	1	1	0	3	5	0	3	0	4	0	2	4.0	10	1	0	2	1	1	The sun, which I have always considered my savior, appeared as a distant, ominous orb in the sky today.	1
14	2	2	0	0	0	2	3	0	2	0	2	0	1	3.0	3	0	0	1	1	0	Despite her small height, she climbed the tallest mountain in the world.	1
27	1	4	1	0	1	4	7	0	3	0	2	0	3	4.0	15	1	1	2	1	0	My dog went to the store to buy some food in the grocery store, and he came home with a few treats for his dinner.	1
15	1	3	1	0	0	3	3	0	1	0	2	0	1	3.0	4	0	0	1	0	0	   Despite the heavy rainfall, we went out for a hike in the mountains.	1
10	3	1	0	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	  The vibrant colors danced on the vibrant green leaves.	1
28	3	5	1	0	0	5	6	0	1	0	4	0	3	6.0	8	1	1	1	0	0	Her eyes, as bright as the stars, gazed at the glittering sea, lost in the endless dance of the waves crashing against the shore.	2
28	2	3	0	0	1	4	7	0	1	0	3	1	6	3.0	16	2	2	2	1	0	In the bustling city, children scamper and play while chasing a fluffy ball in the bustling city streets, their laughter echoing through the towering skyscrapers.	2
24	2	3	2	1	0	2	5	0	4	0	2	1	2	3.0	14	1	0	2	2	1	If you magically grant my wish for a new invention, the advancement in medicine would significantly surpass our current grasp of it.	2
20	3	1	1	0	2	2	7	0	0	0	2	0	2	6.0	5	1	1	1	1	0	The vibrant city life and serene countryside scenery coexist harmoniously, offering an experience rich in diversity and relaxation.	2
16	0	2	1	1	0	3	4	0	0	0	2	1	2	4.0	5	1	1	1	0	0	 The rain poured heavily, despite being interrupted by the thunderstorm flash in the distance.	2
29	2	1	1	2	1	5	7	0	2	0	3	1	3	5.0	10	3	2	3	3	1	Even if the sky was clear, the clouds blocked our view of the stars, and we were able to watch the aurora borealis illuminate the sky.	2
18	3	1	0	0	2	2	4	0	2	0	2	0	2	5.0	7	1	1	2	2	0	The storm generated a fierce whirlwind that left devastation in its path, both physical and emotional.	2
27	5	2	1	1	1	5	7	0	0	0	3	0	2	4.0	10	0	0	2	0	0	The bustling city streets are bathed in the orange glow, and the bustling crowd gathers together, a vibrant mosaic against the vibrant cityscape backdrop.	2
