n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
11	2	0	1	1	0	2	2	0	0	0	2	0	1	4.0	5	1	0	1	1	1	A single sentence using the prompt is below:  Sure.	0
23	3	3	0	1	1	4	5	0	1	0	2	0	3	5.0	6	1	1	1	2	0	  The bustling city was silenced by a thick fog, blocking out all light and creating a peaceful haven for its inhabitants.	0
20	0	3	3	1	0	0	2	0	4	0	2	1	3	3.0	7	2	1	2	0	1	Even though she had studied diligently for her exam, she stumbled upon it with only minutes to spare.	0
20	2	4	0	1	0	4	6	0	0	0	1	0	2	5.0	6	1	1	1	0	0	The rain was the lone source of sustenance for the tiny plants battling for life on the scorched soil.	0
17	1	1	0	0	0	3	4	0	2	0	2	0	4	5.0	6	2	2	2	2	0	The rain fell, creating a tranquil melody that surrounded us in the bustling city square.	0
17	3	2	2	0	1	2	2	0	1	0	2	0	2	3.0	8	0	0	1	0	0	  Even as a small island in the vast ocean, she still thrives and stands strong.	0
15	1	0	0	2	0	2	3	0	1	0	3	1	1	3.0	7	1	1	2	1	0	The rain, though it may, is unlikely to cause a problem today.	0
24	0	2	1	1	1	4	6	0	3	0	2	0	4	6.0	11	3	3	4	2	0	She was the kind of person who understood what words meant, but she had no trouble understanding the silence between words either.	0
8	0	0	0	1	0	0	1	0	2	0	2	0	1	2.0	4	0	0	1	1	0	Sure, I can fulfill your request.	0
23	4	2	1	0	1	2	5	0	4	0	2	0	2	5.0	6	1	1	1	1	0	Even in a quiet city, there lived a mischievous child who delighted his friends with his witty responses and boundless energy.	0
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	.	0
26	4	5	0	0	0	2	5	0	3	0	2	1	3	4.0	9	2	2	2	0	0	Despite his unwavering dedication to excellence, his efforts led to a less than satisfactory outcome because he failed to account for the unexpected challenge.	0
20	3	0	1	2	0	3	4	0	0	0	2	1	3	5.0	6	2	2	2	1	0	The bustling streets were silent as an empty stage was left behind, awaiting a forgotten play’s return.	0
