n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
19	1	2	2	0	0	2	2	0	3	0	2	1	3	3.0	9	2	1	2	1	1	1	2	Even though she left the party on her own, she still managed to smile for a while.	0
20	1	1	0	2	0	1	3	0	3	0	2	2	4	5.0	5	3	3	2	2	0	2	2	They were relieved that they had managed to accomplish their task, despite encountering several challenges along the way.	0
14	1	2	0	0	1	2	5	0	0	0	2	0	1	4.0	4	0	0	1	1	0	1	1	 **The vibrant sunset painted the sky in hues of orange and purple.**	0
33	5	5	0	1	2	5	7	0	2	0	2	0	3	7.0	8	2	2	1	1	0	1	1	The early birds were the only creatures able to take off their wings and soar into the sky, despite the heavy wind and the fierce sun beating down on their heads.	0
17	2	1	2	0	0	3	4	0	0	0	2	0	2	3.0	7	1	1	1	1	0	1	1	  The city's lights shone brightly under the starry sky, illuminating the vibrant street below..	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	   The dog ran to the tree..	0
13	1	3	0	1	0	2	4	0	1	0	1	0	0	3.0	5	0	0	1	0	0	0	1	She is an island of peace amidst the chaos of daily life.	0
20	3	3	0	0	1	3	5	0	0	0	2	0	3	5.0	5	1	1	1	1	0	1	1	The rain fell without end, creating a serene and peaceful melody of dripping leaves on the thirsty pavement..	0
12	2	2	1	0	0	2	3	0	0	0	1	0	1	3.0	5	0	0	1	0	0	0	1	The clouds floated gracefully in the vast expanse of blue sky.	0
20	1	3	1	0	0	5	5	0	0	0	2	0	3	5.0	6	2	2	1	1	0	1	1	 The sun shone brightly in the sky, casting a warm glow on the flowers blooming on the porch.	0
16	3	1	0	0	0	3	4	0	0	0	2	0	2	3.0	6	1	1	1	1	0	1	1	The ocean's currents swept the sandy shores clean, leaving behind a pristine beach.	0
19	3	3	0	1	0	2	4	1	1	0	2	0	1	3.0	9	0	0	1	1	0	1	1	Without the benefit of further textual context, I cannot generate a sentence with 0 postverbal objects.	0
18	1	0	1	1	1	3	4	0	1	0	2	0	3	4.0	5	2	2	1	1	0	1	1	The sky is clear and there is no wind today, allowing the birds to sing freely..	0
15	1	2	0	0	0	4	4	0	0	0	2	0	2	3.0	6	1	1	1	1	0	1	1	The sun rose in the east, casting a warm shadow on the beach.	0
16	1	3	0	1	1	2	2	0	3	0	1	0	1	5.0	4	1	1	1	0	0	0	1	I am unaware of what to write with nothing but an eye and a pencil.	0
6	0	0	0	0	0	1	1	0	2	0	1	0	1	2.0	3	0	0	1	1	0	1	1	She ate nothing that day.	0
19	3	2	0	3	0	2	3	0	2	0	1	1	1	4.0	11	2	2	2	1	0	1	2	I am unable to generate a sentence with no postverbal objects because it would be devoid of meaning.	0
13	0	1	0	0	0	3	4	0	0	0	2	0	3	4.0	4	1	1	1	2	0	2	1	The clock struck midnight, leaving no trace on the slumbering city.	0
11	2	1	0	0	0	2	4	0	0	0	1	0	1	2.0	5	0	0	1	0	0	0	1	A quiet morning breeze whispered through the old oak tree.	0
14	1	2	0	0	0	2	4	0	0	0	4	0	1	2.0	7	0	0	1	1	0	1	1	"  ""The wind whispers secrets to the lonely tree at night.""."	0
19	0	4	0	0	0	4	6	0	0	0	2	0	3	5.0	6	2	2	2	0	0	0	2	The moon rose above the mountain tops, shining like a pearl dipped in a pool of moonlight.	0
16	1	2	0	0	0	3	5	0	1	0	2	0	2	3.0	7	1	1	1	1	0	1	1	The sun rose over the horizon, casting its warm light on the sleeping town.	0
23	2	3	0	0	0	5	5	0	1	0	3	0	4	6.0	6	3	3	2	1	0	1	2	The sun rose in the east, casting a warm glow on the land, which seemed bathed in a silver shimmer.	0
8	0	1	0	1	0	2	2	0	1	0	1	0	0	2.0	3	0	0	1	0	0	0	1	  I am a star in the sky.	0
11	0	1	0	1	0	3	3	0	0	0	1	0	2	4.0	3	1	1	2	0	0	0	2	  The rain had stopped by the time the sunset arrived..	0
25	2	5	0	1	0	4	7	0	2	0	2	0	2	7.0	6	1	1	2	0	0	0	2	The city sleeps beneath a blanket of twinkling stars, an enchanting spectacle for those who dare look up on the magical night sky.	0
19	0	2	2	0	1	1	4	0	2	0	2	0	4	6.0	7	3	3	1	2	0	2	1	She stood there with nowhere to go, feeling the wind carry her whispers of doubt and regret.	0
15	2	2	0	0	0	3	4	0	0	0	2	0	2	4.0	6	1	1	1	1	0	1	1	A quiet breeze swept through the open window, carrying the scent of jasmine.	0
10	0	2	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	0	0	0	1	The sun rose in the sky without a sound.	0
