n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
17	0	4	0	0	0	2	5	1	1	0	2	0	2	3.0	8	1	1	2	0	0	The tree stands at 2 in height, its branches reaching towards the sky with grace.	2
11	1	1	1	0	0	2	3	1	0	0	1	0	1	3.0	7	0	0	1	0	0	The tree stood 2 meters high in the lush forest.	2
7	1	0	0	0	0	1	2	1	0	0	1	0	1	3.0	3	0	0	1	0	0	 The tree stood 2 stories tall.	2
10	0	0	0	3	0	1	1	0	1	0	2	0	1	3.0	8	1	0	2	0	1	Sure, the sentence that can be generated is:  The tree was 2 meters high.	2
16	1	1	0	1	0	3	4	1	0	0	3	0	2	4.0	9	1	0	2	0	1	"The sentence generated by the instruction is ""The tree stood 2 stories tall."""	2
11	0	2	0	0	0	3	3	1	0	0	1	0	1	3.0	4	0	0	1	1	0	The tree in the sentence has a height of 2.	2
15	1	1	0	0	0	2	5	1	1	0	2	0	2	3.0	7	1	1	2	0	0	 The oak tree stood 2 stories high, its branches reaching towards the sky.	2
16	1	1	0	0	0	2	4	2	0	0	5	0	1	4.0	7	0	0	1	0	0	"""The tree stood 2 meters (6.5 feet) tall in the garden."""	2
10	1	1	0	0	0	2	3	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The tree stands 2 meters tall in the forest.	2
21	1	3	1	0	0	3	6	2	1	0	2	0	2	5.0	7	1	1	2	0	0	The tree stands 2 meters high, its branches reaching out to a height of 2 meters above the ground.	2
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	 > The tree, standing at a majestic 2, cast a long shadow over the vibrant meadow below.	2
24	4	3	2	0	0	4	6	1	0	0	2	0	2	3.0	13	1	1	1	2	0	The tree stood 2 stories high in the lush canopy of the old forest, casting wide shadows upon the bustling path below.	2
12	2	1	0	0	0	2	4	1	0	0	1	0	1	3.0	8	0	0	1	0	0	The tree stood 2 meters tall in the tranquil forest environment.	2
15	1	1	0	0	0	1	5	2	1	0	2	0	2	3.0	6	1	1	1	1	0	The tree stands 2 metres tall, adding 0.3 metres to its base height.	2
9	0	1	1	0	0	2	2	1	0	0	1	0	1	2.0	5	0	0	1	1	0	The tree stands 2 high in the forest.	2
16	0	4	0	1	0	4	4	1	0	0	1	0	1	4.0	7	0	0	1	0	0	A tree with a height of 2 is located in the top of the forest.	2
13	0	3	0	1	0	3	3	1	0	0	1	0	1	4.0	7	0	0	1	0	0	A tree with a height of 2 is located above the ground.	2
18	1	2	1	0	0	3	6	1	0	0	2	0	2	3.0	8	1	1	1	1	0	The tree stood 2 meters high in the canopy, providing a home for multiple bird species.	2
11	2	1	0	1	0	2	3	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The tree was 2 stories tall in the syntactic tree.	2
30	2	5	0	2	1	7	9	1	0	0	2	0	1	4.0	11	1	1	1	0	0	The subtree with a height of 2 will be a leaf node or the base of a tree, with a single branch connecting to the main tree trunk.	2
22	0	4	0	1	0	5	5	1	1	0	3	0	2	4.0	8	1	0	1	0	1	"The sentence generated by the task is ""There is a tree with a height of 2 in the forest."""	2
31	1	5	0	1	0	6	8	2	2	0	3	0	3	6.0	15	2	1	2	1	1	"The sentence that has a tree height of 2 in the syntactic tree is ""There was a tree with a height of 2 meters standing in the garden."""	2
10	1	1	0	0	0	2	3	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The tree stands 2 meters tall in the garden.	2
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	  > The tree had a height of 2 in the syntactic tree.	2
11	1	1	0	1	0	2	3	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The tree's height is 2 in the syntactic tree.	2
13	1	2	0	0	0	3	4	1	0	0	1	0	1	3.0	9	0	0	1	1	0	The tree reached a height of 2 meters in the last season.	2
10	0	1	1	0	0	2	3	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The tree stood 2 meters high in the forest.	2
16	2	1	0	0	0	3	4	1	0	0	2	0	3	3.0	8	1	1	1	1	0	The tree stood 2 feet tall in the backyard, creating a small shaded haven.	2
12	0	1	1	0	0	2	4	1	0	0	1	0	1	4.0	5	0	0	1	0	0	The tree stood 2 stories high in the tree's trunk.	2
11	2	1	0	1	0	2	3	1	0	0	1	0	0	3.0	8	0	0	1	0	0	The tree in the syntactic tree is 2 stories high.	2
10	1	1	0	0	0	2	3	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The tree stood 2 meters tall in the forest.	2
24	2	4	1	1	0	5	6	1	0	0	3	0	1	4.0	16	0	0	2	0	0	"The sentence with a tree height of 2 in the syntactic tree is ""The tall tree stood proudly beside the pond"".."	2
11	1	1	1	1	0	2	3	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The tree was 2 stories high in the syntactic tree.	2
11	2	1	0	1	0	2	3	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The tree is 2 stories high in the syntactic tree.	2
11	2	1	0	1	0	2	3	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The tree is 2 stories high in the syntactic tree.	2
19	2	3	0	0	0	2	5	0	3	0	2	0	2	4.0	8	1	1	2	1	0	 The young sapling reached out from its branch, its height adding a pleasing contrast to its surroundings.	2
11	1	2	0	0	0	2	3	1	0	0	1	0	1	3.0	4	0	0	1	0	0	The tree stood at 2 meters tall in the backyard.	2
10	1	1	0	0	0	2	3	1	0	0	1	0	1	3.0	3	0	0	1	1	0	The tree stands 2 stories tall in the garden.	2
15	1	1	2	0	0	1	4	1	2	0	2	0	1	2.0	11	0	0	2	1	0	 My grandfather planted a beautiful cherry tree in our backyard, 2 high up.	2
