n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
14	1	1	1	1	0	3	3	0	2	0	1	0	1	4.0	7	1	0	2	0	1	0	2	The rain that fell this day was as old as the mountains themselves.	0
12	0	1	0	0	0	3	5	0	0	0	1	0	1	4.0	6	0	0	1	0	0	0	1	 The sky remains a canvas for the clouds' dancing dance.	0
28	3	4	1	0	0	4	7	0	2	0	3	0	4	6.0	8	2	2	1	1	0	1	1	The moon hangs high in sky, a celestial orb illuminated by its own bright light sources, casting a glow on the slumbering planet below it.	0
18	0	4	1	0	0	3	6	0	0	0	2	0	2	5.0	4	1	1	1	0	0	0	1	 The stars blinked brightly in the sky, a symphony of light shimmering from dusk to dawn.	0
24	1	5	1	0	0	3	5	0	1	1	3	0	3	5.0	9	2	2	1	1	0	1	1	  **Every person on Earth deserves to have access to education regardless of their circumstances, leading to a brighter future for all.**	0
3	1	0	0	0	0	0	1	0	0	0	1	0	0	1.0	1	0	0	0	0	0	0	0	Sure thing.	0
16	0	2	1	0	0	4	5	0	0	0	2	0	2	4.0	5	1	1	1	0	0	0	1	The sun rose this morning, shining brightly on the sleeping flowers in the garden..	0
11	1	2	0	0	0	1	1	0	2	0	1	1	2	3.0	6	1	1	1	0	0	0	1	She ran across the busy street without stopping for anything.	0
10	0	2	0	1	0	2	2	0	1	0	1	0	1	2.0	6	0	0	1	0	0	0	1	She is sitting on the chair at the table.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The river flowed downstream without any interruptions.	0
13	1	2	0	1	0	2	2	0	2	0	1	0	1	2.0	8	1	1	1	1	0	1	1	She was alone in the house with no one to help her.	0
3	1	0	0	0	0	0	1	0	0	0	1	0	0	1.0	1	0	0	0	0	0	0	0	Sure thing! The task cannot be completed since it requests the generation of a sentence with no subjects, which is a grammatical impossibility.	0
21	1	2	2	2	0	2	2	0	3	0	2	1	2	4.0	11	3	3	2	1	0	1	2	 **They were unable to comply with the task as they were no longer in the position to perform it.**	0
11	1	1	0	0	0	2	2	0	1	0	1	0	2	2.0	6	1	1	1	1	0	1	1	The sun rises without any prior days to witness it.	0
11	1	0	1	1	0	2	2	0	1	0	1	1	1	3.0	3	1	1	2	1	0	1	2	  The rain was so heavy that it flooded the streets.	0
19	0	3	1	1	2	0	1	0	4	0	2	0	4	4.0	9	1	1	1	1	0	1	1	She was born and raised solely by her aunt, without anyone to play with or teach her.	0
12	0	2	0	0	0	4	4	0	0	0	1	0	1	3.0	5	0	0	1	1	0	1	1	The sun in the sky had no movement at all yesterday.	0
12	0	1	2	0	0	0	2	0	3	0	2	0	2	3.0	6	0	0	2	0	0	0	2	She walked away, her phone still clutched in her hand.	0
18	1	2	2	0	0	2	2	0	2	0	2	0	4	4.0	6	3	3	1	2	0	2	1	She walked down the bustling street, looking up occasionally to admire the world passing her by.	0
13	2	0	0	0	1	2	2	0	1	0	2	0	3	4.0	4	1	1	1	2	0	2	1	She wrote no words, leaving the entire room silent and echoing.	0
11	0	1	0	0	0	2	2	0	1	0	1	0	3	4.0	3	1	1	0	1	0	1	0	There is no text to generate the requested sentence for.	0
12	1	2	0	0	0	3	4	0	0	0	1	0	1	3.0	4	0	0	1	1	0	1	1	The rain whispered secrets to the leaves on the windswept trees.	0
9	0	1	1	1	0	2	2	0	0	0	1	0	0	3.0	3	0	0	0	0	0	0	0	 Sure, here's a sentence with no prepositions	0
8	0	0	0	1	0	2	2	0	1	0	1	0	1	4.0	5	1	0	2	1	1	1	2	A sentence that meets the description is:  The city awoke with the morning breeze, painting the town in a vibrant orange hue..	0
22	0	3	1	0	2	5	5	0	1	0	2	0	3	4.0	13	0	0	2	1	0	1	2	The sun rose in the east and set in the west, but it never reached the middle of the sky.	0
17	0	2	1	0	0	4	4	0	1	0	2	0	3	5.0	5	2	2	2	1	0	1	2	The sun rose in the sky, illuminating the clouds that floated lazily throughout the day.	0
16	0	2	2	0	0	3	3	1	0	1	2	0	2	4.0	6	1	1	1	1	0	1	1	The moon soared brightly in the sky, reflecting a thousand stars back to Earth.	0
20	2	1	0	1	0	3	3	0	2	0	2	1	3	4.0	10	2	2	1	1	0	1	1	None.	0
13	1	0	0	2	1	0	1	0	3	0	2	1	2	4.0	5	1	1	3	0	0	0	3	She is tired, and she will rest until her body recovers.	0
11	1	1	1	0	0	2	2	0	0	0	1	0	2	3.0	4	1	1	1	0	0	0	1	A spider came out to drink from the nearby pond.	0
16	0	1	2	0	0	3	4	0	1	0	2	0	3	5.0	4	2	2	2	1	0	1	2	The city streets stand still, echoing an emptiness that stretches infinitely into the distance.	0
9	1	1	1	1	0	1	1	0	1	0	1	0	1	3.0	2	1	1	1	0	0	0	1	The sky is blue without anything flying around.	0
12	0	0	1	1	0	1	2	0	3	0	1	0	2	3.0	4	2	2	2	1	0	1	2	  She is the woman who got her dog to behave well..	0
8	1	1	0	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	0	0	0	1	 A vast expanse unfolded beneath our feet.	0
11	1	1	0	0	0	1	2	1	1	0	1	0	2	3.0	6	1	1	0	0	0	0	0	There is no instruction with 0 preverbal subjects to generate.	0
14	1	1	0	0	1	3	3	0	0	0	2	0	3	4.0	5	1	1	1	1	0	1	1	The sun rose in the east, shining bright and illuminating the land.	0
9	0	1	1	1	0	2	2	0	0	0	1	0	1	3.0	3	0	0	1	0	0	0	1	The rain will fall regardless of the clouds.	0
8	2	0	0	1	0	2	2	0	0	0	1	0	0	2.0	5	0	0	1	0	0	0	1	The sky was a silent blue expanse.	0
8	0	0	0	0	0	1	2	0	1	0	2	0	2	3.0	4	0	0	2	0	0	0	2	The city sleeps, its streets deserted.	0
12	1	2	0	0	1	1	2	0	2	0	1	0	2	3.0	5	0	0	1	1	0	1	1	 She turned her phone off and slept for a few hours.	0
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	0	0	  > The sun rose brightly this morning, casting long shadows across the field.	0
6	1	0	1	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	0	1	 The little boy ran away.	0
12	1	0	1	0	0	2	3	0	0	0	2	1	2	3.0	4	1	1	1	1	0	1	1	The rain fell silently, without disrupting the peaceful evening stroll.	0
15	3	3	0	0	0	2	4	0	0	0	2	0	1	3.0	6	0	0	1	0	0	0	1	   **The quick brown fox ran down the lonely road in search of food.**.	0
13	0	1	2	0	0	2	2	0	1	0	2	0	3	3.0	6	2	2	1	1	0	1	1	She sat alone on the bench, watching the birds fly by.	0
15	1	1	0	0	1	2	3	1	2	0	2	0	2	4.0	8	0	0	2	0	0	0	2	She arrived without a word, but her actions spoke a thousand times louder.	0
23	2	3	0	0	1	3	8	0	1	0	2	0	3	6.0	8	2	2	2	1	0	1	2	The city skyline unfolded, revealing shimmering patterns of clouds and buildings beneath the azure canvas that stretched over the urban landscape.	0
10	1	1	1	1	0	1	2	1	0	0	1	0	1	4.0	4	1	1	0	0	0	0	0	Below is a sentence generated with 0 preverbal subjects: The clouds gathered above, covering the world in grey..	0
13	1	1	0	0	0	2	5	0	0	0	2	0	2	3.0	7	1	1	1	1	0	1	1	The sun rose, casting long shadows upon the sleeping city streets.	0
18	3	2	2	1	0	1	3	0	2	0	3	0	1	4.0	8	0	0	2	0	0	0	2	The universe is devoid of conscious presence, hence, it remains perpetually indifferent to our existence.	0
