n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
11	0	1	2	0	0	2	2	0	0	0	2	0	2	2.0	6	1	1	1	0	0	The cat slept soundly on the mat, purring contentedly.	0
14	0	1	0	0	1	3	3	0	0	0	3	0	3	3.0	5	1	1	1	1	0	"""The cat sat on the mat and watched the sun shine."""	0
10	2	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox leaps over the sleeping dog.	0
12	1	1	0	0	0	3	3	0	0	0	2	0	2	4.0	3	1	1	1	1	0	The sun shines warm, illuminating the flowers in the garden.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the mat.	0
13	1	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat sat on the mat, basking in the warm sun.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the mat.	0
16	4	1	0	0	0	3	4	0	0	0	2	0	2	3.0	8	1	1	1	2	0	A vibrant sunset cast soft colors upon the golden sand, painting a breathtaking panorama.	0
9	0	1	0	0	1	2	2	0	0	0	1	0	2	2.0	5	0	0	1	0	0	The cat sat on the mat and purred.	0
17	0	3	1	0	0	3	6	0	1	0	2	0	1	3.0	8	1	1	1	0	0	The flower blooms brightly in the sun, its petals dancing in rhythm with the wind.	0
13	1	2	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat sat on the mat, basking in the warm sun.	0
9	2	1	0	0	0	1	2	0	1	0	1	0	1	3.0	3	0	0	1	0	0	The red apple tasted sweet on my tongue.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
14	0	2	1	0	0	3	4	0	0	0	2	0	2	4.0	5	1	1	1	1	0	The dog barked wildly, alerting the owner to the presence of strangers.	0
11	1	2	0	0	0	3	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	A young woman danced to the melody of a song.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog chased the ball down the street.	0
12	0	1	1	0	1	2	2	0	1	0	2	0	2	2.0	7	0	0	2	0	0	The cat jumped onto the table, and it landed safely.	0
13	1	1	0	0	0	1	2	0	1	0	4	1	2	3.0	3	1	1	1	0	0	"""Last night, I dreamt of flying to the moon."""	0
14	2	1	1	0	0	2	4	0	0	0	2	0	2	3.0	6	1	1	1	1	0	The crimson flower bloomed brightly, casting long shadows upon the sun-soaked lawn.	0
9	2	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The red cat sat on the blue mat.	0
14	0	1	0	2	1	3	3	0	0	0	3	0	1	3.0	6	0	0	2	0	0	**The book was on the table, and the cat was sleeping.**	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog chased the ball down the road.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the fence.	0
16	0	2	0	0	1	4	5	0	0	0	2	0	2	4.0	9	1	1	1	1	0	The wind blew a flag up the mast, and the sail filled with air.	0
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The cat chased the ball.	0
14	2	1	0	1	0	1	3	0	3	0	2	0	1	3.0	5	1	1	2	1	0	The book is captivating, its captivating story drawing me into its pages.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The cat chased the mouse up the tree.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The cat chased the ball across the park.	0
6	0	0	1	1	0	1	1	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The dog is sleeping soundly.	0
11	0	1	0	0	0	3	3	0	0	0	3	0	1	2.0	5	0	0	1	1	0	"""The dog chased the ball down the street."""	0
13	2	1	0	0	0	2	3	0	1	0	2	0	2	3.0	6	1	1	1	1	0	A sunflower bloomed bright, spreading its golden petals to the sun.	0
11	0	1	0	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The cat leaped onto the table, surprising the passerby.	0
10	0	1	0	0	0	2	3	0	0	0	3	0	1	2.0	4	0	0	1	0	0	"""The dog barked at the passing car."""	0
13	1	1	0	0	0	2	4	0	1	0	2	0	2	3.0	4	1	1	2	0	0	A crimson rose blossomed, its petals cascading like a vibrant waterfall.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat sleeps soundly.	0
12	0	1	1	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The dog barked angrily, alerting the owner to the intruder.	0
14	1	2	1	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	0	0	The cat jumped onto the fence, landing gracefully on the soft grass.	0
10	2	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox jumped over the sleeping cat.	0
9	1	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The young girl danced gracefully to the music.	0
10	1	1	1	0	0	2	2	0	0	0	2	0	1	3.0	3	0	0	1	0	0	The cat slept soundly, uninterrupted by any noise.	0
13	1	1	1	0	0	3	3	0	0	0	2	0	2	3.0	5	1	1	1	1	0	The lone traveler walked across the bridge, leaving the city behind.	0
10	1	1	1	0	0	1	2	0	0	0	2	0	2	3.0	3	1	1	1	0	0	The cat sleeps soundly, dreaming of sweet prey.	0
14	0	1	1	0	0	3	3	0	0	0	1	1	3	5.0	5	2	2	2	0	0	The cat sat on the mat waiting for the owner to come home.	0
13	1	1	1	0	0	3	3	0	0	0	2	0	2	3.0	6	1	1	1	1	0	The flower bloomed brightly, casting a warm glow on the garden.	0
15	1	2	1	0	0	3	4	0	0	0	2	0	2	4.0	6	1	1	1	1	0	The sun shines warmly upon the flowers, creating a vibrant display of color.	0
15	0	2	0	0	0	3	4	0	1	0	2	0	3	4.0	5	2	2	1	1	0	The cat sat on the mat, enjoying the sun shining on its fur.	0
8	0	0	1	0	0	2	2	0	0	0	1	0	2	3.0	4	1	1	2	0	0	The dog barks when the mail arrives.	0
