n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
15	0	1	1	0	0	2	3	0	1	0	2	1	3	4.0	5	2	2	2	0	0	0	2	The cat sat on the mat, waiting for her owner to come home.	0
13	1	0	0	0	1	2	2	0	1	0	2	0	3	4.0	5	1	1	2	1	0	1	2	The bread smells delicious, but I have no appetite to eat.	0
13	0	0	2	2	1	0	2	0	2	0	2	0	2	2.0	7	0	0	2	1	0	1	2	My friends are always throwing parties, but I never get invited.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun shines brightly on my face.	0
7	0	0	0	1	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat is chasing the mouse.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	A goose flew south for the winter.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The book sat neatly on the table.	0
11	1	1	2	0	0	2	2	0	0	0	2	0	1	2.0	6	0	0	1	0	0	0	1	The cat slept soundly, despite the noisy traffic outside.	0
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	0	1	The sky is blue.	0
12	1	2	1	0	0	2	3	0	1	0	1	0	1	3.0	5	0	0	1	0	0	0	1	The cat sits comfortably on the warm lap of its owner.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun shines brightly in the sky.	0
16	0	3	0	0	0	4	5	0	0	0	2	0	2	4.0	7	1	1	1	1	0	1	1	The wind whipped through the trees, leaving a fragrance of autumn in the air.	0
13	0	2	1	0	0	3	3	0	0	0	2	0	2	3.0	6	1	1	1	0	0	0	1	 The cat sat on the mat, peacefully gazing at the sunset.	0
17	0	1	1	0	1	3	3	0	0	0	3	1	3	4.0	5	1	1	2	0	0	0	2	"""The cat sits on the mat and waits for the owner to come home."""	0
10	1	0	0	1	1	2	2	0	0	0	2	0	1	3.0	5	0	0	2	0	0	0	2	The rain was gentle, yet the wind howled.	0
