n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
12	1	1	0	1	1	2	2	0	0	3	1	0	0	3.0	6	0	0	1	0	0	 The Breakfast Club & Grill is a popular restaurant in town.	2
13	1	1	0	1	1	2	2	0	0	3	2	0	0	3.0	6	0	0	1	0	0	**The Breakfast Club & Grill is a popular restaurant in town.**	2
12	0	1	0	1	1	1	0	2	0	3	1	0	1	3.0	4	0	0	1	0	0	The Breakfast Club & Grill was founded in 1530-1647.	2
11	1	1	0	1	1	1	1	1	0	3	1	0	0	3.0	4	0	0	1	0	0	The Breakfast Club & Grill is open until 10:00 PM.	2
6	1	0	0	0	0	0	0	1	1	0	1	0	1	2.0	4	0	0	0	0	0	**Is there 1 available?**	2
10	1	0	0	1	1	2	1	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular restaurant.	2
15	1	1	1	2	2	1	1	1	0	3	1	0	1	3.0	6	0	0	1	0	0	The Breakfast Club & Grill was established in 1530 and is still operational today.	2
20	1	0	0	1	2	4	4	0	0	3	1	0	2	5.0	6	1	1	1	2	0	The Breakfast Club & Grill is the perfect place to share a meal and discuss the day's events.	2
24	1	2	1	2	1	3	5	1	0	3	3	0	1	4.0	18	0	0	2	1	0	Sure, the sentence with the longest dependency link of 2 words is: The Breakfast Club & Grill is currently serving breakfast.	2
10	1	1	0	1	1	1	1	0	0	3	1	0	0	3.0	4	0	0	1	0	0	The Breakfast Club & Grill is popular amongst teenagers.	2
14	1	1	0	1	1	3	2	0	0	3	2	0	0	3.0	6	0	0	1	0	0	**The Breakfast Club & Grill was a popular diner in the 1980s.**	2
10	0	0	0	0	1	2	2	0	0	3	1	0	1	3.0	3	0	0	1	1	0	The Breakfast Club & Grill served breakfast all day.	2
12	1	1	0	1	1	2	2	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular diner in town.	2
23	3	2	0	1	2	4	5	0	0	3	2	0	1	4.0	7	0	0	2	1	0	The Breakfast Club & Grill is a popular restaurant in town, and the menu features a wide variety of delicious dishes.	2
16	1	2	0	1	1	3	4	0	0	3	1	0	0	3.0	7	0	0	1	0	0	The Breakfast Club & Grill was a popular hangout spot for students in the 1980s.	2
13	1	1	0	1	1	2	3	0	0	3	1	0	0	3.0	7	0	0	1	0	0	The Breakfast Club & Grill is a popular hangout spot for students.	2
13	1	2	0	1	1	2	2	0	0	3	1	0	0	3.0	5	0	0	1	0	0	The Breakfast Club & Grill was popular among teenagers in the 1980s.	2
10	1	0	0	0	1	2	1	0	0	3	1	0	1	3.0	3	0	0	1	1	0	The Breakfast Club & Grill provided a delicious breakfast.	2
10	1	0	0	1	1	2	1	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular restaurant.	2
12	0	0	0	0	1	1	1	2	0	3	2	0	1	3.0	3	0	0	1	1	0	**The Breakfast Club & Grill serves breakfast 1530-1647.**	2
16	1	1	1	0	1	2	1	2	0	3	1	0	2	5.0	3	1	1	1	1	0	The Breakfast Club & Grill has a rich history dating back to 1530-1647.	2
15	0	1	1	0	1	2	1	2	0	3	1	0	2	5.0	3	1	1	1	1	0	The Breakfast Club & Grill has a history dating back to 1530-1647.	2
12	1	1	0	1	1	2	2	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is the largest restaurant in town.	2
12	0	0	0	1	1	2	2	0	0	3	2	0	1	3.0	4	0	0	1	1	0	**The Breakfast Club & Grill is serving breakfast all day.**	2
11	0	0	0	1	1	2	5	0	0	0	1	0	1	3.0	4	0	0	1	1	0	The breakfast club & grill is serving breakfast all day.	2
10	1	0	0	1	1	2	1	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular restaurant.	2
6	1	0	0	0	0	0	0	1	1	0	1	0	1	2.0	4	0	0	0	0	0	**Is there 1 available?**	2
11	1	1	0	1	1	1	2	0	0	3	1	0	0	3.0	4	0	0	1	0	0	The Breakfast Club & Grill is popular among college students.	2
7	0	0	0	1	0	1	1	0	0	0	2	0	1	2.0	5	0	0	1	0	0	Sure, the requested sentence is: The young girl danced with her friends to the music.	2
13	1	1	1	1	1	2	2	0	0	3	1	0	0	3.0	7	0	0	1	0	0	The Breakfast Club & Grill is the most popular restaurant in town.	2
12	1	1	0	1	1	2	2	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular restaurant in town.	2
14	1	1	0	1	1	2	2	0	0	3	3	0	0	3.0	6	0	0	1	0	0	"""The Breakfast Club & Grill is a popular restaurant among students."""	2
16	0	2	1	1	1	3	3	0	0	3	1	0	1	3.0	5	1	1	2	0	0	The Breakfast Club & Grill is a place where the students hang out after school.	2
12	0	1	0	1	1	1	2	1	0	3	1	0	1	3.0	4	0	0	1	1	0	The Breakfast Club & Grill is serving breakfast at 8:00 AM.	2
12	0	0	1	0	1	2	3	0	0	3	1	0	1	3.0	5	0	0	1	1	0	The Breakfast Club & Grill provides breakfast options all day long.	2
11	1	0	0	1	1	2	1	0	0	3	2	0	0	3.0	6	0	0	1	0	0	**The Breakfast Club & Grill is a popular restaurant.**	2
10	1	1	0	1	1	1	1	0	0	3	1	0	0	3.0	4	0	0	1	0	0	The Breakfast Club & Grill is popular amongst teenagers.	2
12	1	1	0	1	1	2	2	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular restaurant in town.	2
10	1	0	0	1	1	2	1	0	0	3	1	0	0	3.0	6	0	0	1	0	0	The Breakfast Club & Grill is a popular restaurant.	2
11	1	0	0	1	1	2	1	0	0	3	2	0	0	3.0	6	0	0	1	0	0	**The Breakfast Club & Grill is a popular diner.**	2
12	1	0	0	0	1	3	2	0	0	3	1	0	1	3.0	5	0	0	1	1	0	The Breakfast Club & Grill served the best breakfast this morning.	2
13	1	1	0	1	1	2	3	0	0	3	1	0	0	3.0	7	0	0	1	0	0	 The Breakfast Club & Grill is a popular breakfast spot in town.	2
17	0	1	1	1	1	4	4	0	0	3	1	0	1	4.0	5	1	1	2	1	0	The Breakfast Club & Grill is the name of the restaurant where the movie takes place.	2
14	1	1	0	0	1	2	1	2	0	3	1	0	1	3.0	5	0	0	1	1	0	The Breakfast Club & Grill served a delicious breakfast in 1530-1647.	2
11	1	0	0	1	1	2	4	0	0	0	1	0	1	3.0	4	0	0	1	1	0	The breakfast club & grill is serving a hot meal.	2
