n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
25	1	1	1	2	1	4	5	0	2	0	1	0	5	6.0	8	3	3	3	2	0	The given text does not specify a topic or context therefore I am unable to generate a sentence that adheres to the provided instruction.	0
23	1	2	0	1	0	5	6	2	0	0	5	0	1	4.0	8	0	0	2	1	0	"The solution to this task is a single sentence: ""Each of those 10 million have families, friends, neighbors ..."	0
12	0	1	0	0	0	2	3	2	0	0	3	0	1	3.0	5	0	0	1	1	0	Each of those 10 million have families, friends, neighbors ...	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
23	0	3	0	0	1	5	7	1	0	0	3	0	3	4.0	17	0	0	3	2	0	The clock strikes twelve, the sky erupts in a display of colors, and a symphony of birdsong fills the air.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
12	1	0	2	2	0	2	2	0	1	0	1	0	1	2.0	5	1	1	2	0	0	The cake is the most delicious treat I have ever tasted.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
16	0	1	0	1	0	3	4	2	0	0	4	0	1	4.0	7	0	0	2	1	0	The answer is: Each of those 10 million have families, friends, neighbors ...	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
11	0	1	0	1	0	3	3	0	0	0	2	0	1	3.0	4	0	0	2	0	0	The sentence is: A cat sat on the mat.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
12	0	1	0	0	0	2	3	2	0	0	3	0	1	3.0	5	0	0	1	1	0	Each of the 10 million have families, friends, neighbors ...	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	 The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
7	0	0	0	0	0	0	0	2	0	2	3	0	0	2.0	3	0	0	0	0	0	Friday, September 9, 2016.	0
12	0	1	0	0	0	2	3	2	0	0	3	0	1	3.0	5	0	0	1	1	0	  Each of those 10 million have families, friends, neighbors ...	0
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat is sitting on the mat.	0
10	1	0	0	0	1	2	3	0	0	0	1	0	2	3.0	6	0	0	2	1	0	The clock strikes midnight and a new era dawns.	0
19	1	2	0	1	0	3	3	2	0	2	3	1	1	4.0	7	1	1	1	1	0	The weather is perfect for enjoying a picnic in the park on Friday, September 9, 2016.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
26	3	0	1	0	0	5	6	0	2	0	3	0	6	8.0	7	3	3	3	4	0	The provided text contains various sentences; however, I generated a sentence matching the instruction which has no subordinate propositions following the main clause.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
21	1	0	1	2	0	3	3	0	1	0	2	0	5	4.0	9	3	3	2	2	0	The provided text does not specify a task to complete, therefore I am unable to generate the requested sentence.	0
6	2	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The architectural design is impressive.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
5	0	0	0	1	0	1	1	0	0	0	1	0	1	2.0	2	1	0	1	0	1	The sentence generated is: The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
15	1	2	0	1	0	2	2	2	0	2	3	0	0	4.0	3	0	0	1	0	0	The weather is perfect for a picnic on Friday, September 9, 2016.	0
13	1	1	0	1	2	1	5	0	1	0	1	0	0	3.0	4	0	0	1	0	0	I am a strong proponent of either capitalist competition or state control.	0
10	0	1	1	1	1	0	4	0	1	0	1	0	0	3.0	3	0	0	1	0	0	It’s back to capitalist competition or state control.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	 The architecture is simplz splendid.	0
6	2	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The intricate architecture is mesmerizing.	0
12	0	1	0	0	0	2	3	2	0	0	3	0	1	3.0	5	0	0	1	1	0	 Each of those 10 million have families, friends, neighbors ...	0
20	2	1	2	2	0	3	4	0	1	0	2	0	2	4.0	9	2	2	2	1	0	 The provided text is completely unrelated to the task instruction, therefore I am unable to complete the request.	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
13	0	1	0	0	0	2	3	2	0	0	4	0	1	3.0	5	0	0	1	1	0	"""Each of those 10 million have families, friends, neighbors ..."	0
6	1	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The architecture is simplz splendid.	0
7	2	0	1	1	0	1	1	0	0	0	1	0	0	2.0	3	0	0	1	0	0	The intricate architecture is breathtakingly splendid.	0
26	6	1	0	0	1	4	7	0	0	0	4	0	3	3.0	14	1	1	1	1	0	The new mobile phone has a powerful camera, longer battery life, and a faster processor, resulting in an overall improved user experience.	1
17	1	1	0	0	1	2	9	0	0	0	1	0	2	3.0	6	0	0	1	2	0	 The vintage record player had a beautiful sound system and improved listening experience for music lovers.	1
22	5	1	0	0	1	2	7	0	1	0	3	0	2	4.0	10	1	1	1	1	0	The new mobile device has a powerful processor, longer battery life, and superior camera quality compared to its predecessor.	1
21	5	1	0	0	1	3	6	0	1	0	3	0	1	3.0	16	0	0	1	1	0	The new smartphone has a superior camera, longer battery life, and a faster processor than my old phone.	1
21	3	1	0	1	1	4	5	0	2	0	1	0	3	4.0	11	2	1	3	0	1	The improved camera and longer battery life that the new phone boasts are some of the major differences I see.	1
19	2	1	0	1	0	2	3	1	1	0	3	1	3	2.0	13	2	2	1	1	0	Sure, I have generated a sentence with 1 subordinate proposition following the main clause, as requested.	1
23	2	1	1	0	1	3	9	0	0	0	3	0	3	5.0	10	1	1	1	1	0	The computer program offered a variety of features including faster processing speed, improved graphics, and a more intuitive user interface.	1
21	5	1	0	0	1	3	7	0	0	0	3	0	1	3.0	16	0	0	1	1	0	The new device has a better screen, longer battery life, and faster processing speed than the previous model.	1
29	5	2	1	1	1	5	6	0	1	0	5	0	2	4.0	15	1	1	1	1	0	The new smartphone is well-equipped with a stunning camera, a powerful battery, and a sleek design, making it an attractive option for consumers.	1
