n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
8	0	1	0	0	0	2	2	0	0	0	2	0	1	2.0	3	0	0	1	0	0	**The cat sat on the mat**.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
9	1	0	1	3	0	0	0	0	1	0	1	0	1	2.0	5	1	1	1	0	0	It would have been too painful to watch.	2
19	3	1	1	1	0	2	3	0	1	0	5	0	1	2.0	9	0	0	1	0	0	Sure, the generated sentence is: Her smile, with that chaste yellow dress, so bashful.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
17	0	3	1	0	0	3	5	0	0	0	3	0	2	4.0	12	0	0	1	1	0	The smell of freshly baked bread, with the aroma of coffee, filled the air.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
8	0	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	A cat sat on a tree branch.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
18	2	3	0	0	0	3	5	0	0	0	3	0	2	5.0	9	1	0	1	1	1	A tall tree, with branches reaching towards the sky, cast long shadows upon the ground.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
13	3	1	1	0	0	1	2	0	1	0	4	0	0	2.0	9	0	0	1	0	0	**Her smile, with that chaste yellow dress, so bashful.**	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
14	2	1	0	0	0	3	3	0	0	0	3	0	2	4.0	7	1	0	1	1	1	The old lady, wearing a crimson dress, strolled to the park.	2
15	2	1	0	0	0	2	4	0	0	0	3	0	2	4.0	7	1	0	1	1	1	The book, filled with colorful illustrations, captured the young reader's imagination.	2
11	3	0	1	0	0	1	2	0	0	0	2	0	2	3.0	3	1	1	1	1	0	The vibrant purple flower bloomed proudly, attracting numerous butterflies.	2
11	2	1	0	0	0	1	2	0	0	0	3	0	2	4.0	6	1	0	1	0	1	The old woman, withered by years, stood tall.	2
15	1	3	0	1	0	3	4	1	0	0	1	0	1	5.0	12	1	0	1	0	1	The sentence generated with a tree height of 2 in the syntactic tree is: Her smile, with that chaste yellow dress, so bashful.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
14	1	2	0	0	0	3	4	0	0	0	2	0	2	3.0	6	1	1	1	0	0	The old woman sat on a park bench, gazing at the clouds.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
17	1	3	0	0	0	3	4	1	1	0	2	0	1	3.0	6	0	0	1	1	0	Sure, I generated a sentence with a tree height of 2 in the syntactic tree: Her smile, with that chaste yellow dress, so bashful.	2
10	1	1	0	0	0	1	2	0	0	0	3	0	2	4.0	6	1	0	1	0	1	The house, built of stone, stood tall.	2
10	1	0	1	0	0	2	2	0	0	0	2	0	2	3.0	3	1	1	1	1	0	The sun shone brightly, illuminating the vibrant flowers.	2
22	0	3	0	0	1	5	7	0	0	0	3	0	3	4.0	16	1	1	2	2	0	The wind whipped through the leaves, creating a symphony of rustling, and the scent of honeysuckle filled the air.	2
10	0	1	0	0	0	2	3	0	0	0	2	0	2	2.0	5	1	1	1	1	0	The cat jumped onto the table, scattering plates.	2
18	2	2	1	0	0	2	5	1	0	0	3	0	2	5.0	9	1	0	1	2	1	A tall tree, with branches reaching two stories high, cast long shadows on the ground.	2
9	1	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The old dog sat beneath the willow tree.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat jumped onto the red table.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
11	1	1	0	0	0	1	2	0	1	0	3	0	2	3.0	4	1	1	1	1	0	**She danced with grace, wearing that vibrant dress.**	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog ran across the park.	2
14	1	3	0	1	0	3	4	1	0	0	1	0	0	4.0	11	0	0	1	0	0	A sentence with a tree height of 2 in the syntactic tree is: Her smile, with that chaste yellow dress, so bashful.	2
10	0	1	1	1	0	2	2	0	0	0	2	0	1	3.0	6	0	0	1	0	0	**The books on the table were neatly arranged.**	2
10	0	0	2	0	0	2	2	0	0	0	2	0	2	3.0	3	1	1	1	1	0	The wind blew fiercely, whipping the trees wildly.	2
12	0	1	1	1	0	0	2	0	3	0	3	0	1	2.0	7	0	0	1	0	0	**She was walking along, her dog by her side.**	2
10	2	1	1	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	A young child laughed heartily at the funny joke.	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat jumped onto the fence.	2
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The dog ran quickly.	2
9	2	0	0	0	0	1	2	0	1	0	2	0	1	3.0	5	0	0	2	0	0	The house stood tall, its foundation strong.	2
12	3	1	1	0	0	1	2	0	1	0	3	0	0	2.0	9	0	0	1	0	0	Her smile, with that chaste yellow dress, so bashful.	2
23	0	2	0	1	0	3	4	1	2	0	4	1	4	4.0	12	2	2	2	2	0	"The tree height of 3 is fulfilled in the sentence ""If you have any comments, please let me know."""	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
16	2	1	1	1	1	2	2	0	1	0	2	0	2	3.0	6	1	1	2	0	0	The weather was sunny and warm, so I went to the park to relax.	3
12	0	2	1	0	0	3	4	0	0	0	1	0	1	3.0	5	0	0	1	0	0	The leaves of the maple tree swayed gently in the breeze.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
13	0	1	0	0	1	3	3	0	0	0	3	0	2	3.0	5	0	0	1	1	0	"""The cat jumped onto the table and spilled the milk."""	3
10	0	1	1	0	0	2	2	0	0	0	2	0	2	2.0	6	1	1	1	0	0	The cat sat on the mat, happily purring.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
25	1	4	0	3	1	2	4	2	1	1	5	0	1	3.0	9	0	0	1	1	0	" As of March 28, 2003, he was in a hospital for a cardiac problem and had been granted ""pre-arrest bail."""	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
26	1	4	0	3	1	2	4	2	1	1	6	0	1	3.0	9	0	0	1	1	0	"""As of March 28, 2003, he was in a hospital for a cardiac problem and had been granted ""pre-arrest bail."""	3
10	2	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox jumps over the sleeping dog.	3
12	2	1	0	1	0	3	4	0	0	0	1	0	0	2.0	4	0	0	1	0	0	A succulent lemon cake was a delicious treat on the table.	3
10	2	1	0	0	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox jumps over the sleeping dog.	3
9	1	0	1	1	1	1	1	0	0	0	2	0	1	2.0	4	0	0	1	0	0	The book is captivating and well-written.	3
11	0	1	1	2	0	2	2	0	0	0	2	0	1	3.0	6	0	0	1	0	0	**The fruits of this labor have been ripening rapidly.**	3
15	2	2	0	0	0	3	5	0	0	0	2	0	1	3.0	6	0	0	1	1	0	The vibrant, purple flowers adorned the springtime garden with a burst of color.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
15	0	2	0	0	0	4	5	0	0	0	2	0	2	4.0	7	1	1	1	2	0	The wind blew the leaves down the trees, making a symphony of noise.	3
14	2	1	0	1	1	3	3	0	1	0	1	0	1	4.0	4	1	1	2	0	0	The weather was sunny and warm the day I went to the park.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
11	1	1	1	0	0	2	2	0	0	0	2	0	2	2.0	6	1	1	1	0	0	The cat sat on the warm mat, purring contentedly.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
14	0	1	1	0	0	3	3	0	0	0	4	0	2	3.0	5	1	1	1	1	0	"""The wind howled fiercely, tearing the leaves from the trees."""	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
25	1	4	0	3	1	2	4	2	1	1	5	0	1	3.0	9	0	0	1	1	0	"As of March 28, 2003, he was in a hospital for a cardiac problem and had been granted ""pre-arrest bail."""	3
14	3	2	2	0	0	1	3	0	1	0	1	0	1	4.0	10	0	0	0	0	0	There are many good options of delicious food on the shores as well.	3
14	1	2	0	0	0	3	4	0	0	0	2	0	2	4.0	5	1	1	1	1	0	The windswept hair danced with the waves, creating a symphony of motion.	3
