n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
22	4	2	0	0	1	4	7	0	0	0	1	0	2	5.0	8	1	0	1	1	1	The vibrant murals and colorful graffiti covering the city walls serve as a testament to the city's rich cultural heritage.	0
28	4	5	0	1	0	4	6	0	1	4	2	0	1	5.0	8	1	1	1	1	0	A Comparative Discourse Analysis of Game of Thrones was a captivating read, leaving me with a greater understanding of fan responses to the popular fantasy series.	0
40	2	2	0	4	1	4	11	2	0	3	5	0	5	6.0	26	1	1	4	4	0	In Wei's art, a logician could see mathematical logic, a cellist could see a ripple of nine bass notes, a country girl could see straw, and Harry Potter could see two accompanied green blazes.	0
20	2	4	0	0	0	2	7	0	0	2	1	0	2	5.0	8	1	1	1	1	0	A comparative discourse analysis of fan responses to Game of Thrones showcases the diverse interpretations afforded by text analysis.	0
22	3	4	0	0	0	4	7	0	0	0	2	0	2	4.0	7	1	1	1	2	0	The vibrant community of musicians in town offered an array of musical performances, showcasing the diverse talents of each member.	0
40	2	2	0	4	1	4	11	2	0	3	5	0	5	6.0	26	1	1	4	4	0	In Wei's art, a logician could see mathematical logic, a cellist could see a ripple of nine bass notes, a country girl could see straw, and Harry Potter could see two accompanied green blazes.	0
15	0	1	1	0	0	3	3	0	0	0	2	1	3	4.0	5	2	2	2	0	0	The cat sat on the mat, waiting for the owner to come home.	0
24	3	3	2	1	1	1	6	0	0	1	3	0	2	5.0	17	1	0	1	1	1	The artwork in Wei's paintings, consisting primarily of geometric patterns and vivid colors, has consistently garnered admiration from diverse perspectives.	0
12	1	3	0	0	0	1	4	0	0	2	1	0	0	4.0	3	0	0	0	0	0	A Comparative Discourse Analysis of Fan Responses to Game of Thrones.	0
27	1	5	1	0	0	5	9	0	1	1	1	0	2	5.0	9	1	1	2	2	0	The artwork in Wei's art exhibit perfectly captured the essence of the natural world in a way that captivated viewers from all walks of life.	0
20	2	2	0	0	0	3	5	0	1	0	3	0	3	4.0	7	1	1	1	2	0	The scent of fresh-brewed coffee permeated the air, leaving a lingering aroma on everyone's clothes.	0
20	2	1	0	0	1	3	7	0	1	0	1	0	3	5.0	7	2	1	2	2	1	The artwork displayed at the gallery showcased paintings whose vibrant colors and intricate detail captivated the viewer's senses.	0
