n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
15	1	2	0	0	0	3	5	0	0	0	2	0	2	3.0	6	1	1	1	2	0	2	1	The wind whispered secrets through the trees, casting long shadows upon the ground.	0
15	2	2	0	0	1	2	3	0	0	2	1	0	2	6.0	5	1	1	0	1	0	1	0	Noticed a few of these Cookie cutter places opening in Summit and New Providence.	0
14	2	3	0	0	0	3	4	0	0	0	1	0	1	3.0	4	0	0	1	0	0	0	1	The vibrant tapestry of the forest danced beneath the celestial tapestry of stars.	0
15	1	2	1	0	0	3	4	0	0	0	2	0	2	3.0	6	1	1	1	1	0	1	1	 The sun shone brightly on the beach, casting long shadows on the sand.	0
15	2	3	0	0	0	3	5	0	0	0	1	0	1	3.0	7	0	0	1	0	0	0	1	An untouched painting of pristine wilderness hangs on the wall in the dining room.	0
15	2	2	0	0	1	2	3	0	0	2	1	0	2	6.0	5	1	1	0	1	0	1	0	Noticed a few of these Cookie cutter places opening in Summit and New Providence.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The flowers danced in the breeze.	0
15	0	1	0	0	1	4	4	0	0	0	2	0	3	4.0	7	1	1	2	1	0	1	2	The wind whipped the flag, but the ship remained anchored in the bay.	0
22	2	3	1	0	0	4	7	0	1	0	2	0	2	4.0	6	1	1	1	2	0	2	1	A swarm of hungry bacteria consumed the leftover pizza, leaving only the crust as a testament to its former existence.	0
23	4	4	0	0	0	3	5	0	1	1	3	0	2	5.0	7	1	1	1	0	0	0	1	In the desert of Nevada, a lone cactus stood tall, its majestic beauty unburdened by the presence of human inhabitants.	0
16	1	2	0	0	0	3	5	0	1	0	2	0	2	3.0	6	1	1	1	1	0	1	1	 The vintage records danced across the turntable, captivating the audience with their melodic allure.	0
14	2	2	0	0	0	3	3	0	0	0	2	0	2	4.0	6	0	0	1	0	0	0	1	The spices danced with the aromatic scent of the fresh-baked bread.	0
14	1	1	0	1	0	3	3	0	1	0	1	0	2	3.0	5	1	1	1	2	0	2	1	The spices in the pantry are calling me to cook a delicious meal.	0
17	1	4	0	0	0	3	5	0	0	0	2	0	2	4.0	5	1	1	1	0	0	0	1	A swarm of mosquitoes descended upon the picnic, leaving behind an army of red welts.	0
15	0	3	0	0	0	3	4	0	1	0	2	0	2	4.0	5	0	0	1	1	0	1	1	The wind whipped through the forest, carried with it the scent of honeysuckle.	0
16	1	2	0	0	0	3	4	0	1	0	1	0	3	5.0	8	2	1	1	2	1	2	1	The smell of fresh bread emanating from the bakery tempted me to purchase a loaf.	0
16	1	3	0	0	0	3	4	0	1	0	2	0	2	4.0	5	0	0	1	1	0	1	1	A breeze swept through the meadow, carried with it the scent of wild flowers.	0
13	1	2	0	0	0	4	4	0	0	0	1	0	1	2.0	9	0	0	1	1	0	1	1	The wind swept the sand across the beach on a stormy night.	0
13	1	1	1	0	0	3	4	0	0	0	1	0	2	3.0	4	0	0	1	1	0	1	1	A vibrant mural adorned the newly painted walls of the community center.	0
24	2	3	2	0	1	4	6	0	1	0	2	0	3	6.0	5	1	1	2	2	0	2	2	The scent of freshly baked bread permeated the air in the bakery, a tantalizing aroma that drew customers from far and wide.	0
13	2	1	0	0	1	2	4	0	0	0	1	0	2	4.0	5	1	0	1	1	1	1	1	The artwork displayed in the museum showcases exquisite craftsmanship and vibrant colors.	0
19	4	3	1	0	1	3	4	0	0	2	1	0	0	3.0	9	0	0	0	0	0	0	0	A vibrant and diverse assortment of colorful flora blooms sparsely in the arid landscape of the Mojave Desert.	0
22	0	4	1	0	0	5	7	0	0	0	2	0	3	4.0	7	1	1	1	1	0	1	1	The scent of freshly baked bread permeates the air, emanating from the community oven in the heart of the village.	0
11	1	1	0	0	1	2	4	0	0	0	1	0	1	4.0	5	0	0	1	1	0	1	1	A fragrant bouquet of honeysuckle and lavender permeated the air.	0
15	3	2	0	1	1	3	3	0	0	0	2	0	0	3.0	7	0	0	1	0	0	0	1	The painting on the wall was vibrant and colourful, despite the dim lighting.	0
13	1	1	0	2	0	2	3	0	1	0	2	0	1	3.0	4	0	0	2	0	0	0	2	The painting is complete, it is hanging in the living room.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The colors danced across the vibrant canvas.	0
20	3	2	1	0	1	1	5	0	2	0	3	0	2	4.0	6	1	1	1	2	0	2	1	As a child, my imagination often carried me to fantastical realms, conjuring vivid imagery and thrilling adventures.	0
16	1	1	1	1	0	2	3	0	2	2	2	0	1	5.0	4	0	0	2	1	0	1	2	The weather was mild, so I filed a photo of my interviewee David Titley.	0
9	0	1	0	0	0	2	3	0	0	0	1	0	2	3.0	4	0	0	1	1	0	1	1	The aroma of baked bread fills the air.	0
17	3	2	0	0	0	3	5	0	0	0	2	0	2	3.0	6	1	1	1	2	0	2	1	A vibrant array of wildflowers adorned the meadow, casting long shadows across the sun-soaked ground.	0
10	1	2	0	0	0	2	3	0	0	0	1	0	1	3.0	4	0	0	1	0	0	0	1	A basket of fresh berries sits on the table.	0
19	1	3	1	0	0	4	5	0	0	0	2	0	3	4.0	6	1	1	1	1	0	1	1	The scent of freshly brewed coffee lingered in the air, filling the office with a delightful aroma.	0
10	1	2	0	0	0	2	3	0	0	0	1	0	1	3.0	4	0	0	1	0	0	0	1	The scent of fresh bread lingered in the air.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The colors danced across the canvas.	0
15	2	2	0	0	1	2	3	0	0	2	1	0	2	6.0	5	1	1	0	1	0	1	0	Noticed a few of these Cookie cutter places opening in Summit and New Providence.	0
10	0	2	1	0	0	2	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	0	1	The artwork hangs proudly on display in the hallway.	0
20	1	5	0	0	0	5	6	0	0	0	1	0	2	6.0	14	1	0	1	0	1	0	1	A portrait of the sunset painted on the canvas by a fiery display of colors danced across the sky.	0
11	2	1	1	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	0	1	A single orange blossom bloomed majestically against the twilight sky.	0
13	0	0	0	1	1	2	4	0	0	0	2	0	2	3.0	7	0	0	2	0	0	0	2	The vintage record player hummed, but the music was not playing.	0
15	2	2	0	0	1	2	3	0	0	2	1	0	2	6.0	5	1	1	0	1	0	1	0	Noticed a few of these Cookie cutter places opening in Summit and New Providence.	0
8	1	1	0	1	0	2	2	0	0	0	1	0	0	3.0	5	0	0	1	0	0	0	1	The flowers on the table are fragrant.	0
11	0	2	0	2	0	2	3	0	0	0	1	0	1	3.0	5	0	0	1	0	0	0	1	A basket of fruit has been arranged on the table.	0
17	3	1	1	0	0	4	4	0	0	0	2	0	2	4.0	4	1	1	1	2	0	2	1	A vibrant rainbow adorned the sky, creating a breathtaking spectacle above the serene landscape below.	0
13	2	1	0	0	0	3	4	0	0	0	2	0	1	2.0	7	0	0	1	1	0	1	1	**The crimson sunset cast a soft glow on the serene beach.**	0
15	2	2	0	1	0	4	4	0	0	0	2	0	0	3.0	5	0	0	1	0	0	0	1	The scenery on the highway was breathtaking, a breathtaking view of the mountains.	0
15	4	1	0	0	1	2	2	0	0	2	2	0	1	4.0	5	0	0	1	1	0	1	1	The vibrant, untouched landscape of Petite Terre paints a vivid and captivating picture.	0
10	3	1	0	0	1	1	1	0	0	1	1	0	1	3.0	3	0	0	1	0	0	0	1	The ancient city of Petra lies untouched and mysterious.	0
13	0	2	0	0	0	3	4	0	0	0	2	0	2	3.0	5	1	1	1	1	0	1	1	The wind whipped through the wheat, painting the sky with colors.	0
14	0	2	1	1	1	3	4	0	0	0	1	0	1	3.0	7	0	0	1	0	0	0	1	The spices were placed into the pot along with the fruits and vegetables.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The wind blew the leaves off the trees.	1
14	0	2	1	0	0	3	4	0	0	0	2	0	2	4.0	6	0	0	1	1	0	1	1	 The scent of freshly-brewed coffee permeates the air in the cafe.	1
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sat on the mat.	1
14	0	2	0	0	0	3	5	0	0	0	2	0	2	4.0	5	1	1	1	1	0	1	1	The wind blew through the trees, creating a symphony of rustling leaves.	1
7	0	1	0	0	0	2	2	0	0	0	1	0	1	3.0	3	1	1	0	0	0	0	0	A rainbow arched across the sky.	1
10	1	1	0	1	0	2	3	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The weary traveler was resting on the park bench.	1
