n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
12	1	1	0	0	0	3	3	0	1	0	1	0	2	4.0	3	1	1	2	1	0	The young man ate the apple that fell from the tree.	2
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The farmer sells the goat to the butcher.	2
17	3	0	1	0	0	4	4	0	1	0	2	0	2	5.0	5	1	1	2	1	0	The young cat ate a succulent orange, which the owner purchased a few days earlier.	2
11	2	1	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The red dog chased the green cat across the garden.	2
12	1	0	0	0	0	3	3	0	1	0	2	0	2	4.0	3	1	1	2	2	0	The dog chased the ball, which made the boy happy.	2
11	0	1	0	0	0	3	3	0	1	0	1	0	2	4.0	3	1	1	2	1	0	The boy eats the apple that fell from the tree.	2
13	3	0	0	0	1	3	3	0	0	0	1	0	2	3.0	5	0	0	1	2	0	The young boy eats the ripe banana and enjoys the sweet taste.	2
13	0	1	0	0	0	3	3	0	2	0	2	0	2	4.0	4	1	1	2	1	0	The boy ate the apple, which he picked from the tree.	2
18	2	0	1	1	1	3	5	0	0	0	3	0	2	3.0	12	0	0	2	1	0	The young programmer carefully wrote the complex algorithm, but the debugging process was time-consuming.	2
13	0	1	0	1	0	3	3	0	1	0	2	0	2	4.0	4	1	1	2	1	0	The boy eats the apple, which was picked from the tree.	2
12	2	1	0	0	0	2	3	0	0	0	3	0	1	2.0	4	0	0	1	0	0	"""The quick brown fox jumps over the sleeping dog."""	2
16	4	1	0	0	1	3	3	0	0	0	2	0	2	3.0	10	0	0	2	0	0	The quick brown fox jumps over the sleepy dog, and the tall tree falls.	2
15	0	2	0	0	0	4	4	0	0	0	2	0	3	4.0	5	2	2	1	1	0	The cat sits on the table, watching the fish swim in the pond.	2
10	0	1	0	1	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog is chasing the cat across the park.	2
24	4	3	1	0	0	4	7	1	0	0	2	0	2	5.0	7	1	1	1	1	0	The quick brown fox leaps over the sleeping dog, thereby creating a complex sentence with the longest dependency link of 2 words.	2
14	1	1	0	1	1	2	3	0	1	0	2	0	2	3.0	7	0	0	2	0	0	The lion roared, and the mighty fortress was toppled by its force.	2
15	1	1	0	1	0	3	3	0	1	0	1	2	2	3.0	8	1	1	2	1	0	The young boy sat on a chair so that he could read a book.	2
10	1	1	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The boy offered the apple to the hungry child.	2
18	1	2	0	0	0	5	5	0	1	0	2	0	2	5.0	5	1	1	2	2	0	The dog chased the squirrel up the tree, which caused a significant disruption to the neighborhood.	2
14	0	1	1	1	0	3	3	0	1	0	2	0	2	4.0	5	1	1	2	0	0	The cat sleeps on the mat, which was meticulously cleaned this morning.	2
15	0	2	1	2	0	3	3	0	1	0	2	0	1	3.0	7	1	1	2	0	0	The cat is sitting on the mat, which is next to the table.	2
10	0	0	0	2	0	2	2	0	0	0	1	1	2	3.0	4	1	1	2	0	0	The apple is being eaten as the child sleeps.	2
15	0	1	0	1	0	3	3	0	0	0	2	1	3	4.0	6	2	2	2	0	0	The cat sat on the mat, waiting for the bread to be sliced.	2
17	0	1	1	0	0	3	3	0	0	0	4	1	3	4.0	5	2	2	2	0	0	"""The cat sat on the mat, waiting for the owner to come home."""	2
11	1	1	0	0	0	3	3	0	0	0	2	0	1	2.0	5	0	0	1	1	0	"**The young child chased the dog up the tree.** The two words that are connected by the longest dependency link are ""chased"" and ""tree."""	2
12	0	1	0	1	0	3	3	0	0	0	1	1	2	3.0	8	1	1	2	0	0	The cat sat on the mat so the dog could play.	2
12	2	1	1	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The young girl carefully carried the heavy box to the kitchen.	2
16	2	3	0	0	0	2	4	0	1	0	2	0	2	5.0	4	1	1	1	0	0	The cat sat atop the tall tree, perched in its natural position of repose.	2
12	0	1	0	0	0	3	3	0	2	0	1	0	2	4.0	3	1	1	2	1	0	The boy ate the apple that he picked from the tree.	2
11	0	1	0	0	0	2	3	0	1	0	2	0	2	3.0	5	1	1	1	1	0	The cat sat on the mat, grooming its paws.	2
19	3	2	0	0	1	4	5	0	0	0	2	0	2	3.0	10	0	0	2	0	0	The quick brown fox jumps over the sleeping dog, and the lazy cat naps beneath the tree.	2
12	0	1	0	1	0	3	3	0	1	0	1	0	2	4.0	3	1	1	2	1	0	The dog eats the bone that was dropped by the boy.	2
17	3	1	0	2	1	3	3	0	0	0	2	0	2	3.0	11	0	0	2	0	0	The quick brown fox leaps over the lazy dog, and the apple is being peeled.	2
24	0	3	1	0	1	3	7	1	0	0	6	0	2	5.0	14	1	1	1	1	0	"The cat jumped onto the table, thereby extending the dependency link between ""cat"" and ""table"" to 2 words."	2
13	0	1	0	2	0	3	3	0	1	0	1	0	2	4.0	8	1	0	2	1	1	The man who is walking to the park is carrying a bag.	2
12	2	1	0	0	0	2	3	0	0	0	3	0	1	2.0	4	0	0	1	0	0	"""The quick brown fox jumps over the sleeping dog."" The phrase ""over the sleeping dog"" has the longest dependency link of 2 words."	2
11	1	0	0	0	0	2	3	0	2	0	1	0	2	4.0	2	1	1	2	2	0	The young student wrote a paper that impressed his teacher.	2
12	0	0	0	1	0	2	3	0	3	0	1	0	2	4.0	4	1	1	2	2	0	The boy is reading the book that his mother gave him.	2
9	0	0	1	0	1	2	2	0	0	0	1	0	2	2.0	4	0	0	1	1	0	The boy drank the juice and fell asleep.	2
17	3	2	0	0	0	2	3	0	1	0	2	0	3	5.0	6	2	2	1	2	0	The young boy drank a glass of juice, causing him to feel thirsty for more.	2
12	0	0	0	0	1	3	4	0	0	0	2	0	2	3.0	7	0	0	2	2	0	The farmer feeds the cow, and the cow gives milk.	2
9	0	1	0	0	0	2	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	The student wrote a letter to his teacher.	2
13	1	1	1	1	0	2	2	0	2	0	2	0	1	4.0	5	1	1	2	1	0	The king controls the army, who are fiercely loyal to him.	2
29	2	5	1	1	0	6	7	0	1	0	1	1	3	6.0	8	2	2	1	2	0	The single grain of rice was expertly placed on the tip of the needle to demonstrate the intricate process of threading it through the eye of a needle.	2
12	0	1	0	1	0	3	3	0	1	0	1	0	2	4.0	3	1	1	2	1	0	The man drank the water he had collected from the river.	2
18	0	3	0	0	0	4	5	0	0	0	3	0	3	4.0	5	2	2	1	0	0	A cat sits on a mat, gazing at the stars, dreaming of a moonlit journey.	2
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The boy offered the apple to the girl.	2
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The boy brought the apple to the table.	2
20	2	1	0	0	1	3	5	0	0	0	2	0	4	4.0	6	2	2	1	1	0	The cascading waterfall's thunder echoes through the ancient trees, causing the weary travelers to pause and listen.	2
15	0	2	0	1	0	3	3	0	0	0	2	0	3	3.0	6	2	2	1	0	0	The cat sits on the mat, waiting for the ball to be thrown.	2
13	1	0	1	0	0	3	4	0	1	0	1	0	2	4.0	7	1	0	2	2	1	The boy who chased the flying bug successfully caught the errant insect.	6
31	1	4	1	1	1	4	8	0	0	0	5	0	6	5.0	9	3	2	1	1	1	The meticulously crafted sculpture, sculpted by the master craftsman, was admired by the captivated audience, eliciting admiration and awe, resulting in an extraordinary sense of satisfaction.	6
25	1	3	1	0	0	6	7	0	0	0	4	0	3	4.0	8	2	1	1	2	1	The cascading waterfall, steadily flowing down the rock, carved a deep groove in the granite, influencing the course of the river.	6
21	4	1	0	0	1	4	5	0	0	0	3	0	3	4.0	7	1	1	1	2	0	The young child played with the colorful toy truck, causing a loud crash, and injuring the nearby cat.	6
