n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
16	0	2	0	0	1	3	3	0	1	1	1	0	3	4.0	7	1	1	1	2	0	Alice found a dollar on the street and decided to buy some candy with it. Here you go! Would you like any more sentences without subordinate propositions? 	0
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	Here you go!  Did you like this task? Please thumb my response up if it meets your expectations, or kindly point out any errors. I'll be glad to help	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	  The cat sat on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
3	1	0	0	1	0	0	0	0	0	1	0	0	0	1.0	2	0	0	1	0	0	Socrates is wise	0
10	0	1	0	0	0	2	2	0	1	0	3	0	1	2.0	5	0	0	0	0	0	"    ""There is a cat in the window."""	0
7	0	1	0	1	0	1	1	0	0	1	1	0	1	2.0	2	0	0	1	0	0	The cake was eaten by John.	0
21	2	1	0	1	1	0	1	0	3	0	2	2	5	6.0	5	4	4	1	2	0	 Please check to see if you are happy with it, before asking me to revise or make further adjustments.	0
4	0	0	0	0	0	1	1	0	1	0	0	0	1	2.0	2	0	0	1	1	0	  I eat an apple	0
6	0	0	1	1	0	0	0	0	0	1	3	0	0	1.0	2	0	0	1	0	0	"  ""John is here."""	0
19	2	3	1	1	1	4	4	0	1	0	0	1	1	3.0	12	1	1	2	0	0	I went for the walk during the midmorning because this time was more suitable and pleasant for the strole	0
19	3	1	0	1	1	2	3	0	3	0	2	0	3	5.0	7	2	2	2	2	0	I have developed a simple yet elegant solution, consisting of a single sentence that answers your request: Here it is!:  Zero subordinate propositions mean zero words that modify or qualify the sentence's main content.	0
10	0	0	0	1	1	1	6	0	0	0	1	0	0	3.0	8	0	0	1	0	0	Lunch today is a peanut butter and jelly sandwich. 	0
6	0	0	0	0	0	1	1	0	0	0	3	0	1	2.0	1	0	0	1	0	0	"  ""The cat slept."" "	0
11	1	2	0	0	0	2	2	0	0	0	1	0	2	3.0	4	0	0	0	0	0	Please find below the requested sentence with no subordinate clauses: 	0
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	2	0	0	0	0	0	Here it is: This is the sentence you requested:  Mrs. Bates was happy with her life and decided to live each day, as it happened, taking joy and satisfaction in every activity	0
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	2	0	0	1	1	0	The cat chased its tail. 	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The elephants raced across the plain. 	0
6	1	0	0	0	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	Squares have all sides equal. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap. 	0
8	0	0	0	0	0	2	2	0	0	0	3	0	1	2.0	2	0	0	1	1	0	"  ""The dog chased the cat."""	0
18	2	1	2	0	0	3	3	0	1	0	2	1	3	4.0	9	2	1	2	1	1	The snowflakes, sparkling brightly in the sunlit sky, melted rapidly as they touched the warm earth	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	 The cat sat on the matt.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat purred. 	0
8	0	1	0	0	0	1	2	0	0	0	1	1	2	2.0	4	1	1	1	0	0	A dog runs across fields without hesitating. 	0
24	1	2	3	1	1	1	3	2	2	1	5	0	2	4.0	8	0	0	1	1	0	"Here it is, just one sentence with 0 subordinate propositions:  ""Jill walked into the kitchen but found nobody there.""  "	0
5	0	0	1	0	0	0	0	0	1	0	2	0	1	1.0	2	0	0	1	0	0	Here you go!:  The cat sat on the mat.	0
10	0	0	1	0	0	1	1	0	1	0	4	0	2	3.0	5	1	1	2	0	0	"Here you go:   ""The cat purred.""  "	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
15	1	2	0	1	1	4	4	0	0	0	1	0	1	3.0	8	0	0	1	1	0	The manager was pleased with the progress of the project and thanked the team. 	0
