n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Ayesha Khan, 26, Dhaka.	0
4	0	0	0	0	0	0	0	0	0	3	1	0	0	1.0	2	0	0	0	0	0	Md Tanveer Hussain.	0
7	0	0	0	1	0	1	1	0	0	2	2	0	0	2.0	3	0	0	1	0	0	The answer is: Saddam Hussein.	0
5	0	0	0	0	0	1	1	0	0	1	1	0	1	2.0	2	0	0	1	1	0	Martha eats a sandwich.	0
3	0	0	0	0	0	0	0	0	0	2	1	0	0	1.0	1	0	0	0	0	0	Tanvir Hussain.	0
3	0	0	0	0	0	0	0	0	0	2	1	0	0	1.0	1	0	0	0	0	0	Rashed Chowdhury.	0
9	1	0	0	0	0	0	0	1	0	4	3	0	0	2.0	7	0	0	0	0	0	Tamim Rais, 29, New York City.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Sayed Tabish, 35, Dhaka.	0
2	0	0	0	0	0	0	0	0	0	2	0	0	0	1.0	1	0	0	0	0	0	Lila P	0
6	0	0	0	0	0	0	0	0	0	4	2	0	0	2.0	4	0	0	0	0	0	Eva Peron, Buenos Aires.	0
3	0	0	0	0	0	0	0	0	0	2	1	0	0	1.0	1	0	0	0	0	0	John Smith.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
5	0	0	0	0	0	0	0	0	0	3	2	0	0	1.0	3	0	0	0	0	0	Eitan Apelboim-Levy.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Hossain Ali, 22, Leicester.	0
6	0	0	0	0	0	0	0	1	0	3	2	0	0	1.0	5	0	0	0	0	0	Mustapha Ather, 27, Copenhagen	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Tony Blair, 67, Edinburgh.	0
11	0	1	0	0	0	2	4	0	1	0	1	0	2	3.0	4	0	0	2	0	0	The manager nodded, her lips pressed into a firm line	0
9	0	0	0	0	0	0	0	1	0	4	4	0	0	2.0	5	0	0	0	0	0	Melania Trump, 50, Washington, D.C.	0
18	1	0	0	1	0	2	3	2	0	3	3	1	2	4.0	9	1	1	1	2	0	Rodrigo Aranjuez, 27, Madrid   Does this sentence meet the requirement of having 0 subordinate propositions? If so, please let me know and provide any further instructions that I may need to follow	0
6	0	0	0	0	0	0	0	1	0	3	2	0	0	1.0	5	0	0	0	0	0	Maria Khan, 35, Bristol	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Tanvir Hussain, 24, London.	0
6	0	0	0	0	0	0	0	1	0	3	2	0	0	1.0	5	0	0	0	0	0	Tareq Rahman, 31, Toronto	0
9	0	0	0	0	0	0	0	1	0	5	3	0	0	1.0	7	0	0	0	0	0	Faraj Ahmad Al Khori, 27, Dubai.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Roger Bannister, 22, Brighton.	0
21	1	2	0	0	0	3	4	2	0	4	4	0	1	3.0	12	0	0	1	1	0	The winner of the tournament, Rashid Khan, 27, London E10 scored 125 runs in the final match.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Eva Tan, 27, Toronto.	0
2	0	0	0	0	0	0	0	0	0	2	0	0	0	1.0	1	0	0	0	0	0	John Smith  (This response completes the task because it consists of only a single sentence with no subordinate clauses or phrases, i.e., it has 0 subordinate propositions.)	0
5	0	0	0	0	0	0	0	1	0	3	1	0	0	1.0	4	0	0	0	0	0	Tony Tanium,32, Newcastle	0
13	0	1	0	1	0	3	3	0	0	2	2	0	1	3.0	7	0	0	1	0	0	The solution to the task is the following sentence: Tanvir Hussain.	0
2	0	0	0	0	0	0	0	0	0	2	0	0	0	1.0	1	0	0	0	0	0	Aisha Ahmed	0
6	0	0	0	0	0	0	0	1	0	3	2	0	0	1.0	5	0	0	0	0	0	Mozah Alobaidi, 27, Beirut	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Alisha Khangura, 29, Brampton.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Nasim Aghanovi, 27, Paris.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Rainier Cheramy, 25, Vancouver.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Sarah Cockburn, 32, Paris.	0
12	0	1	0	0	1	1	3	1	2	0	0	1	2	3.0	8	1	1	2	1	0	He ate a sandwich and two apples before he went to work	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Rajib Saha, 27, Toronto.	0
6	0	0	0	0	0	0	0	1	0	3	2	0	0	1.0	5	0	0	0	0	0	Makeda Tafari, 35, Toronto 	0
10	0	0	0	0	0	0	0	1	0	6	3	0	0	3.0	8	0	0	0	0	0	Sally Ann Johnson, 29, Los Angeles E10.	0
8	1	0	0	0	0	0	0	1	0	3	3	0	0	2.0	6	0	0	0	0	0	Rahul Chandran, 32, New york.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Matthew Arnold, 42, Stanford.	0
2	0	0	0	0	0	0	0	0	0	2	0	0	0	1.0	1	0	0	0	0	0	Sally Ride	0
7	0	0	0	0	0	0	0	1	0	4	2	0	0	1.0	6	0	0	0	0	0	Mir Mohammed Badrudduja, 35, Toronto 	0
22	0	0	1	1	1	3	3	0	1	2	3	2	3	3.0	13	1	1	1	3	0	Muaz Khan,     Please provide another instruction so that I can write a sentence, and not leave this window blank!   Thank you 	0
7	0	0	0	0	0	0	0	1	0	4	2	0	0	1.0	6	0	0	0	0	0	Tanvir Hussain, 24, London E10	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Akram Khan, 29, Paris.	0
9	0	0	0	0	0	2	2	0	0	2	3	0	0	2.0	7	0	0	0	0	0	Gabriel Wicked, no age, no location.	0
6	0	0	0	0	0	0	0	1	0	3	2	0	0	1.0	5	0	0	0	0	0	Garry Tallis, 32, Melbourne	0
6	0	0	0	0	0	0	0	0	0	4	2	0	0	2.0	4	0	0	0	0	0	Hooman Mokri, London E10.	0
7	0	0	0	0	0	0	0	1	0	3	3	0	0	1.0	5	0	0	0	0	0	Mohammad Yusuf, 27, Dhaka.	0
18	1	2	1	1	2	0	5	0	2	0	1	0	2	4.0	7	1	1	1	1	0	Your unrelenting pursuit for love and harmony has consistently pushed you to seek for adventure and challenges. 	1
31	4	6	0	1	2	2	10	0	2	0	1	0	3	6.0	22	1	1	1	0	0	The company is poised for significant growth based on its novel approach and the expanding market for health and wellness products due to its recent launch of new product lines. 	1
26	2	1	1	1	0	4	5	0	2	3	2	1	3	5.0	9	2	2	3	3	0	Rasputin's machinations were instrumental in provoking the Tsars wrath; thereby he played a pivotal role in the revolution that overthrew the Romanov dynasty. 	1
17	1	1	2	1	0	2	3	0	1	0	0	1	4	7.0	3	3	3	2	2	0	Satisfying relationships will keep moving on as long as you have a desire to continue the quest	1
27	2	2	3	4	1	1	3	0	2	0	3	1	5	4.0	18	3	3	3	0	0	You have been on a lifelong quest for passionate and nurturing connections, never stopping until love has been truly found; thus you keep seeking.	1
13	3	2	0	0	1	0	4	0	1	0	0	0	2	5.0	6	0	0	1	1	0	Your restless quest for authentic and sustaining rapport yields fulfilling moments of connection	1
