n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
6	0	0	0	0	0	0	1	0	1	0	1	0	2	2.0	2	1	1	1	1	0	1	1	She likes to eat eggs. 	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat purred.	0
7	0	0	0	0	0	1	1	0	1	0	3	0	1	2.0	2	0	0	1	1	0	1	1	" ""She ate a sandwich."""	0
19	2	2	1	2	0	1	4	1	1	0	1	0	1	4.0	12	2	2	1	1	0	1	1	I am not able to fulfill this request as sentences with 0 postverbals objects are not grammatically correct. The minimum requirement for a sentence is at least one verb and one noun or object	0
22	1	2	1	0	0	2	6	0	3	0	1	2	4	4.0	10	3	2	2	3	1	3	2	Going for a morning run before work helped me start the day with more energy, even before I drank my coffee	0
8	0	0	0	0	0	0	4	1	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	My computer monitor has four USB ports. 	0
9	0	0	0	0	0	1	2	0	1	0	1	0	2	3.0	4	1	1	0	2	0	2	0	Please take a break to stretch your legs.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat went away.	0
6	0	1	0	0	0	0	2	0	1	0	1	0	1	2.0	3	0	0	1	0	0	0	1	I went to class today. 	0
7	0	1	0	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	0	1	I'll go to the store. 	0
7	1	1	0	0	0	1	2	0	1	0	0	0	1	2.0	5	0	0	1	1	0	1	1	She painted every wall with different colors	0
3	0	0	0	0	0	1	1	0	0	0	0	0	1	2.0	1	0	0	1	0	0	0	1	The dog ran	0
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	1	0	0	1	0	0	0	1	   They walked home. 	0
9	0	1	1	1	0	1	1	0	0	1	2	0	1	2.0	3	0	0	1	0	0	0	1	"  ""The books were eaten quickly by Mary."	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat purred.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat ran. 	0
13	1	1	1	1	0	2	3	0	0	0	3	0	0	4.0	6	0	0	0	0	0	0	0	Okay, below is a sentence with no Post-Verbal Objects. Frodo enjoyed his supper	0
5	0	0	0	0	0	0	1	0	2	0	1	0	1	2.0	2	0	0	1	1	0	1	1	She visited her parents. 	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	I will complete the task.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sat on the mat.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat sat on the table.	0
5	0	0	1	0	0	0	0	0	0	0	3	0	1	1.0	1	0	0	0	0	0	0	0	"  ""Run quickly!"""	0
10	1	2	0	0	0	1	2	0	1	1	1	0	1	3.0	7	0	0	1	1	0	1	1	   Roger took a big bite out of his apple. 	0
17	1	2	2	1	0	2	3	0	0	0	3	0	2	3.0	7	0	0	0	0	0	0	0	Certainly, here is the requested sentence:  Please go to the main square at noon. 	0
9	3	1	0	0	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The big red car drove down main street.	0
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	1	0	0	1	0	0	0	1	She smiled serenely. 	0
33	7	1	1	3	2	1	4	0	3	0	3	1	3	6.0	23	4	4	2	3	0	3	2	I am unable to fulfill this request as postverbal objects are essential to formulate grammatically correct sentences, and without them, it is not possible to generate meaningful and accurate sentences. Is there a different request    that I can support you with?  	0
3	0	0	0	0	0	0	0	0	1	0	1	0	1	1.0	1	0	0	1	0	0	0	1	I ran. 	0
6	0	1	0	0	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	0	1	She walked to the door.	0
14	1	3	1	0	0	3	3	0	1	0	0	0	2	4.0	7	1	1	1	0	0	0	1	I ran for the hills at the very thought of the spiders coming closer	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	0	1	0	1	0	Climbed the mountain. 	0
5	0	1	1	0	0	0	1	0	0	0	1	0	1	2.0	3	0	0	0	0	0	0	0	Ran quickly to home. 	0
7	2	0	1	0	0	1	1	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The big, yellow dog sat silently	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat purred.	0
7	0	0	1	1	0	1	1	0	0	0	2	0	0	2.0	3	0	0	0	0	0	0	0	Ok, here is the response:   No postverbal objects needed to generate the sentence because the verb already includes the recipient	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The dog barked. 	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	  The cat purred.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The horse galloped across the meadow.	0
4	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	 The man ran. 	0
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	0	1	The sky was blue.	0
5	0	1	0	0	0	1	1	0	0	1	0	0	1	2.0	3	0	0	1	0	0	0	1	Jill walked through the park	0
9	1	1	0	0	0	1	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased its tail with great enthusiasm.	0
4	0	0	1	0	0	0	0	0	1	0	1	0	1	1.0	1	0	0	1	0	0	0	1	She laughed loudly. 	0
7	1	0	0	0	0	1	1	0	0	1	2	0	1	2.0	5	0	0	1	0	0	0	1	Loveless, the cold rain falls.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	 The beautiful butterfly flitted through the air.	0
23	2	3	0	0	1	4	6	0	1	0	2	0	4	5.0	13	1	1	0	3	0	3	0	Went fishing in a small puddle near the fence, caught nothing but found a beautiful dragonfly nymph hiding in the reeds. 	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred softly on my lap.	0
11	1	1	0	1	0	1	3	1	1	0	1	0	1	3.0	7	0	0	1	1	0	1	1	I'll generate a sentence with zero post verbal objects: The cake was eaten. 	0
7	0	1	0	0	0	1	2	1	0	0	1	0	1	2.0	5	0	0	0	1	0	1	0	 Generate a sentence with 2 appositives. Write only the sentence, without adding further text and without explanation	1
12	0	2	0	0	1	1	3	1	1	0	1	0	2	4.0	5	0	0	1	1	0	1	1	I went to the store and bought one pound of chicken. 	1
7	0	1	0	0	0	0	2	1	0	1	1	0	1	3.0	2	0	0	1	1	0	1	1	  Cathy placed three books on tables. That one sentence above contains one postverbal object being books  which was placed	1
15	0	0	2	0	0	2	3	0	2	0	1	1	3	3.0	6	2	2	2	2	0	2	2	    The dog gleefully fetched the ball after his master commanded him to do so. 	1
7	0	1	0	0	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat played with two balls.	1
7	1	0	0	0	0	1	2	0	0	1	1	0	1	2.0	4	0	0	1	1	0	1	1	Maria cooked the steak medium rare. 	1
9	0	1	0	0	0	1	3	1	0	0	1	0	2	2.0	5	0	0	1	0	0	0	1	  One sunbather relaxed beneath a shaded beach umbrella. 	1
6	1	0	1	0	0	0	1	1	1	0	0	0	1	2.0	3	0	0	1	1	0	1	1	She carefully placed one delicate vase	1
17	1	1	1	1	0	2	3	1	0	1	3	0	2	3.0	11	0	0	1	1	0	1	1	Okay, here is the requested sentence with one postverbial object:  Eva ate an apple.	1
16	4	1	0	0	0	3	4	0	1	0	1	0	2	4.0	5	1	1	2	1	0	1	2	The big cat devoured the delicious juicy mouse that slinked across the dark forest floor. 	1
7	0	0	0	0	0	1	2	1	0	0	2	0	1	2.0	2	0	0	1	1	0	1	1	""" The dog caught one ball."	1
8	0	0	0	0	0	1	2	0	1	0	3	0	1	2.0	2	0	0	1	1	0	1	1	" "" The cat chased its tail."""	1
