n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
11	1	1	2	1	1	0	3	0	0	0	1	0	1	3.0	7	0	0	1	0	0	Lunchboxes and reusable containers are no longer allow in campus. 	0
11	0	1	1	0	1	2	2	0	1	0	1	0	2	3.0	4	0	0	1	1	0	She skipped the ceremony and went straight to the party. 	0
10	1	0	0	0	0	3	4	0	0	0	1	0	1	2.0	6	0	0	1	2	0	The manager handed the employee the new project files.	0
12	1	0	1	1	0	2	3	1	0	0	1	0	1	4.0	8	1	0	1	1	1	The best time to plant a tree was twenty years ago.	0
8	0	0	1	0	0	1	1	0	1	0	3	0	1	2.0	3	0	0	1	1	0	" ""She ate the chocolate quickly."""	0
8	2	1	0	0	0	1	2	0	0	1	0	0	1	2.0	5	0	0	1	0	0	The sky turned bright blue on Saturday morning	0
36	4	3	2	2	1	3	9	0	1	0	2	2	5	5.0	17	5	2	2	3	3	Although this seems to simply result in writing short sentences with little detail, this type of prompt can help the person or AI writing the response to be more conscious of concise language use. To address the task, one possible response would be:   Students should learn how to write short, concise sentences for stronger communication.	0
6	0	1	0	0	0	1	2	0	1	0	0	0	1	2.0	4	0	0	1	0	0	I walked into the living room	0
8	1	0	0	1	0	0	1	0	1	0	2	0	1	2.0	3	0	0	1	0	0	  Happiness is not something ready-made.	0
5	1	0	0	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The sky shimmered blue. 	0
9	0	0	1	1	0	1	1	0	1	0	2	0	1	3.0	3	1	1	1	0	0	Okay, here is the sentence you requested: The dog tail wagged. 	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The dog ran down the street. 	0
13	0	2	0	0	1	2	4	0	1	1	0	0	2	3.0	6	0	0	1	2	0	Sarah picked up the pen and wrote her phone number on the envelope	0
15	1	2	0	0	1	0	4	0	3	0	1	0	3	4.0	6	0	0	1	2	0	I finished my report on time and received glowing reviews for my excellent work. 	0
17	2	1	1	1	0	1	3	1	1	0	5	0	1	3.0	12	0	0	1	0	0	"Fine - here is your sentence with 0 subordinate propositions: ""The lionesses walked."" "	0
12	2	1	1	2	0	0	3	0	1	0	1	0	1	4.0	7	1	0	1	1	1	 Eating too much junk food can be bad for your health. 	0
17	0	2	0	0	0	2	5	1	2	0	0	0	3	4.0	8	1	1	1	2	0	The company expanded its marketing budget  by 20% to accommodate the growing demand for their products	0
9	1	1	0	0	0	1	2	0	1	1	1	0	1	2.0	6	0	0	1	1	0	Jones found an acrimonious letter on her porch.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	   The sun rises slowly in the morning. 	0
3	0	0	0	0	0	1	1	0	0	0	1	0	0	1.0	1	0	0	0	0	0	No problem. The sentence requested below is written entirely using only one main clause, no subordinate clauses:  I'm leaving now but the meeting will still be rescheduled for next week	0
7	0	1	0	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	1	0	She ate an sandwich for lunch. 	0
18	1	3	1	0	0	2	6	0	1	1	0	0	2	4.0	8	1	1	1	2	0	Bill ate pizza alone in the restaurant booth to regain his strength after an exhausting shift at work	0
5	0	0	0	1	0	0	0	0	2	0	1	0	1	1.0	2	0	0	1	1	0	I can accomplish that! Here you go:  Juana brought a salad to share. 	0
8	0	1	0	1	0	1	2	0	0	1	1	0	1	2.0	4	0	0	1	0	0	Alice was delighted by the surprise party. 	0
12	1	1	1	0	0	1	3	0	1	0	2	0	2	3.0	6	1	1	2	0	0	The puppy sat quietly, her brown eyes sparkling with excitement.	0
10	0	1	0	0	0	2	2	0	0	1	2	0	2	3.0	5	1	1	1	1	0	Sandra walked into the house, humming a melody. 	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat sat on the fence.	0
6	0	1	0	0	0	2	2	0	0	0	0	0	1	2.0	3	0	0	1	0	0	The cat sat on the mat	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	 The cat purred contentedly on my lap.	0
13	0	0	2	1	0	1	2	0	2	0	3	0	2	3.0	5	0	0	2	1	0	No problem, this should only take moment, Here you go:  The man went to bed very tired from his long trip but was awaken by the call of his alarm clock for work the next day	0
7	0	0	0	0	0	1	2	0	1	1	0	0	2	2.0	4	1	1	1	2	0	Jane painted the room herself using brushes	0
10	2	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The black cat quickly escaped through the open window. 	0
4	0	0	1	0	0	0	0	0	0	1	1	0	1	1.0	1	0	0	1	0	0	   Sally went outside.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	 The cat purred contentedly on my lap.	0
15	2	1	0	0	1	2	4	0	0	0	1	0	3	3.0	7	1	1	1	2	0	The company hired a team of experienced engineers to design and build new facilities.	0
19	0	0	0	0	0	2	7	1	1	0	1	1	3	4.0	10	2	2	1	2	0	The manager approved her assistant's two weeks' vacation request despite having some pressing deadlines to meet. 	0
6	1	0	0	1	0	1	1	0	0	1	1	0	0	1.0	4	0	0	1	0	0	Jupiter is the biggest planet.	0
11	2	2	0	0	0	1	4	0	0	0	1	0	1	3.0	5	0	0	1	1	0	The manager hired more employees at higher rates of pay. 	0
16	0	1	2	1	0	2	3	0	0	0	2	0	4	4.0	6	3	3	1	1	0	The snow was piled high on the sidewalks, making walkers struggle to get through.	0
14	1	1	0	1	0	3	3	0	0	0	4	0	1	3.0	5	1	1	2	0	0	"The main clause is: ""The man walked down the street."""	0
