n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_pre_constraint
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	0
12	0	1	0	0	1	0	6	1	1	0	1	0	1	3.0	6	0	0	1	1	0	Without hesitation or disgust, my aunt devoured six chocolate cake pieces	0
45	1	2	3	1	2	1	8	1	8	1	4	2	7	6.0	36	5	5	4	5	0	Blake had to sell her most prized possession to meet her children's needs after losing her job and her husband due to covid-19, but when she checked the buyer's references, she discovered that they had ripped her apart.	0
8	1	0	0	0	0	1	3	0	0	0	0	1	2	2.0	5	1	1	2	1	0	The sky turned pitch black as night fell	0
13	0	2	2	0	0	1	2	0	2	0	2	0	2	3.0	4	1	0	2	0	1	With my heart beating fast, I ran away from the police. 	0
6	0	0	0	1	0	1	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	I will eat this pizza. 	0
7	0	0	1	0	0	0	1	0	1	1	0	0	2	2.0	4	1	1	1	1	0	Napoleon ordered his generals to advance immediately	0
9	0	1	0	1	0	2	2	0	1	0	0	0	1	2.0	5	0	0	1	1	0	I would not visit the cities after the attack	0
19	2	1	1	1	1	2	4	0	0	0	1	2	3	5.0	6	2	2	3	0	0	The sky turned dark and birds ceased to sing as if nature too was aware of the omen.	0
17	1	2	0	2	1	4	5	0	0	0	1	0	1	4.0	5	1	1	1	0	0	The response must be a complete sentence with no clauses or phrases added after the sentence. All responses will be graded for quality and accuracy. This task will test your understanding of the concept of subordinate propositions in relation to the main clause	0
7	0	0	0	0	0	0	1	0	2	0	1	1	2	3.0	3	1	1	0	2	0	  Thank you for submitting your output. Here is the result	0
10	1	0	1	0	0	2	2	0	1	0	1	0	2	4.0	3	1	1	1	2	0	Write a single sentence that appropriately completes the request. 	0
16	1	1	1	2	0	2	3	0	2	0	1	0	2	5.0	13	2	0	3	0	2	When she saw the baby's eyes were closed in the photo, it was clear	0
10	1	1	1	0	0	0	2	1	1	1	1	0	1	3.0	7	0	0	1	1	0	Napoleon had one of his best nights sleep yet.	0
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	0
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	0
5	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	0	1	0	Please provide the instruction.	0
8	0	1	0	0	0	1	2	0	0	2	1	0	1	2.0	4	0	0	1	1	0	Natalie McVeigh ate a sandwich for lunch.	0
11	1	0	0	1	0	2	1	0	1	0	2	0	2	3.0	6	1	1	1	1	0	No need to apologize; I'd do the same.	0
12	1	1	0	0	0	2	3	0	0	0	0	0	3	4.0	5	2	2	1	1	0	The police had to act with extreme force to quell the riot	0
10	1	1	1	0	0	1	1	0	1	0	1	0	2	5.0	2	1	1	0	1	0	Please provide a prompt similar to those presented before. I will be happy to respond once I am given something to analyze! 	0
7	1	0	1	2	0	1	1	0	0	0	0	0	1	2.0	6	0	0	1	0	0	When the last morsel has been devoured 	0
4	0	0	0	1	0	0	0	0	1	0	1	0	1	1.0	2	0	0	1	0	0	I am waiting.	0
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	0
14	0	1	1	0	0	2	4	1	2	0	1	0	2	3.0	7	1	0	2	2	1	When a thousand ships set sail into the horizon, we knew their fate	0
13	0	2	0	0	0	2	5	0	0	0	1	1	2	3.0	7	1	1	2	1	0	The sky wept tears of blood as the earth convulsed in agony.	0
5	0	0	0	0	0	1	1	0	0	0	1	0	1	2.0	2	0	0	0	1	0	Please provide the sentence. 	0
6	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	3	0	0	0	1	0	Please input the sentence here: 	0
15	2	0	1	0	1	3	3	0	0	0	1	1	3	4.0	5	1	1	3	0	0	The sky turned dark and the stars came out as the screams fell silent.	0
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	None.	0
15	1	3	1	0	0	3	5	0	0	0	1	0	1	4.0	9	1	0	1	0	1	When cities explode in the flames of war, the wicked dance in the streets	0
