n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
18	1	0	2	0	0	3	1	3	0	3	0	2	1	2	2	2	0	4.0	2	7	The provided text does not contain any verbs, therefore I am unable to complete the task.	0
9	1	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	6	The fruit from the basket is exceptionally ripe.	0
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The music is calming.	0
9	0	0	1	1	0	2	1	1	0	0	0	1	2	0	1	0	0	2.0	0	4	The fruit is sweet despite its negligible taste.	0
13	0	0	2	1	1	2	0	2	0	0	0	2	3	0	2	0	0	3.0	0	6	The coffee is bitter, but the food is mediocre at best.	0
13	0	0	2	1	1	2	0	2	0	0	0	2	3	0	2	0	0	3.0	0	6	The weather is sunny, but the food is mediocre at best.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	The coffee is lukewarm, but the pastries are delicious.	0
11	0	0	1	1	0	3	0	3	0	1	0	0	2	0	1	1	0	3.0	0	4	The vibrant flowers on the table create an enchanting atmosphere.	0
15	2	0	3	0	2	1	0	1	0	2	0	1	3	0	1	0	0	4.0	0	9	The vibrant flowers, once lush and blooming, are now withered and lifeless.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	The tea is fragrant, but the bread is stale.	0
9	0	0	2	0	0	2	1	1	0	0	0	1	2	0	2	0	0	3.0	0	4	The flowers are vibrant, their fragrance intoxicating.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	3.0	0	4	The colorful flowers in the garden bloom perpetually.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	The music is perfect for the party.	0
18	0	1	1	0	1	3	1	2	0	3	0	2	2	1	2	2	0	5.0	1	4	The provided text is incomplete and does not contain sufficient information for me to complete the task.	0
47	4	0	8	6	2	10	1	7	1	0	0	2	6	0	2	0	0	6.0	0	20	The food is mediocre at best, or today, like many Americans, I am skeptical, No transportation at this point, just a tabs, Thanks for the comment on the hearing, or Very hard work from the boys in blue there.	0
14	0	1	2	1	0	4	1	2	0	2	0	0	1	1	2	0	0	3.0	1	7	The flowers smell sweet today, as the sun shines upon their petals.	0
7	0	0	1	1	0	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The coffee is lukewarm at best.	0
20	1	0	3	0	0	4	1	3	0	3	0	2	1	0	2	2	0	3.0	0	11	The provided text does not describe a verb-free sentence, therefore I cannot complete the task.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The fruits are ripening in the sun.	0
28	0	0	2	1	3	8	2	3	0	5	1	1	2	2	3	4	0	9.0	2	9	The provided text describes various situations and people, but I have generated a sentence utilizing 0 verbs that encapsulates the overall theme of neutrality and non-action.	0
13	0	0	2	0	1	2	0	2	0	1	0	2	3	0	2	0	0	3.0	0	7	The prepared food is pleasant, but the accompanying service is poor.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	The fruits of the labor are bittersweet.	0
8	0	0	1	0	1	1	0	1	0	0	0	1	3	0	1	0	0	2.0	0	2	The colorful photographs are captivating and vibrant.	0
