n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
15	0	0	2	2	1	4	0	4	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat jumped onto the fence, and the ball bounced around the park.	0
10	1	0	2	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The cat sat on the mat, purring contentedly.	0
15	1	0	1	1	0	3	1	3	0	3	0	1	0	2	2	1	0	4.0	2	5	The cat jumped onto the table to eat the food that was placed there..	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	A cat chased a mouse up the tree.	0
16	1	0	2	2	0	4	1	3	0	2	0	0	1	1	2	0	0	4.0	1	5	The cat slept soundly on the soft rug, its purrs resonating through the night.	0
15	0	0	2	1	1	2	1	2	0	4	0	0	1	2	1	1	0	4.0	2	5	The sun shines upon the fruit, causing it to ripen and become sweet.	0
18	1	0	2	2	0	7	1	3	0	2	0	0	0	1	1	2	0	4.0	1	7	The student diligently completed the homework assignment on time, demonstrating her understanding of the subject matter.	0
11	0	0	1	1	1	2	0	2	0	3	0	0	0	1	1	0	0	3.0	1	5	The cat jumped onto the mat and began to purr.	0
15	0	0	2	2	1	3	1	3	0	2	0	1	0	0	2	0	0	3.0	0	9	 The cat jumped onto the table, and the dog was chasing after it.	0
12	1	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	4.0	1	3	The sun shines brightly, illuminating the flowers in the garden.	0
12	0	0	1	1	0	3	1	2	0	2	0	1	0	1	1	1	0	3.0	1	5	 My family is going to the park to have a picnic.	0
12	0	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat jumped onto the table, and the dog barked.	0
15	1	0	3	0	1	3	0	3	0	3	0	0	1	1	1	2	0	4.0	1	5	The sun shone brightly, illuminating the flowers, and creating a pleasant atmosphere.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The dog chased the ball across the park.	0
12	1	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	4.0	1	3	The sun shines brightly, illuminating the flowers in the garden.	0
15	0	0	2	1	0	4	1	4	0	2	0	0	1	1	1	2	0	3.0	1	7	The dog chased the ball across the park, making it a delightful sight.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The dog chased the ball across the park.	0
15	0	0	3	2	1	3	0	3	0	3	0	0	0	0	1	0	0	3.0	0	8	The cat jumped onto the mat, rested, and glanced at the clock.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat sat on the mat.	0
18	1	0	2	2	1	5	0	3	0	2	0	0	2	1	1	2	0	4.0	1	10	The vibrant sunset painted the sky with hues of orange and pink, illuminating the beach below.	0
10	1	0	2	0	0	2	0	2	0	2	0	0	1	1	1	1	0	3.0	1	3	The sun shines brightly, illuminating the entire sky.	0
13	0	0	2	2	0	3	0	3	0	2	0	0	1	1	1	0	0	3.0	1	5	The cat sat on the mat, basking in the warm sun.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The cat jumped onto the mat and played with the ball.	0
12	0	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat jumped onto the table, and the dog barked.	0
15	0	0	2	2	1	4	0	4	0	2	0	0	0	0	1	1	0	4.0	0	5	The cat jumped onto the table and perched, a top of the fruit.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The apple is round and red.	0
16	1	0	2	1	1	3	1	3	0	2	0	1	0	1	3	0	0	3.0	1	12	The dog barked when the mailman arrived, but the mail was not for him.	0
15	1	0	2	2	0	4	1	2	0	2	0	0	1	1	1	0	0	3.0	1	7	The cat slept peacefully under the warm sun, basking in its afternoon nap.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The boy chased the dog down the street.	0
13	1	0	2	2	0	3	1	2	0	2	0	0	0	1	1	1	0	4.0	1	6	The wind blew gently, carrying the scent of flowers with it.	0
12	1	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun shines brightly, casting long shadows on the grass.	0
14	1	0	2	2	0	3	0	3	0	2	0	0	1	1	1	0	0	3.0	1	5	The cat jumped onto the table, landing gracefully on the fresh fruit.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the ball across the park.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The cat jumped onto the table and landed on the chair.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the mouse across the park.	0
15	0	0	2	1	1	4	0	4	0	2	0	0	1	0	2	1	0	3.0	0	7	The young cat climbed the tree, and the ball bounced on the floor.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The flowers bloomed brightly on a sunny day.	0
14	0	0	2	1	1	4	0	4	0	2	0	0	0	0	2	1	0	3.0	0	8	The cat jumped onto the table, and the dog fetched a ball.	0
12	1	0	2	1	1	3	0	2	0	2	0	0	0	0	2	0	0	3.0	0	6	The wind blew wildly, and the trees swayed in response.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping cat.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The cat chased the mouse up the tree.	0
11	0	0	3	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	" ""The cat chased the mouse up the tree."""	0
11	1	0	2	0	1	2	0	2	0	1	0	1	1	0	2	0	0	3.0	0	5	The sky was blue, and the sun shone brightly.	0
15	0	0	1	2	1	3	0	3	0	2	0	0	3	0	1	0	0	3.0	0	6	The red cat sat on the green mat and played with the blue ball.	0
12	1	1	1	1	0	3	0	3	0	2	0	0	0	1	2	0	0	3.0	1	7	The cat sat on the mat while the sun shone brightly.	0
15	1	0	2	3	0	4	0	3	0	2	0	0	0	1	1	0	0	4.0	1	5	The cat jumped onto the table, landing perfectly on the bowl of fruit.	0
13	1	0	2	1	0	3	0	3	0	2	0	0	1	1	1	1	0	4.0	1	3	The sun shines brightly, illuminating the vibrant flowers in the garden.	0
14	0	0	2	1	1	4	0	4	0	2	0	0	0	0	2	1	0	3.0	0	7	The dog chased the ball, and the cat jumped over the fence.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The dog chased the ball across the park..	0
13	1	0	2	2	0	3	0	3	0	2	0	0	0	1	1	0	0	4.0	1	4	The dog ran quickly down the street, chased by the wind.	0
12	0	0	2	0	1	3	0	3	0	2	0	0	1	0	1	2	0	3.0	0	5	The student completed the homework, and received a good grade.	1
10	2	1	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The cat slept soundly while the rain fell softly.	1
10	1	1	1	0	0	2	1	2	0	2	0	0	0	1	2	1	0	2.0	1	5	The dog chased the ball after it rolled away.	1
13	1	0	2	1	0	1	2	1	0	1	0	2	1	0	2	1	0	2.0	0	6	The book was captivating, so I couldn't put it down.	1
16	2	0	2	0	1	2	1	2	0	4	0	1	0	2	3	0	0	4.0	2	6	The dog barked loudly, and the children ran outside to see what was happening.	1
15	0	1	2	1	0	4	0	3	0	3	0	1	0	2	2	1	0	3.0	2	10	The cat sat waiting for the owner, while the owner was preparing dinner.	1
15	0	0	2	1	0	3	1	3	0	3	0	0	1	2	1	2	0	4.0	2	5	The cat jumped onto the table, allowing me to see the precious gemstone.	1
11	0	0	2	1	1	2	1	2	0	2	0	0	0	0	2	0	0	2.0	0	7	The cat jumped onto the table, and it hissed.	1
13	1	0	2	1	0	1	2	1	0	1	0	2	1	0	2	1	0	2.0	0	6	The book was compelling, so I couldn't put it down.	1
20	0	0	2	3	1	6	0	3	0	2	0	0	3	1	1	2	0	5.0	1	7	A vibrant sunset cast long shadows on the beach, illuminating the sky with streaks of orange and pink.	1
10	2	1	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The cat slept soundly while the rain fell softly.	1
14	0	0	2	2	1	3	1	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat jumped onto the table, and the dog chased after it.	1
13	0	0	2	1	0	3	0	3	0	3	0	0	0	2	1	1	0	3.0	2	5	The cat jumped onto the table, causing the plates to fall.	1
15	0	0	2	1	1	3	1	3	0	3	0	0	0	1	2	1	0	4.0	1	7	The cat jumped onto the table, and it began to eat the fruit.	1
10	2	1	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The cat slept soundly while the rain fell softly.	1
11	2	1	2	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	6	The cat slept soundly, although the wind blew fiercely.	1
9	2	0	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The dog barked loudly when the mailman arrived.	1
12	0	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat jumped onto the table, and the clock stopped.	1
14	0	0	2	1	1	4	0	4	0	2	0	0	0	0	2	1	0	3.0	0	7	The dog chased the ball, and the ball rolled across the park.	1
13	1	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat strolled through the park, and the bird flew alongside.	1
10	2	1	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The cat slept soundly while the rain fell gently.	1
13	0	0	2	0	1	3	1	3	0	2	0	0	1	0	2	2	0	3.0	0	6	The student finished the homework, and she received a good grade.	1
11	0	0	1	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The boy ran to the store to buy some groceries.	1
20	0	1	3	1	1	3	3	1	0	3	0	2	2	2	2	1	0	3.0	2	9	The book is captivating, despite its lengthy chapters, and has held my attention since I began reading.	1
16	1	1	2	1	0	3	1	2	0	3	0	1	0	2	2	0	0	4.0	2	5	The cat was sitting on the mat, waiting for its owner to come home.	1
12	1	0	2	0	1	3	0	3	0	2	0	0	0	0	2	1	0	3.0	0	7	The dog chased the ball, and the cat played nearby.	1
14	2	1	2	1	0	3	0	3	0	2	0	0	0	1	2	0	0	3.0	1	6	The dog slept soundly, while the rain showered gently on the garden.	1
13	1	0	2	1	0	3	1	3	0	2	0	0	0	1	2	1	0	3.0	1	7	The team completed the project successfully, despite the challenges they faced.	1
9	2	0	1	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	5	The dog barks loudly when the mailman arrives.	1
12	0	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat jumped onto the table, and the dog barked.	1
