n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PRON_constraint
17	1	0	2	2	1	5	0	3	0	3	0	0	0	1	1	1	0	6.0	1	6	The wind blows gently through the leaves, creating a symphony of rustling and swaying motion.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The wind whips the waves.	0
12	0	0	2	1	0	3	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	The cat sits on the mat, enjoying the warm sun.	0
12	1	0	2	1	0	3	1	2	0	2	0	0	0	1	1	1	0	3.0	1	6	The rain falls gently on the trees, nourishing their growth.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The apples are red.	0
11	0	0	2	1	0	3	1	2	0	2	0	0	0	1	1	1	0	3.0	1	5	The rain falls on the plants, nourishing their growth.	0
14	1	0	1	2	0	3	0	3	0	1	0	0	3	0	1	0	0	3.0	0	5	The vibrant purple flowers bloom gracefully across the emerald tapestry of the meadow.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The red apple hangs from the branch.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The apple hangs from the tree branch.	0
15	1	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun shines brightly upon the flowers, casting long shadows across the grass.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	A ripe strawberry hangs on the tree.	0
11	0	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	4.0	1	2	The vibrant flowers bloom, emanating a fragrance of joy.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The red ball travels quickly across the green table.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	 The red apple is on the table.	0
16	1	0	2	1	0	4	0	3	0	4	0	0	0	2	1	1	0	4.0	2	6	The brightly colored fruit hangs suspended from the branch, awaiting the butterfly's arrival.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	4.0	1	3	The clock chimes, signifying the hour of the meeting.	0
14	0	0	2	2	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	5	The clock chimes resonate through the halls, marking the passage of time.	0
15	0	0	1	2	1	4	0	4	0	2	0	0	1	0	1	1	0	3.0	0	6	The apples ripened in the sun and filled the kitchen with a sweet aroma.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The red apple rests firmly on the wooden table.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The apple falls onto the table.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The flowers danced in the wind.	0
14	1	0	2	2	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	6	The water flowed swiftly over the stones, carving paths through the landscape.	0
12	0	0	2	1	0	2	0	2	0	3	0	1	0	2	1	0	0	3.0	2	5	The object hangs in the sky, waiting to be admired.	0
14	0	0	2	2	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	4	The wind whips the leaves, dancing in a symphony of autumn colors.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The blue ball bounces on the red spring.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The flowers bloom beautifully in the sunshine.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The wind blows wildly.	0
14	0	0	2	2	0	3	0	2	0	2	0	0	3	1	1	0	0	3.0	1	5	A colorful tapestry hangs on the wall, adorned with intricate geometric patterns.	0
10	0	0	2	1	0	3	0	2	0	2	0	0	0	1	1	1	0	2.0	1	5	The sun shines upon the flowers, creating beauty.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The flowers bloom in the sun.	0
