n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
8	0	0	2	1	0	2	0	1	0	2	0	0	0	1	1	1	0	2.0	1	3	 A truck drives by, carrying groceries.	0
14	1	0	4	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	" ""The sun shines brightly, casting long shadows on the ground."""	0
8	0	0	3	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	" ""I am reading a book."""	0
5	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	1	The clock strikes seven.	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""The cat jumped onto the mat."""	0
8	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	2.0	0	4	You are walking along a straight path.	0
10	0	0	4	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""Yesterday, I walked to the park."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
10	0	0	3	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	" ""A pencil is moving across the page."""	0
14	0	0	1	0	0	3	2	3	0	3	0	1	0	2	2	2	1	4.0	3	4	A verb describing action is all that I require to complete this task.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The clock chimes.	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	 A boy throws a ball.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	 The swift wind blew through the trees.	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""A ball bounced on the ground."""	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""The cat sat on the mat."""	0
13	0	1	3	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	3	" ""A group of friends laughed while watching a comedic video."""	0
9	0	0	3	1	0	1	0	2	1	1	0	0	0	0	1	0	0	2.0	0	3	" ""The sun shines upon the Earth."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A cat sat on the mat.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The clock chimes.	0
10	0	0	3	1	0	2	1	1	0	1	0	1	0	0	1	1	0	3.0	0	2	"  ""I am eating a piece of fruit."""	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	 A person ran quickly to the store.	0
8	1	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	The clock chimes at precisely four o'clock.	0
13	0	0	2	1	0	3	1	2	0	3	0	0	0	2	1	2	0	4.0	2	4	The clock chimes, prompting me to begin the task at hand.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The clock chimes.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The clock chimes consistently.	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""A boat sailed across the waves."""	0
9	0	0	1	1	0	2	0	2	0	1	0	1	1	0	1	0	0	3.0	0	5	A single sentence with no adjectives was generated.	0
