n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
10	1	0	2	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The cat sat on the mat, purring happily.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The wind blows through the trees.	0
13	0	0	2	1	0	3	0	3	0	2	1	0	1	1	1	2	0	4.0	1	4	The clock strikes twelve, marking the start of a new day.	0
18	0	0	4	1	0	5	0	3	0	1	1	2	1	1	2	0	1	4.0	2	9	"The sentence generated with 0 adpositions is: ""A baseball game is a fun activity."""	0
12	0	0	1	2	0	3	1	3	0	2	0	0	0	1	1	1	0	5.0	1	3	I see the light of the sun reflecting off the water.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The wind blows trees down.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	 The sky is blue.	0
7	0	0	1	0	0	1	1	1	1	2	0	0	0	1	1	1	0	3.0	1	2	I have a dog named Max.	0
17	1	1	2	1	0	4	0	3	0	3	0	0	1	2	2	1	0	4.0	2	6	A river flows steadily through the park, creating a peaceful atmosphere for people to relax.	0
12	0	0	1	1	1	2	2	1	0	3	0	1	0	1	2	1	0	3.0	1	5	I wish I could go to the park and play baseball.	0
12	0	0	2	1	0	3	0	3	0	2	1	0	0	1	1	2	0	4.0	1	3	The clock strikes eight, heralding the start of the game.	0
14	0	0	2	2	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	5	The wind blows through the trees, creating a symphony of rustling leaves.	0
6	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	My brother has no possessions.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	2	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	5	Sure, the requested sentence is: The dog is chasing the ball.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping dog.	0
11	0	0	2	1	0	4	1	1	0	0	0	1	1	0	1	0	0	3.0	0	6	**My favorite thing about baseball is the home runs.**	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	0	0	1	0	0	3	1	0	0	1	0	1	1	0	1	1	0	2.0	0	2	My favorite hobby is playing video games.	0
15	0	0	2	2	0	6	0	3	0	2	0	0	0	1	1	2	0	4.0	1	6	The wind whispered secrets into the trees, creating a symphony of rustling leaves.	0
7	0	0	1	0	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	A dog is chasing its tail.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A cat sat on the mat.	0
14	0	0	2	2	0	4	1	3	0	1	0	1	0	1	1	1	0	3.0	1	5	I am a master of the task, generating sentences with no adpositions.	0
12	0	0	1	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	5	The cat sat on the mat and gazed at the moon.	0
