n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
7	0	0	3	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	" ""The sky is blue."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
13	0	0	2	1	0	3	0	3	0	2	0	0	2	1	1	1	0	3.0	1	6	The cat jumped onto the soft pillow, creating a cozy snuggle.	0
10	0	0	3	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	" ""The cat jumped onto the green rug."""	0
16	1	0	2	2	0	4	0	4	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun shines brightly across the sky, creating a pleasant atmosphere for the day.	0
12	0	0	3	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	" ""The quick brown fox jumps over the sleeping dog."""	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat jumped onto the tree branch.	0
16	0	0	4	2	0	4	0	3	0	1	1	1	0	0	2	0	0	3.0	0	8	"The sentence with 0 numerals is ""The cat jumped onto the mat.""."	0
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	" ""The cat jumps on the mat."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat sat on the mat.	0
9	0	0	1	1	0	4	0	2	0	0	0	0	1	0	0	0	0	2.0	0	5	A rose blooms beneath the gentle morning sun.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	0
11	1	0	3	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	" ""The sun shines brightly on a warm day."""	0
19	1	0	3	2	0	6	0	3	0	2	0	0	2	2	0	2	0	5.0	2	7	A rainbow arcs overhead, painting the sky with vibrant hues, creating a whimsical symphony of color.	0
9	0	0	2	0	0	2	0	2	0	2	1	0	0	1	1	2	0	3.0	1	3	The clock strikes seven, heralding the evening.	0
7	1	0	1	0	0	2	0	1	0	1	0	0	1	0	1	1	0	2.0	0	2	A young poet reads poetry aloud.	0
9	1	0	1	1	0	4	0	2	0	0	0	0	0	0	0	0	0	2.0	0	5	The sunflower blooms vibrantly in the springtime sun.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
15	1	0	2	2	0	5	0	3	0	2	0	0	0	1	1	0	0	3.0	1	7	The cat sits gracefully beneath the oak tree, basking in the afternoon sun.	0
8	0	0	1	1	0	1	0	2	1	1	0	0	1	0	1	0	0	2.0	0	4	The sun shines warm upon the Earth.	0
15	0	0	3	2	1	4	0	2	0	1	0	0	2	0	1	1	0	4.0	0	4	" ""The vibrant sunset painted the sky with streaks of orange and pink."""	0
12	0	0	1	2	0	3	0	3	0	1	0	0	2	0	1	0	0	3.0	0	4	The cat sleeps beneath the soft blanket on the warm rug.	0
14	1	0	2	2	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	6	The wind blew gently through the trees, whispering secrets to the birds.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	 The sky is blue.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	 The butterfly danced gracefully in the park.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The cat sleeps soundly.	0
12	1	0	3	1	1	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	6	" ""The cat sits on the mat and naps peacefully."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped over the tree.	0
11	0	0	3	1	0	2	1	1	0	2	0	0	1	0	1	0	0	2.0	0	4	" ""The young boy played with his stuffed animal."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	A cat purrs contentedly in the garden.	0
9	0	0	2	1	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	Sure, I generated a sentence without numerals.	0
15	0	0	2	2	0	4	0	3	0	2	0	0	2	1	1	1	0	3.0	1	6	The sun shines bright on the meadow, casting soft shadows on the grass.	0
