n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
18	2	0	2	3	1	4	0	4	0	0	0	2	0	0	2	0	0	3.0	0	8	The cereal in the cupboard is out of the box, but the milk is still there.	0
15	1	0	2	0	1	4	1	2	0	1	0	1	2	0	1	0	0	3.0	0	5	The weather is sunny today, and there's a great coffee shop nearby.	0
11	1	0	1	1	0	3	0	2	0	0	0	1	2	0	1	0	0	3.0	0	7	The breakfast options at the nearby restaurant are quite diverse.	0
12	1	0	1	2	0	3	0	3	0	0	0	1	1	0	1	0	0	4.0	0	9	The food at the restaurant across the street is always delicious.	0
11	0	0	2	0	1	2	0	2	0	1	0	2	1	0	2	0	0	3.0	0	6	The coffee is brewing, and the toast is perfect.	0
18	0	0	3	1	1	3	1	3	0	1	0	2	3	1	3	0	0	4.0	1	6	The coffee was cold, but the food was hot, which made for a perfect breakfast.	0
12	0	0	2	0	1	2	1	1	0	1	0	2	2	0	2	0	0	2.0	0	6	The weather is pleasant today, and I'm feeling good.	0
11	0	0	2	0	1	2	0	2	0	1	0	2	1	0	2	0	0	3.0	0	6	The breakfast is ready, and the coffee is brewing.	0
11	0	0	2	0	1	2	0	2	0	1	0	2	1	0	2	0	0	3.0	0	6	 The coffee is steaming, and the bread is fresh.	0
13	0	0	4	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	"""The coffee is hot, and the toast is perfect."""	0
13	0	0	2	1	1	3	1	2	0	1	0	1	1	0	2	1	0	3.0	0	4	 The coffee is ready, but I prefer tea in the morning.	0
12	0	0	1	1	0	4	0	3	0	0	0	1	2	0	1	0	0	2.0	0	5	The oatmeal is a satisfying breakfast option on a cold morning.	0
10	3	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	3.0	1	3	The coffee is too hot to drink right now.	0
10	0	0	1	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	5	The pancakes are fluffy and the coffee is hot.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	The coffee is delicious, and the pastries are flaky.	0
12	0	0	2	0	1	2	0	2	0	0	0	2	3	0	2	0	0	3.0	0	7	The coffee was cold, but the orange juice was refreshing.	0
23	0	0	2	3	1	7	0	5	0	1	0	1	3	0	2	1	0	4.0	0	8	The breakfast menu at the restaurant is excellent, and the market across the street has a wide selection of fresh produce.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	The coffee is hot, and the bread is fresh.	0
19	1	0	2	2	1	4	1	4	0	1	0	1	2	0	1	0	0	3.0	0	8	The breakfast is always delicious at the nearby restaurant, and there's a market across the street.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	 The breakfast was delicious, and the coffee was perfect.	0
13	0	0	2	1	1	1	2	1	0	2	0	1	1	1	2	1	0	3.0	1	4	 The coffee is cold, and I need to heat it up.	0
9	0	0	1	1	0	3	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	 The weather is perfect for a picnic today.	0
10	0	0	1	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	5	The bread is fresh and the coffee is hot.	0
13	0	0	1	1	1	3	1	3	0	1	0	1	1	0	1	0	0	4.0	0	3	The breakfast was delicious and there was a market across the street.	0
13	0	0	2	1	1	3	0	3	0	0	0	2	1	0	2	0	0	3.0	0	8	 The breakfast is ready, and the market is across the street.	0
21	1	0	4	2	1	6	1	4	0	1	0	0	1	0	0	0	0	4.0	0	13	There's a restaurant nearby (walking distance) with a great breakfast, and a market across the street.	0
20	2	0	2	1	1	6	0	4	0	3	0	0	1	0	2	2	0	4.0	0	10	The cafe across the street has a wonderful breakfast menu, and the bakery nearby has freshly baked bread.	0
14	0	0	1	1	0	3	3	2	0	2	0	1	1	1	1	1	0	3.0	1	7	There is a great book in the library that I would recommend reading.	0
17	0	0	1	3	1	5	1	3	0	1	0	1	1	0	1	1	0	3.0	0	13	They're selling fresh fruit and vegetables at the market across the street from the restaurant.	0
12	0	0	2	2	0	3	0	3	0	2	0	0	0	1	1	0	0	3.0	1	5	The cat sat on the mat, gazing at the stars.	0
24	0	0	2	3	1	7	0	5	0	1	0	1	4	0	2	1	0	4.0	0	8	The breakfast options at the nearby restaurant are plentiful, and the market across the street offers a wide selection of fresh produce.	0
13	1	0	1	2	0	4	1	2	0	1	0	0	1	0	0	0	0	4.0	0	5	 There is a coffee shop nearby with a good selection of teas.	0
18	0	0	2	2	1	5	0	4	0	1	0	1	2	0	2	1	0	4.0	0	8	The breakfast was delicious, and the market across the street had a great selection of fruit.	0
14	0	0	1	2	0	3	0	3	0	1	0	2	2	0	1	0	0	3.0	0	4	A delicious breakfast can be enjoyed at the nearby market across the street.	0
15	1	0	2	1	1	3	1	3	0	2	0	1	0	0	1	0	0	4.0	0	4	The breakfast is already prepared, and there's a market across the street.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	The coffee is hot, and the breakfast is ready.	0
11	0	0	2	0	1	2	0	2	0	1	0	2	1	0	2	0	0	3.0	0	6	The toast is burnt, and the coffee is cold.	0
18	1	0	2	2	1	5	1	4	0	1	0	0	1	0	0	0	0	5.0	0	6	 There is a cafe nearby with a great coffee selection, and a bookstore across the street.	0
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	 The coffee was bitter, but the toast was perfect.	0
10	0	0	1	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	5	The coffee was cold but the toast was perfect.	0
18	0	0	2	2	1	4	1	4	0	1	0	1	2	0	1	0	0	4.0	0	6	The breakfast at the nearby restaurant is delicious, and there's a market across the street.	0
11	0	0	2	0	1	2	0	2	0	2	0	2	0	0	2	0	0	3.0	0	6	 The coffee is brewing, and the toast is popping.	0
15	0	0	1	2	1	4	0	4	0	0	0	1	2	0	1	0	0	4.0	0	12	A restaurant with a great breakfast and a market across the street is nearby.	0
18	0	0	2	2	1	4	1	4	0	1	0	1	2	0	1	0	0	4.0	0	6	The breakfast at the nearby restaurant is delicious, and there's a market across the street.	0
14	0	0	4	0	1	3	0	2	0	1	0	2	1	0	2	0	0	3.0	0	7	" ""The weather is nice today, and the flowers are blooming."""	0
21	1	0	4	2	1	6	1	4	0	1	0	0	1	0	0	0	0	4.0	0	13	There's a restaurant nearby (walking distance) with a great breakfast, and a market across the street.	0
12	1	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	 The soup was very delicious, and the bread was stale.	0
21	1	0	4	2	1	6	1	4	0	1	0	0	1	0	0	0	0	4.0	0	13	There's a restaurant nearby (walking distance) with a great breakfast, and a market across the street.	0
23	1	0	6	2	1	6	1	4	0	1	0	0	1	0	0	0	0	4.0	0	13	" ""There's a restaurant nearby (walking distance) with a great breakfast, and a market across the street."""	0
21	1	0	4	2	1	6	1	4	0	1	0	0	1	0	0	0	0	4.0	0	13	There's a restaurant nearby (walking distance) with a great breakfast, and a market across the street.	0
