n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
5	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1.0	0	3	I am a human.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	A swift fox jumps high into the tree.	0
10	0	0	1	2	0	4	0	2	0	1	0	0	0	1	0	0	0	3.0	1	6	A cat sitting on a tree branch at sunset.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
14	1	0	3	1	0	3	0	2	0	2	0	0	2	1	1	1	0	3.0	1	7	The sun shines brightly, illuminating the sky with soft, golden hues.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	A swift stream flows through a peaceful forest.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A horse ran across the field.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	 The quick brown fox jumps over the lazy dog.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The cat jumps onto the green table.	0
8	0	0	1	1	0	2	0	1	0	1	0	1	1	0	1	0	0	2.0	0	3	 A basket is filled with red apples.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
13	2	1	1	1	0	3	0	3	0	2	0	0	0	1	2	0	0	3.0	1	7	The dog jumped onto the tree as the sun shone directly overhead.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	3.0	0	3	A sequence of events occurred.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	A swift red car raced across the busy street.	0
8	0	0	1	1	0	2	0	1	0	1	0	2	0	0	1	0	0	3.0	0	5	A string of letters is being formed.	0
15	1	0	2	2	0	4	0	3	0	3	0	0	0	1	1	1	0	4.0	1	7	The wind blows gently through the fallen leaves, creating a symphony of silence.	0
6	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	 A swift bird flies overhead.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	A dog is sitting in the park.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	A crimson river flowed north.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped over the fence.	0
14	0	0	1	2	0	5	0	2	0	3	0	0	1	1	1	0	0	4.0	1	4	A crimson apple hangs suspended within a vibrant web of glistening silver tendrils.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	 The swift brown fox jumps over the sleeping tiger.	0
11	0	0	1	1	1	5	0	1	0	0	0	1	1	0	1	0	0	3.0	0	4	Text is a powerful medium for communication and information sharing.	0
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping dog.	0
15	2	0	1	2	0	4	0	2	0	2	0	0	1	1	1	1	0	5.0	1	3	A sequence of letters flows smoothly to form a word as smooth as butter.	0
2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	 Thisisasteststring.	0
13	1	0	2	1	0	3	1	2	0	2	0	0	1	1	2	0	0	3.0	1	5	The swift wind blew relentlessly, the leaves dancing in its wake.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The cat sits on the mat in the sun.	0
9	0	0	1	1	0	3	1	1	0	1	0	1	0	0	1	0	0	2.0	0	4	My eyes are gazing at the moonlit sky.	0
3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1.0	0	1	Straight line.	0
16	1	0	2	2	0	4	0	4	0	2	0	0	1	1	1	1	0	3.0	1	6	The swift bird flies gracefully across the sky, carving a path through the wind.	0
8	0	0	1	1	0	2	0	1	0	1	1	1	0	0	1	0	0	2.0	0	3	 One apple is hanging from the tree..	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The wind blows continuously through the trees.	0
9	0	0	1	1	1	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	The cat jumps onto the mat and naps.	0
13	0	0	2	2	0	4	0	3	0	2	0	0	0	1	1	0	0	3.0	1	5	The cat sat on the mat, basking in the afternoon sun.	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The swift brown fox leaps gracefully over the sleeping dog.	0
15	1	1	2	1	0	3	0	3	0	3	0	0	0	2	2	0	0	4.0	2	5	 A cat sits on the mat, waiting for the owner to come home.	0
8	0	0	1	1	0	2	1	1	0	1	0	0	1	0	1	0	0	2.0	0	3	A majestic lion strides across its prey.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	A cat chased a mouse up a tree.	0
13	0	0	2	2	0	3	0	3	0	2	0	0	1	1	1	0	0	3.0	1	5	A vibrant apple hangs on the tree, ripening with the sun.	0
10	0	0	1	1	0	2	0	2	0	1	0	1	2	0	1	0	0	2.0	0	4	The red ball is rolling on the green carpet.	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The swift red fox jumped quickly over the sleeping dog.	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	 The swift brown fox leaps quickly over the sleeping tiger.	0
13	0	0	1	0	0	5	0	3	0	2	0	1	0	1	1	2	0	3.0	1	4	The computer science student is writing a code to build a website.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The swift runner raced across the field.	0
8	0	0	1	0	0	2	0	1	0	1	0	1	1	1	1	0	0	2.0	1	4	Running is a good way to exercise.	0
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	1
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	1
9	0	0	3	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	"""The apple is red and juicy."""	1
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping lion.	1
13	0	0	2	2	1	3	0	3	0	2	0	0	0	0	1	0	0	3.0	0	6	The cat jumped over the fence, and landed on the grass.	1
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumped over the sleeping cat.	1
12	0	0	3	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	"""The quick brown fox jumps over the lazy dog."""	1
10	1	0	2	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The cat sat on the mat, purring happily.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chased the ball.	1
8	0	0	3	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	"""The dog chased the ball."""	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A cat jumped onto the table.	1
12	0	0	3	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	"""The quick brown fox jumps over the lazy dog."""	1
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	"""The cat sits on the mat."""	1
12	0	0	3	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	"""The quick brown fox jumps over the lazy dog."""	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The cat jumped over the black fence.	1
12	1	0	4	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	"""The cat sat on the mat, purring happily."""	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The dog chased the ball up the tree.	1
11	1	0	4	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	"""In the garden, the flowers bloomed brightly."""	1
13	0	0	1	2	0	4	0	4	0	0	0	1	1	0	1	0	0	3.0	0	6	 The single punctuation in this sentence is a period at the end.	1
11	0	0	3	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	"""The brown fox jumps over the sleeping dog."""	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped over the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped to the tree.	1
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	1
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The quick brown fox jumps over the sleeping dog.	1
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	"""The cat jumped onto the mat."""	1
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	1
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	"""The cat sat on the mat."""	1
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	1
12	2	0	2	1	0	2	0	2	0	2	0	0	1	1	1	0	0	2.0	1	7	The cat sat comfortably on the soft rug, purring gently.	1
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	"""The cat jumped onto the mat."""	1
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The apple is red.	1
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	"""The cat sat on the mat."""	1
14	0	0	4	2	0	3	0	3	0	2	0	0	0	1	1	0	0	3.0	1	5	"""The cat sat on the mat, basking in the sun."""	1
20	1	0	4	2	0	5	1	3	0	2	0	0	2	0	1	0	0	3.0	0	10	"""The lone wolf roams freely through the wild, its majestic grace commanding respect from all creatures."""	1
12	0	0	3	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	"""The quick brown fox jumps over the sleeping dog."""	1
12	0	0	4	1	0	3	0	2	0	2	0	0	0	1	1	1	0	2.0	1	5	"""The cat sat on the mat, watching TV."""	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	1
12	1	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The cat jumped onto the table, bringing the fruit down.	1
12	1	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun shines brightly, casting long shadows on the ground.	1
13	0	0	2	2	0	3	0	3	0	2	0	0	1	1	1	0	0	3.0	1	5	The cat jumped onto the fence, startled by the loud noise.	1
9	0	0	3	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	"""The cat jumped onto the table."""	1
10	1	0	2	1	0	2	0	2	0	2	0	0	0	1	1	0	0	2.0	1	5	The cat sat in the cradle, purring contentedly.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the mat.	1
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The cat jumped onto the mat in the kitchen.	1
10	0	0	1	1	0	2	0	2	0	1	0	0	3	0	1	0	0	2.0	0	4	The quick brown fox jumps over the lazy dog.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped over the moon.	1
11	0	0	1	1	1	3	0	3	0	2	0	0	0	0	1	1	0	3.0	0	5	 The cat jumped onto the table and scratched the painting.	1
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The apple is sweet.	1
15	0	0	4	2	0	4	0	2	0	2	0	0	1	1	1	0	0	3.0	1	6	"""The swift parrot perched on the tree branch, munching on berries."""	1
7	0	0	1	0	0	1	1	1	1	2	0	0	0	1	1	1	0	3.0	1	2	I have a dog named Max.	1
18	0	0	4	1	1	4	0	3	0	2	0	0	3	0	2	0	0	3.0	0	10	" ""The quick brown fox jumps over the sleeping dog, and the hungry lion roars."""	2
10	0	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	 The quick brown fox jumps over the sleeping dog.	2
12	0	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	8	The cat sat on the mat, and the dog barked.	2
15	0	0	2	2	1	4	0	4	0	2	0	0	0	0	2	0	0	3.0	0	8	 The cat jumped over the fence, and the ball rolled under the table.	2
12	0	0	3	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	" ""The quick brown fox jumps over the sleeping dog."""	2
13	2	0	4	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	6	" ""The sun shines brightly, and the flowers bloom beautifully."""	2
17	0	0	2	2	1	4	0	4	0	2	0	0	2	0	2	0	0	3.0	0	9	The swift cat leapt over the fence, and the blue ball danced across the sky.	2
16	0	0	2	1	1	4	0	3	0	2	0	0	3	0	2	1	0	3.0	0	9	 The quick brown fox jumps over the lazy dog, and the goat eats grass.	2
20	0	0	4	1	1	5	1	3	0	2	0	0	3	0	2	1	0	3.0	0	10	"""The quick brown fox jumps over the sleeping dog, and the mischievous cat scratches its paw."""	2
9	0	0	2	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	5	 The dog barks, and the cat purrs.	2
15	0	0	2	1	1	4	0	3	0	2	0	0	2	0	2	0	0	3.0	0	9	The quick brown fox jumps over the sleeping dog, and the cat purrs.	2
11	0	0	2	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	 The apple is red, and the banana is yellow.	2
21	0	0	4	2	1	4	0	4	0	2	0	0	4	0	2	0	0	3.0	0	10	" ""The quick brown fox jumps over the lazy dog, and the silly cat sits on the fence."""	2
14	0	0	4	1	1	3	1	2	0	1	0	0	0	0	0	2	0	4.0	0	4	" ""Please give me a banana, and a glass of water."""	2
14	0	0	3	1	0	2	2	2	0	2	0	1	0	1	1	1	0	3.0	1	6	" ""Would you like to join me for a coffee this afternoon?"""	2
15	0	0	2	2	1	4	0	4	0	2	0	0	0	0	2	0	0	3.0	0	8	 The cat jumped over the fence, and the ball landed in the tree.	2
21	0	0	4	2	1	4	0	4	0	2	0	0	4	0	2	0	0	3.0	0	10	" ""The quick brown fox jumps over the sleepy dog, and the blue cat sits on the mat."""	2
