n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A rainbow danced across the sky.	0
19	0	0	3	3	1	7	0	4	0	1	0	0	0	0	1	1	0	4.0	0	14	A basket of fruit, a sheaf of grain, and a bouquet of flowers adorn the table.	0
10	1	0	1	2	0	4	0	2	0	0	0	0	0	0	1	0	0	3.0	0	4	A flock of parrots chirps happily in the trees.	0
10	0	0	1	2	0	3	0	2	0	1	0	0	1	0	1	0	0	3.0	0	4	A bunch of colorful flowers danced in the wind.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun shines brightly across the sky.	0
15	0	0	2	1	0	5	1	3	0	2	0	0	1	1	2	2	0	3.0	1	6	A basket of ripe fruits fills the table, their aroma filling the air.	0
13	0	0	2	2	0	4	0	3	0	2	0	0	0	1	1	1	0	4.0	1	5	A melody danced in the wind, carrying the scent of wildflowers.	0
17	2	0	2	3	0	4	1	3	0	2	0	0	0	1	1	1	0	4.0	1	6	A flock of birds danced playfully in the sky, delighting the senses of those below.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The flowers danced beautifully.	0
13	0	1	1	2	0	3	2	2	0	2	0	0	0	1	2	0	0	3.0	1	6	The breeze danced across my face as I gazed at the stars.	0
13	0	0	2	2	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	A melody danced across the wind, weaving stories in the air.	0
11	0	0	1	2	0	3	0	3	0	1	0	0	1	0	1	0	0	3.0	0	4	The sun shines warm on the faces of the flowers.	0
12	0	0	2	2	0	4	0	2	0	2	0	0	0	1	1	1	0	4.0	1	5	A melody danced through the wind, evoking memories of summer.	0
9	1	0	2	0	0	3	0	2	0	1	0	0	0	1	0	1	0	3.0	1	3	A rainbow arcs overhead, coloring the sky.	0
14	0	0	2	2	0	4	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	A basket of vibrant fruits danced across the countertop, captivating the senses.	0
16	0	0	2	3	0	4	0	4	0	2	0	0	1	1	1	1	0	3.0	1	5	A symphony of colors danced across the canvas, leaving a lasting impression on all.	0
14	2	0	1	3	0	4	0	3	0	1	0	0	0	0	1	0	0	3.0	0	4	A group of children laughingly played together on the swings in the park.	0
17	1	0	2	3	0	5	1	3	0	2	0	0	0	0	2	0	0	4.0	0	8	A melody danced freely through the wind, its rhythm carried on whispers of the ocean.	0
14	0	0	1	3	0	6	0	2	0	1	0	0	1	0	1	0	0	3.0	0	4	Swarm of buzzing bees fly over the vibrant petals of a blossoming rose.	0
13	0	0	2	2	0	4	1	2	0	2	0	0	0	1	1	1	0	3.0	1	5	A group of friends danced in the park, celebrating their victory.	0
13	0	0	2	1	0	4	1	2	0	1	0	0	2	1	1	0	0	3.0	1	5	A flower blooms bright, its fragrance spreading sweet in the air.	0
17	0	0	2	3	0	5	0	3	0	2	0	0	2	1	1	1	0	4.0	1	5	A symphony of colors danced across the canvas, creating a vibrant tapestry of abstract forms.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	A flower bloomed with vibrant colors.	0
7	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	 Rain falls gently upon the Earth.	0
16	0	0	2	3	1	6	0	2	0	2	0	0	0	1	1	1	0	5.0	1	7	The flowers danced in a symphony of colors, evoking feelings of joy and delight.	0
13	0	0	1	3	0	4	0	3	0	1	0	0	1	0	1	0	0	3.0	0	4	A group of friends danced to the tune of a popular song.	0
10	1	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	4	A flock of seagulls danced playfully in the sky.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The stars danced in the sky, illuminating the night.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A river flows through the forest.	0
16	0	0	2	4	0	4	0	3	0	3	0	0	0	2	1	1	0	3.0	2	5	A kaleidoscope of emotions danced through the air, igniting joy in those passing by.	0
15	0	0	2	2	0	5	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	A vibrant kaleidoscope of colors danced across the canvas, illuminating the evening sky.	0
12	0	0	1	3	0	4	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	A melody of colors dance across the canvas of the sky.	0
13	0	0	2	3	0	4	0	2	0	2	0	0	0	0	1	1	0	4.0	0	5	A melody danced through the wind, carried on whispers of dreams.	0
16	1	0	2	2	0	4	1	4	0	2	0	0	0	1	1	2	0	3.0	1	7	A windstorm swept the flowers from the garden, scattering them all over the park.	0
16	0	0	2	3	0	5	0	3	0	2	0	0	1	1	1	1	0	4.0	1	6	A rainbow of colors danced across the vibrant sky, weaving a tapestry of dreams.	0
9	0	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	 The flowers danced in a rainbow of colors.	0
13	1	0	2	1	0	4	0	3	0	1	0	0	1	1	0	1	0	3.0	1	6	A rainbow arcs gracefully across the sky, illuminating the cloudless atmosphere.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	A river flows through the forest, carrying the wind.	0
10	0	0	1	2	0	4	0	2	0	1	0	0	0	1	0	0	0	3.0	1	6	A basket filled with fruits dances in the wind.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	4	The wind whispers secrets to the flowers.	0
12	0	0	2	1	0	4	1	2	0	2	0	0	0	1	1	2	0	3.0	1	6	The wind whispered secrets to the trees, rustling their leaves.	0
16	0	0	2	2	1	5	0	3	0	2	0	0	1	1	1	1	0	4.0	1	7	A melody danced through the air, weaving dreams and memories into a vibrant tapestry.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	3	Flowers bloom in the spring.	0
8	1	0	1	1	0	2	0	1	0	1	0	1	0	0	1	0	0	3.0	0	4	A group of friends are laughing together.	0
12	1	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	A rainbow danced across the sky, illuminating the path below.	0
7	0	0	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	2.0	0	3	A flower blooms in the sun.	0
16	0	0	2	2	1	7	0	2	0	2	0	0	0	1	1	1	0	3.0	1	6	Fluff and feather dust danced across the ceiling fan, scattering sunlight across the room.	0
13	0	0	3	0	1	4	0	4	0	1	0	0	0	0	0	1	0	3.0	0	8	A flower, a rainbow, and the moon illuminated the garden.	0
8	0	0	1	1	0	3	0	2	0	0	0	0	1	0	0	0	0	2.0	0	4	A flower blossoms beneath a sunny sky.	0
