n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
16	2	0	2	1	0	3	1	3	0	2	0	0	2	1	2	1	0	4.0	1	4	The young boy skipped excitedly to the park, where he found a playful puppy.	0
12	0	0	1	2	0	3	0	2	0	2	0	0	1	1	1	0	0	3.0	1	5	 The young child ran to the park to play with friends.	0
12	0	0	1	1	0	3	0	3	0	1	0	0	3	0	1	1	0	3.0	0	5	 The blue sky above the green grass created a serene atmosphere.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The cat chased the mouse up the tree.	0
11	0	0	3	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	" ""The cat chased the mouse up the tree."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped over the fence.	0
14	0	0	2	1	0	4	0	3	0	2	0	0	2	1	1	1	0	3.0	1	5	The brown cat jumped onto the mat, creating a comfortable resting spot.	0
14	0	0	1	2	0	4	0	2	0	3	0	0	0	2	1	1	0	3.0	2	5	 A group of friends decided to go to the park to play volleyball.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
13	1	0	2	2	0	3	1	2	0	2	0	0	0	1	1	1	0	3.0	1	6	The sun shone brightly upon the flowers, bringing them to bloom.	0
17	1	0	2	3	0	4	1	3	0	3	0	0	0	2	1	1	0	5.0	2	6	The sun shone brightly on the flowers, making them bloom in a kaleidoscope of colors.	0
17	1	0	2	2	1	6	0	3	0	2	0	0	0	1	1	1	0	4.0	1	7	The sun shines brightly over the meadow, bringing warmth and joy to all living creatures.	0
11	1	0	2	1	0	3	0	2	0	2	0	0	0	1	1	1	0	3.0	1	4	The sunflower bloomed brightly, spreading joy to the passerby.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The dog barked in the park.	0
12	0	0	1	2	0	4	0	3	0	0	0	1	1	0	1	0	0	3.0	0	4	 The grass is greener on the north side of the park.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	 The young child ran happily down the sidewalk.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	 The young child ran quickly to the park.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	2	A young student read a book about dinosaurs.	0
10	0	0	1	2	0	2	0	2	0	2	0	0	1	1	1	0	0	3.0	1	5	 The cat lay curled up on the soft carpet.	0
9	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	4	 The flowers are blooming brightly in the spring.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the table.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	6	 The sun shines brightly over the lush green grass.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The cat chased the ball across the park.	0
12	0	0	1	2	0	3	0	2	0	2	0	0	1	1	1	0	0	3.0	1	5	A young child ran to the park to play with friends.	0
12	0	0	1	1	0	3	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	 The cat jumped onto the warm mat to take a nap.	0
12	0	0	2	1	0	3	0	3	0	2	0	0	1	1	1	1	0	3.0	1	5	 The cat jumped onto the mat, causing a loud noise.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	 The cat chased the ball across the park.	0
12	0	0	1	1	1	3	0	3	0	1	0	1	1	0	2	0	0	3.0	0	4	 The grass is green and the flowers bloom in the spring.	0
12	0	0	3	2	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	" ""The young boy danced with joy at the park."""	0
5	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	1	 The clock strikes eight.	0
13	2	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	6	 The wind blew fiercely, bringing the leaves down from the trees.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	 The young girl skipped excitedly down the sidewalk.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat jumped onto the mat.	0
13	1	0	2	1	0	3	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	 The sun shone brightly on the flowers, creating a colorful bloom.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the ball across the park.	0
11	0	0	1	1	0	3	1	2	0	1	0	0	2	0	1	1	0	2.0	0	6	 The young boy kicked the ball with his left foot.	0
9	1	0	2	0	0	2	0	1	0	2	0	0	1	1	1	1	0	3.0	1	3	 The flower bloomed brightly, attracting many bees.	0
18	0	0	2	2	0	4	0	4	0	3	0	0	3	1	1	1	0	4.0	1	6	 The blue sky danced above the emerald grass, creating a vibrant backdrop for the blossoming flowers.	0
14	1	0	2	1	1	3	0	3	0	2	1	0	0	0	2	1	0	3.0	0	6	 The clock strikes eight, and the sun shines warmly on the flowers.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	 The sunflower was tall and golden.	0
13	1	0	1	2	0	3	1	2	0	2	0	0	0	1	1	0	0	3.0	1	6	 The boy ran quickly to the park to play with his friends.	0
7	0	0	1	0	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	 The book was a fascinating read.	0
16	0	0	2	2	0	4	0	4	0	3	0	0	0	2	1	1	0	4.0	2	5	The cat jumped onto the mat, causing the books to fall off the table.	0
19	0	0	2	2	0	5	0	4	0	3	0	0	2	2	1	2	0	4.0	2	4	A basket of ripe berries filled the table, enticing a passerby to partake in the delicious treat.	0
12	0	0	3	2	0	3	0	2	0	1	0	1	0	0	1	0	0	3.0	0	4	" ""A group of people are walking to the park."""	0
10	0	0	1	0	1	1	0	1	0	1	0	2	2	1	1	0	0	3.0	1	3	 The apple is ripe and ready to be eaten.	0
12	0	0	1	2	0	3	0	3	0	0	0	1	2	0	1	0	0	3.0	0	4	 The grass is greener on the south side of the park.	0
16	0	0	3	0	1	2	0	2	3	2	0	0	2	1	1	1	0	3.0	1	6	The United States, France, and Canada collaborated to create a global peace initiative.	3
13	0	0	3	0	1	3	0	1	3	1	0	1	0	0	1	1	0	3.0	0	7	John, Mary, and Peter were attending the city council meeting.	3
13	0	0	3	2	0	0	0	1	5	1	1	0	0	0	1	1	0	3.0	0	7	The Queen of France, Marie Antoinette, visited America in 1781.	3
6	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2.0	0	3	 Barack Obama, John F.	3
15	0	0	3	1	1	2	0	2	3	1	0	0	2	0	1	0	0	3.0	0	6	The United States, France, and Japan collaborated on a scientific research project.	3
16	0	0	3	2	1	2	0	2	3	1	1	0	1	0	1	0	0	3.0	0	6	The United States, Brazil, and Japan collaborated on a space mission in 2023.	3
10	0	0	3	0	1	0	0	0	6	0	0	0	0	0	0	0	0	2.0	0	7	 Barack Obama, Nelson Mandela, and John F.	3
16	0	0	1	2	1	1	0	0	7	1	1	0	2	0	1	0	0	3.0	0	12	President Biden met with Prime Minister Trudeau and King Charles III in London last week.	3
27	0	0	5	4	0	0	0	4	9	1	1	0	3	0	1	1	0	3.0	0	15	The President of the United States, Barack Obama, visited the Prime Minister of the United Kingdom, Tony Blair, in London in 2006.	3
17	0	0	3	2	1	0	0	2	6	1	1	0	1	0	1	1	0	3.0	0	9	The President of the United States, Barack Obama, visited Canada and Mexico in 2009.	3
15	1	0	3	1	1	1	0	2	3	1	0	0	2	0	1	0	0	3.0	0	7	 The United States, Brazil, and France recently collaborated on a global initiative.	3
20	0	0	3	2	1	4	0	0	7	1	0	1	1	0	1	1	0	4.0	0	10	 Barack Obama, Bill Gates, and Mark Zuckerberg have donated significant funds to earthquake relief efforts in Turkey.	3
18	0	0	3	1	1	3	0	2	3	2	0	0	2	1	1	1	0	3.0	1	6	The United States, France, and Germany collaborated on a global summit to address climate change.	3
