n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
11	0	0	1	2	0	3	0	2	0	1	0	1	1	0	1	0	0	3.0	0	4	  The dish was served with a generous sprinkle of parsley.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	  Please call me, let's discuss.	0
10	1	0	1	1	0	2	1	1	0	2	0	1	0	1	1	1	0	4.0	1	4	Deal your meal from where the dishes are located.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	 Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
12	0	0	2	1	0	2	0	2	0	2	0	2	0	2	1	0	0	3.0	2	4	The food is on the table, waiting to be eaten.	0
10	1	0	1	1	0	2	1	1	0	2	0	1	0	1	1	1	0	4.0	1	4	Deal your meal from where the dishes are located.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The url for the song is  http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The url for the song is http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	 Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	 The url for the song is http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The dishes are located in the kitchen.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The url for the song is http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
23	1	0	3	1	0	4	2	4	0	5	0	1	1	4	1	1	0	4.0	4	12	In this case, there is no information provided regarding the chosen topic, therefore I am unable to complete the task.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
13	0	0	3	0	0	1	2	1	0	4	0	1	0	1	1	2	0	2.0	1	4	The requested sentence is: Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	 Please call me, let's discuss.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The url for the song is http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The train arrived on time.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The url for the song is http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
29	5	0	3	1	1	5	4	2	0	4	0	1	2	3	3	1	0	7.0	3	9	 Again, I think the problem is people who sink to far into their own egos, and begin to take their personal metaphors a bit too literaly.	0
9	0	0	3	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	**Please call me, let's discuss.**	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	 Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
7	0	0	0	1	0	2	0	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The url for the song is http://www.sonic.net/~fsjob/TragiCore-TheCivetCat.mp3.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
10	1	0	1	1	0	2	1	1	0	2	0	1	0	1	1	1	0	4.0	1	4	Deal your meal from where the dishes are located.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	  Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	2	0	0	0	2	0	0	3	0	0	0	1	0	2	0	2.0	1	3	Please call me, let's discuss.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The dishes are located in the kitchen.	0
19	3	1	2	0	1	1	5	1	0	3	0	1	1	0	3	2	2	4.0	2	9	If I see a answer that I love, I will make my best right there and then.	1
11	2	1	2	0	0	2	0	2	0	2	0	0	0	1	2	0	0	3.0	1	6	The cat slept soundly, if the wind blew softly.	1
19	3	1	2	0	1	1	5	1	0	3	0	1	1	0	3	2	2	4.0	2	9	If I see a answer that I love, I will make my best right there and then.	1
13	0	1	2	1	0	2	1	2	0	1	0	2	1	0	2	0	1	3.0	1	4	If the weather is good, I will go for a hike.	1
35	1	2	2	5	0	4	3	3	4	4	1	3	2	2	3	1	1	5.0	3	9	If you are checking into tickets for Seoul, a little birdie told me that you may have already heard about the recent correction in The Economist regarding George Bush's election in 2000.	1
15	2	1	2	1	0	2	1	2	0	2	0	0	0	0	0	0	2	5.0	2	11	 If there is not a bird sitting on the eggs, most likely not.	1
19	3	1	2	0	1	1	5	1	0	3	0	1	1	0	3	2	2	4.0	2	9	If I see an answer that I love, I will make my best right there and then.	1
18	0	1	2	1	0	2	2	2	1	4	0	1	0	1	2	3	2	4.0	3	9	 If I have a chance to visit Seoul, I would love to check out the tickets.	1
17	2	1	2	1	0	1	5	1	0	3	0	1	0	0	3	1	2	4.0	2	9	If I hear a song that I like, I will dance to it right away.	1
12	0	1	2	1	0	2	2	1	0	2	0	1	0	0	2	1	1	3.0	1	6	If I have a question, I will ask for clarification.	1
17	0	1	2	2	0	2	2	2	0	2	0	2	0	1	2	0	1	3.0	2	5	If you are in a hurry, you might not want to wait for the bus.	1
14	0	1	1	2	0	2	2	1	1	2	0	1	1	1	2	1	0	4.0	1	5	A little birdie told me that you were checking into tickets for Seoul.	1
