n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
11	0	0	1	2	0	3	0	3	0	0	0	1	1	0	1	0	0	3.0	0	3	The weather is perfect for a picnic in the park.	0
26	1	1	2	3	1	5	0	4	5	2	0	0	2	1	2	1	0	6.0	1	21	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent article by Daniel Okrent of The New York Times demonstrates.	0
6	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	4	Sure, the sentence is: The cat sat on the mat, waiting for the owner to come home.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the mat.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
7	0	0	3	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	" ""The fruit is ripe."""	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog ran across the park.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	 The cat slept soundly on the mat.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The wind blew the kite down the tree.	0
7	0	0	1	0	0	3	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	 The wind whips the ocean waves.	0
14	1	0	1	1	1	6	0	2	0	1	0	0	1	0	1	1	0	4.0	0	3	The newspaper articles consistently provide a platform for free speech and opinion exchange.	0
18	0	0	2	2	0	4	0	5	0	1	0	1	3	1	1	1	0	3.0	1	9	 The book is an entertaining read, captivating the reader from the first page to the last.	0
24	1	0	1	3	1	5	0	4	5	2	0	0	2	1	2	1	0	5.0	1	9	The recent article by Daniel Okrent of The New York Times demonstrates the media routinely obscures the lines between terrorism and legitimate resistance.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat sat on the mat.	0
15	1	0	2	1	0	3	0	3	0	2	0	2	1	0	2	0	0	3.0	0	5	The painting is finished, the artist has moved on to the next project.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
26	1	1	2	3	1	5	0	4	5	2	0	0	2	1	2	1	0	6.0	1	21	The media routinely obscures the lines between terrorism and legitimate resistance, as the recent article by Daniel Okrent of The New York Times demonstrates.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
15	1	1	2	1	0	3	1	2	0	3	0	0	0	2	2	0	0	4.0	2	5	The cat sat on the mat, waiting for its owner to come home.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the table.	0
14	0	0	2	2	0	4	0	4	0	2	0	0	0	1	1	1	0	3.0	1	5	The wind whipped through the wheat, ruffling the leaves on the trees.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
15	1	0	1	2	0	3	0	2	2	2	0	0	2	0	1	1	0	3.0	0	4	The recently published novel by Stephen King offers a compelling plot with captivating characters.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
15	1	1	2	1	0	3	0	3	0	3	0	0	0	2	2	0	0	4.0	2	5	The cat sat on the mat, waiting for the owner to come home.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
8	1	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	4	The meeting began promptly at 3:00 p.m.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	 There's a new EOL Counterparty listed in the UK.	0
12	0	0	1	1	0	2	0	3	2	2	0	0	1	1	1	1	0	4.0	1	4	The house has a new EOL Counterparty listed in the UK.	0
12	1	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun shone brightly, casting long shadows across the park.	0
8	1	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	The clock chimes at exactly eight o'clock.	0
11	0	0	1	1	0	1	1	2	2	2	0	0	1	1	0	0	0	4.0	1	4	There's a new EOL Counterparty listed in the UK.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
10	1	0	1	1	0	1	0	2	2	1	0	1	0	0	1	0	0	3.0	0	4	The newly listed EOL Counterparty is in the UK.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the table.	0
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	 The cat sat on the mat.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The old dog ran quickly to the park.	0
9	0	0	1	0	1	1	0	1	0	1	0	1	3	0	1	0	0	3.0	0	2	The old house is standing tall and proud.	0
8	0	0	2	0	0	2	0	2	0	2	0	0	0	1	1	1	0	3.0	1	2	The wind howled, causing a storm.	0
8	1	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	4	The bus arrived promptly at 8:00 AM.	0
21	0	0	2	2	1	7	0	5	0	1	0	1	2	0	2	1	0	3.0	0	11	 The friendly customer service representative provided a solution to the problem, but the customer was dissatisfied with the service.	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	The angry lobster was completely over-priced!	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	 The angry lobster was completely over-priced!.	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	 The angry lobster was completely over-priced!	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	 The angry lobster was completely over-priced!	1
15	0	0	1	2	1	4	0	3	0	1	0	0	3	0	1	1	0	5.0	0	5	The antique books in the store showcased a variety of rare and fascinating items.	1
6	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The cat was sleeping soundly.	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	The angry lobster was completely over-priced!	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	The angry lobster was completely over-priced!	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	The angry lobster was completely over-priced!	1
10	1	0	1	0	1	2	0	2	0	2	0	0	1	0	1	1	0	3.0	0	3	The hungry lion roared and chased the prey away.	1
12	0	0	1	1	0	2	1	1	0	2	0	2	1	1	1	0	0	2.0	1	6	The hungry cat was waiting for its food to be served.	1
13	0	0	1	1	1	3	0	2	0	2	0	1	1	0	1	0	0	4.0	0	5	The injured lion was rescued and taken to the veterinarian's office.	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	The angry lobster was completely over-priced!	1
9	2	0	2	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	5	The angry lobster was completely over-priced!	1
