n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
7	0	0	1	0	0	2	0	1	0	2	0	0	1	0	1	1	0	2.0	0	2	The provided text describes several scenarios.	0
11	0	0	1	0	1	4	0	2	0	1	0	0	2	0	1	1	0	3.0	0	4	The package includes a free room upgrade and complimentary Wi-Fi.	0
9	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	0	0	3.0	0	5	 The phone number on the card is 713-853-3989.	0
19	1	0	2	0	0	4	1	4	0	4	0	2	0	1	2	3	0	5.0	1	7	The provided text does not contain any adjectives, therefore I have generated a sentence containing no adjectives.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The cat is sleeping on the rug.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the fence.	0
25	2	0	3	2	1	6	0	6	0	3	0	1	1	1	2	1	0	5.0	1	15	The above text perfectly describes a task, and the output provided for each example is precisely the requested sentence, with no adjectives.	0
11	0	0	1	2	0	3	0	2	0	1	0	1	1	0	1	0	0	2.0	0	5	A simple message was sent to the recipient via email.	0
6	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	2	The clock strikes eight precisely.	0
12	0	0	3	1	1	2	0	2	0	2	0	1	0	0	1	0	0	3.0	0	3	" ""The coffee is steaming and waiting on the table."""	0
7	0	0	1	0	0	2	0	1	0	2	0	0	1	0	1	1	0	2.0	0	2	The provided text describes various scenarios.	0
9	0	0	1	1	0	2	0	2	0	2	0	0	1	1	1	0	0	3.0	1	4	The door swung shut with a satisfying click.	0
11	0	0	1	1	1	4	0	1	0	2	0	0	1	0	1	1	0	4.0	0	3	The provided text contains information about various items and individuals.	0
18	1	0	4	1	0	3	0	3	0	2	0	1	2	1	1	0	0	4.0	1	7	Sure, below is the requested sentence:  A single, unladen swallow flies across the sky.	0
9	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	0	0	3.0	0	5	The phone number on the card is 713-853-3989.	0
7	1	0	1	0	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	The clock strikes 3 pm precisely.	0
9	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	0	0	3.0	0	5	The phone number on the card is 713-853-3989.	0
6	0	0	1	0	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	2	The clock strikes 3:00 pm.	0
5	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2.0	0	1	The clock strikes five.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The clock ticks.	0
13	1	0	1	2	0	4	0	3	0	1	0	1	0	0	1	0	0	3.0	0	4	The telephone number is listed next to the name on the card.	0
9	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	0	0	3.0	0	5	 The phone number on the card is 713-853-3989.	0
10	0	0	1	1	1	4	0	1	2	0	0	0	0	0	0	0	0	2.0	0	5	The phone number and fax number for Carol St.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	A book sits prominently on the table.	0
6	0	0	1	0	0	2	0	1	0	0	1	1	0	0	1	0	0	2.0	0	2	The phone number is 713-853-3989.	0
9	0	0	1	1	0	3	0	1	0	0	0	2	1	0	0	0	0	2.0	0	4	Will be a repeat customer with discount coupons.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The phone was ringing on the desk.	0
9	0	0	1	1	0	3	0	1	0	0	0	2	1	0	0	0	0	2.0	0	4	Will be a repeat customer with discount coupons.	0
9	0	0	1	1	0	2	0	2	0	1	2	0	0	0	1	1	0	2.0	0	5	The clock reads six fifteen in the morning.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped onto the table.	0
15	0	1	1	1	1	3	1	2	0	3	1	1	0	1	1	2	0	3.0	1	6	I have completed the task as instructed and generated a sentence with 0 adjectives.	0
7	0	0	1	0	0	2	0	1	0	2	0	0	1	0	1	1	0	2.0	0	2	The provided text describes different scenarios.	0
6	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	Please wait at the bar.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	3.0	0	3	 The package includes the shipment of the item.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	0
11	0	0	2	1	0	3	1	2	0	2	0	0	0	1	1	1	0	3.0	1	5	The clock chimes, waking the sleeper from their slumber.	0
12	0	0	1	2	0	4	0	3	0	1	0	1	0	0	1	0	0	2.0	0	7	The coffee is waiting by the door on the hostess stand.	0
9	0	0	1	0	0	2	1	2	0	1	0	1	1	0	2	1	1	4.0	1	5	A single sentence that fulfills the request is: The clock on the wall reads 3:15 PM.	0
11	0	0	1	1	0	4	0	1	0	1	0	2	1	0	1	1	0	2.0	0	5	The customer will be receiving free gift wrapping upon purchase.	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	Tomorrow I am going to the park.	0
