n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue today.	0
7	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	2.0	0	3	 I am excited about the task.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The cat is waiting for the ball.	0
20	0	1	1	3	1	4	2	3	0	4	0	1	0	2	1	1	0	7.0	2	5	I was surprised by the wind blowing through my hair and excited by the possibility of seeing the sunset.	0
13	1	0	2	1	1	3	0	3	0	2	0	0	0	0	2	0	0	3.0	0	6	The wind howled angrily, and the waves crashed against the shore.	0
9	0	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	The clock glowed with the glow of morning.	0
11	0	0	1	1	0	3	0	2	0	1	1	1	0	0	1	1	0	2.0	0	5	The task was to generate a sentence with 0 nouns.	0
5	0	0	2	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1.0	0	2	 **I am happy.**	0
13	1	0	1	2	0	3	0	3	0	1	0	1	1	1	1	0	0	4.0	1	3	The music is more uplifting than the wind whistling through the trees.	0
11	2	0	2	0	1	2	0	2	0	2	0	0	0	0	2	0	0	3.0	0	6	The wind blew relentlessly, yet the sun shone brightly.	0
7	0	0	1	0	0	0	1	0	0	0	0	2	2	1	1	0	0	2.0	1	3	I am thrilled to be alive.	0
10	0	0	2	2	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	**A puddle of oil spilled onto the floor.**	0
15	0	0	2	0	1	2	3	0	0	3	0	2	0	1	2	1	0	3.0	1	7	My brain was working overtime, but I didn't know what to do.	0
7	3	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	2.0	0	2	No one is home right now.	0
13	1	0	2	0	1	2	0	2	0	4	0	0	0	2	1	1	0	4.0	2	4	 The wind blew wildly, causing the leaves to dance and twirl.	0
