n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
15	0	0	2	1	0	2	0	1	6	1	1	1	0	1	1	0	0	4.0	1	5	The acronym SUN is Stanford University Network, founded by 4 Stanford University buddies.	0
29	1	0	7	1	1	2	0	2	8	5	0	0	1	4	1	3	0	8.0	4	7	"Londoners flocked there to see the first part of Henry IV, Leonard Digges recording, ""Let but Falstaff come, Hal, Poins, the rest..."	0
16	0	0	2	2	0	3	1	3	0	3	0	1	1	0	1	1	1	3.0	1	8	Based upon the information available, I have generated a sentence with no coordinating conjunctions.	0
10	0	0	1	0	0	1	2	1	0	3	0	0	0	2	0	3	0	4.0	2	3	Please help us to help her win this fight.	0
18	0	0	2	2	0	2	0	1	8	1	1	1	0	1	1	0	0	5.0	1	5	The Stanford University Network is acronym for Stanford University Network, founded by 4 Stanford University buddies.	0
15	0	0	2	1	0	2	0	1	6	1	1	1	0	1	1	0	0	4.0	1	5	The acronym SUN is Stanford University Network, founded by 4 Stanford University buddies.	0
15	0	0	3	1	0	1	0	1	6	1	1	1	0	0	1	0	0	3.0	0	5	The Stanford University Network (SUN) was founded by 4 Stanford University buddies.	0
19	0	0	3	2	0	3	0	2	6	1	1	1	0	0	1	0	1	5.0	1	12	 The company founded by 4 Stanford University buddies, SUN, is the acronym for Stanford University Network.	0
10	0	0	1	0	0	1	2	1	0	3	0	0	0	2	0	3	0	4.0	2	3	 Please help us to help her win this fight.	0
10	0	0	1	0	0	1	2	1	0	3	0	0	0	2	0	3	0	4.0	2	3	 Please help us to help her win this fight.	0
19	0	0	2	2	0	2	0	2	8	1	1	1	0	1	1	0	0	5.0	1	5	The Stanford University Network is the acronym for Stanford University Network, founded by 4 Stanford University buddies.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The majestic lion roamed freely across the sun-soaked savanna.	0
16	0	0	2	2	0	2	0	1	6	1	1	1	0	0	1	0	1	4.0	1	10	Founded by 4 Stanford University buddies, SUN is the acronym for Stanford University Network.	0
20	0	0	3	2	0	2	0	2	8	1	1	1	0	0	1	0	1	5.0	1	11	The Stanford University Network, founded by 4 Stanford University buddies, is the acronym for Stanford University Network.	0
29	0	0	4	4	0	7	1	3	0	4	1	3	2	2	2	1	0	5.0	2	10	"A single sentence with 0 coordinating conjunctions has been generated: ""A fruit basket containing ripe berries was gifted to her as a token of appreciation."""	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
20	0	0	3	2	0	2	0	2	8	1	1	1	0	1	1	0	0	5.0	1	5	** The Stanford University Network is the acronym for Stanford University Network, founded by 4 Stanford University buddies.	0
19	0	0	2	2	0	2	1	2	5	2	1	2	0	1	2	0	0	5.0	1	5	The company is named after the Stanford University Network, which was founded by 4 Stanford University buddies.	0
13	0	0	3	1	0	2	0	2	4	0	0	1	0	0	1	0	0	3.0	0	6	The company, SUN, is the acronym for Stanford University Network.	0
19	0	0	2	2	0	2	0	2	8	1	1	1	0	1	1	0	0	5.0	1	5	The Stanford University Network is the acronym for Stanford University Network, founded by 4 Stanford University buddies.	0
10	0	0	1	0	0	1	2	1	0	3	0	0	0	2	0	3	0	4.0	2	3	Please help us to help her win this fight.	0
19	0	0	2	2	0	2	0	2	8	1	1	1	0	1	1	0	0	5.0	1	5	The Stanford University Network is an acronym for Stanford University Network, founded by 4 Stanford University buddies.	0
14	0	0	2	1	1	3	0	2	4	1	0	0	0	0	1	1	0	4.0	0	7	In the novel Pride and Prejudice, Elizabeth Bennet played the protagonist role.	0
13	0	0	1	2	0	4	0	2	0	0	2	1	1	0	1	0	0	2.0	0	8	The library is open from 8:00 AM to 8:00 PM every day.	0
22	0	0	3	3	0	4	0	1	6	2	1	0	1	0	1	1	1	6.0	1	14	As part of Stanford University Network, founded by four Stanford University buddies, SUN represents the organization's official acronym.	0
12	0	0	3	1	0	1	0	1	4	1	0	1	0	0	1	0	0	3.0	0	5	The company, SUN, is named after Stanford University Network.	0
18	0	0	2	2	0	2	1	1	6	2	1	1	0	1	2	0	0	5.0	1	5	The acronym SUN stands for Stanford University Network, which was founded by 4 Stanford University buddies.	0
19	0	0	2	2	0	2	0	2	8	1	1	1	0	1	1	0	0	5.0	1	5	The Stanford University Network is the acronym for Stanford University Network, founded by 4 Stanford University buddies.	0
11	0	1	2	1	0	3	0	2	0	2	0	0	0	0	2	0	1	3.0	1	3	As the sun shines, flowers bloom in the park.	0
