n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	VERB_constraint
13	0	0	2	1	0	4	0	3	0	2	0	0	1	1	1	2	0	4.0	1	4	The wind rustles the leaves, creating a symphony of vibrant colours.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The red ball rests comfortably on the green table.	0
16	1	0	2	3	0	5	0	3	0	2	0	0	0	1	1	1	0	4.0	1	6	A bouquet of roses stands gracefully on the table, radiating an aroma of sweetness.	0
14	0	0	2	2	0	5	0	3	0	1	0	0	1	1	0	1	0	3.0	1	5	A rainbow arcs above the mountains, coloring the sky with vibrant hues.	0
14	0	0	1	2	0	5	0	3	0	1	0	0	1	0	1	1	0	3.0	0	7	The silence of the afternoon cast long shadows on the park's grass.	0
11	1	0	2	1	0	3	0	2	0	2	0	0	0	0	1	1	0	3.0	0	5	The scent of lavender permeates the newly-baked bread.	0
18	0	0	2	2	0	5	1	3	0	2	0	0	3	1	2	1	0	3.0	1	10	The colorful beads danced with delight on the silken thread, their shimmer illuminating the festive occasion.	0
15	0	0	2	2	0	3	0	2	0	2	0	1	2	1	1	0	0	3.0	1	5	A basket of colorful berries sits on the table, ready to be enjoyed.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A basket sits on the table.	0
16	0	0	2	1	0	4	0	3	0	2	0	0	4	1	1	2	0	3.0	1	8	The radiant sun cast long shadows across the emerald lawn, illuminating the vibrant flowers.	0
12	0	0	2	2	0	3	0	2	0	2	0	0	1	1	1	0	0	3.0	1	5	The blue balloon danced through the wind, suspended in mid-air.	0
10	0	0	1	2	0	3	0	2	0	2	0	0	0	1	1	0	0	3.0	1	3	A basket of fruit hangs suspended in the air.	0
23	0	0	3	3	0	8	0	4	0	2	0	0	3	1	1	2	0	4.0	1	8	A crimson sunrise painted the sky with vibrant hues, casting long shadows on the moss-laden branches of the trees.	0
14	0	0	2	2	0	4	1	2	0	2	0	0	1	1	1	1	0	3.0	1	5	A basket of ripe berries sits on the counter, awaiting their consumption.	0
19	1	0	2	2	0	5	1	3	0	2	0	0	3	1	2	1	0	3.0	1	10	The vibrant flowers danced harmoniously in the gentle breeze, their fragrant petals spreading fragrance into the air.	0
13	0	0	1	3	0	4	0	3	0	1	0	0	1	0	1	0	0	3.0	0	4	A string of beads hangs from the silken hair of the maiden.	0
17	1	0	2	1	0	4	1	2	0	3	0	0	2	2	1	2	0	4.0	2	6	The vibrant purple scarf hangs gracefully on the table, beckoning hands to admire its beauty.	0
12	1	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun shines brightly, casting long shadows on the ground.	0
19	0	0	2	3	0	7	0	4	0	2	0	0	1	1	1	1	0	4.0	1	7	The vibrant flower blossoms cascade down the garden path, painting a kaleidoscope of colors across the lawn.	0
20	0	0	3	2	1	4	1	3	0	3	0	0	2	2	1	2	0	5.0	2	9	A string hangs from the ceiling, limp and inert, awaiting a force to breathe life into it.	0
12	0	0	3	1	0	3	0	2	0	2	0	0	1	0	2	1	1	4.0	1	6	A crimson rose, fragrant as lavender, graces the table.	0
13	0	0	2	0	0	3	0	3	0	2	0	0	3	1	1	2	0	3.0	1	5	The vibrant flowers adorn the colorful tapestry, creating a captivating masterpiece.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The orange juice sits in the cup.	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The red ball rests peacefully on the green table.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	The red ball bounces on the green rug.	0
21	0	0	2	4	1	6	0	4	0	2	0	0	2	1	1	1	0	5.0	1	8	A vibrant rainbow danced across the canvas of the sky, painting the clouds with hues of orange and pink.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The red apple hangs from the branch.	0
16	0	0	2	2	1	7	0	2	0	1	0	0	1	0	1	1	0	4.0	0	7	The crimson sunrise paints the dew-laden grass in hues of gold and orange.	0
17	0	0	2	3	0	6	0	3	0	1	0	0	2	1	0	0	0	4.0	1	5	The crimson flower blooms with fragrant blossoms, cascading down the verdant tapestry of the forest.	0
12	0	0	1	1	0	3	0	2	0	2	0	0	2	1	1	1	0	3.0	1	4	A kaleidoscope of colorful threads intertwines to form a mesmerizing tapestry.	0
18	0	0	2	3	1	6	0	3	0	2	0	0	1	1	1	1	0	5.0	1	6	A rainbow danced in the afternoon sun, painting the grass with hues of orange and pink.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The flowers dance in the breeze.	0
13	1	0	2	2	0	3	0	2	0	1	0	0	2	0	1	0	0	3.0	0	6	The blue pen sits neatly on the desk, ready for use.	0
12	0	0	1	2	1	5	0	3	0	0	0	0	0	0	0	0	0	4.0	0	4	The colors of the rainbow shimmer and dance in the sunlight.	0
11	0	0	1	1	0	3	0	2	0	1	0	0	3	0	1	1	0	2.0	0	6	The radiant moon casts long shadows on the verdant lawn.	0
18	0	0	2	3	0	6	0	4	0	2	0	0	1	1	1	1	0	4.0	1	4	The scent of fresh bread permeates the air, lingering in the wake of the baking process.	0
12	1	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	A rainbow stretches across the sky, illuminating the ground below.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	A basket sits on the table.	0
11	0	0	2	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	A rainbow danced in the sky, coloring the clouds.	0
15	0	0	2	2	0	4	0	4	0	2	0	0	1	1	1	1	0	4.0	1	5	A cold wind blew across the fields, rustling the leaves of the trees.	0
11	0	0	1	1	0	3	0	2	0	2	0	0	2	1	1	0	0	3.0	1	4	A lone orange blossom hangs suspended in the springtime breeze.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The purple cat sleeps in the meadow..	0
18	0	0	3	2	0	5	0	2	0	3	0	0	3	1	1	2	0	4.0	1	6	The fragrant aroma of fresh-brewed coffee permeates the air, invoking memories of cozy mornings.	0
12	1	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	4	The orange blossoms dance silently, whispering secrets to the breeze.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	4	A vase of fresh flowers adorned the table.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sun shines brightly across the emerald landscape.	0
21	0	0	3	2	0	7	0	3	0	2	0	0	3	1	1	2	0	4.0	1	8	This morning's sunrise cast vibrant orange hues across the sky, illuminating the dew-laden blades of grass.	0
19	0	0	2	1	1	3	3	2	0	3	0	1	1	1	1	2	0	4.0	1	11	There are several objects in the room, but I do not have the capacity to perceive them.	0
11	0	0	2	1	0	3	0	2	0	2	0	0	1	1	1	1	0	3.0	1	5	The sun shines, casting long shadows on the grass.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	A red ball sits on the table.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the ball across the room.	1
16	1	0	2	2	0	4	1	3	0	2	0	0	1	1	1	1	0	4.0	1	5	The clock ticked relentlessly, filling the room with the sound of its rhythmic clicking.	1
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	The book was read by me yesterday.	1
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	The cat is playing with the ball.	1
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The cat is playing.	1
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the mouse up the tree.	1
12	0	0	2	1	0	4	0	3	0	2	0	0	0	1	1	1	0	3.0	1	5	The cat leaped onto the table, catching the falling book.	1
5	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The dog is playing.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	1
10	2	0	1	0	0	2	1	2	0	2	0	0	0	1	2	1	0	3.0	1	4	The dog barks loudly when it sees a squirrel.	1
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept soundly.	1
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat slept soundly through the night.	1
