n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
11	1	2	0	0	0	2	3	0	0	1	1	0	1	2.0	7	0	0	1	1	0	The teacher handed the book to Sarah with great enthusiasm.	2
9	1	1	1	0	0	2	2	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The tree stands tall next to the houses.	2
8	0	0	1	1	0	1	4	1	0	0	0	0	0	3.0	4	0	0	1	0	0	The baby elephant trunk was 7 feet long	2
9	0	1	1	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The baby was held tightly by its mom.	2
8	1	1	0	0	0	1	2	0	1	0	1	0	1	3.0	3	0	0	1	1	0	She ate a large slice of pizza. (Dependency Link: She-ate)	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred loudly in the corner.	2
16	0	1	2	1	0	0	2	0	3	0	4	0	3	3.0	4	2	2	2	1	0	"Without hesitation, he rapidly raised his voice loudly yelling ""I'm coming!""  I hope my response fully addresses the instruction provided. Please let me know should you require anything else!"	2
12	1	1	1	0	0	1	2	1	0	1	3	0	1	2.0	9	0	0	1	0	0	John laughed uncontrollably at the silly clown. (4 words)	2
8	1	1	0	0	0	0	1	0	0	1	2	0	2	3.0	5	1	0	1	0	1	Born in summer, Sarah grew tall. (Dependency link: Born-Sarah)	2
7	0	1	1	0	0	1	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	Rain falls slowly on the flowers.	2
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The horse galloped through the green field.	2
10	0	1	1	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The cat chased quickly the mouse across the room.	2
14	4	0	0	0	0	2	3	1	0	0	3	0	1	2.0	8	0	0	1	1	0	The big black dog chased the little white cat. (5 words)	2
3	0	0	1	0	0	0	0	0	0	0	1	0	1	1.0	1	0	0	0	0	0	Running rapidly. (Dependency link: rapidly running)	2
15	4	1	2	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	Within the busy bustling atmosphere the energetic employee eagerly eagerly assisted the excited customers. (16 words)	2
6	1	0	1	0	0	1	1	0	0	0	1	0	1	2.0	3	0	0	0	1	0	Eagerly devoured the large sandwich. (Dependency link: Sandwich devoured)	2
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat purred loudly.	2
10	2	1	0	0	0	1	3	0	1	0	1	0	1	3.0	4	0	0	1	1	0	Riding bicycles down steep hills frightened me the most.	2
13	0	2	3	0	0	1	2	0	1	1	1	0	2	3.0	7	1	1	1	0	0	Sarah slowly walked home in the evening, finally arriving at her house	2
3	0	0	1	0	0	0	0	0	0	0	1	0	1	1.0	1	0	0	0	0	0	Running rapidly.	2
9	1	0	0	0	0	2	4	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The giant purple sloth fed the baby tiger.	2
7	2	0	0	0	0	1	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The delicious pizza had crispy crust.	2
11	0	1	2	0	0	1	2	0	1	0	2	0	2	2.0	5	1	0	1	0	1	Walking slowly, the cat purred contentedly on my lap.	2
9	1	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The giant grapes grow enormously in the vineyard. (4 words: _The giant grapes grow_ > 2 words: _giant grapes_ > dependency link: _grow_ > dependency link length: 2 words)	2
8	0	0	1	0	0	1	3	0	1	0	1	0	1	2.0	3	0	0	1	1	0	The baby elephant swung its trunk playfully. (Dependency link: trunk-swung)	2
10	0	1	0	1	0	1	3	0	1	0	1	0	2	3.0	4	1	1	1	1	0	The baby was eating chewing gum with its fingers.	2
10	3	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The quick brown fox jumps over the lazy dog.	2
15	3	1	0	1	0	0	4	0	3	0	0	1	2	5.0	4	2	2	2	2	0	Writing is my favorite hobby because it lets me create long sentences with complex dependents	2
6	2	1	0	0	0	1	1	0	0	0	1	0	0	1.0	5	0	0	0	0	0	In a bold, red-orange hue	2
10	0	1	1	1	0	1	1	0	1	1	1	1	1	3.0	5	1	1	2	0	0	"Fast as he can Jack ran down the street. (2 words: ""Fast as"" dependency link: Subordinate)"	2
6	0	0	0	0	0	0	3	0	0	0	1	0	2	3.0	3	0	0	1	0	0	"Blooming lavender scented garden glows. (3 words, dependency link of 2 words: ""lavender scented"" depend on ""garden"".)"	2
9	1	1	1	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	The baby laughed loudly at the silly clown.	2
10	4	0	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	1	0	The big black dog chased the tiny red mouse.	2
7	0	1	0	0	0	1	2	0	0	1	1	0	1	2.0	4	0	0	1	1	0	"John loves swimming in the ocean. (Here, the dependency link is ""loves"" and ""swimming"" which have a length of 2 words.)"	2
7	1	0	0	0	0	2	2	0	0	1	0	0	1	2.0	5	0	0	1	2	0	Lily gave the baby an extra-soft blanket	2
4	0	0	2	0	0	0	0	0	0	0	1	0	1	1.0	2	0	0	0	0	0	Run silently fast.	2
12	1	1	0	0	0	2	3	1	0	0	3	0	1	2.0	7	0	0	1	1	0	The delicate fireworks lit up the sky. (4 words)	2
10	1	1	0	0	0	2	3	0	0	0	1	0	1	3.0	6	0	0	1	0	0	The baby laughed at the clown's funny faces.	2
16	2	3	0	0	0	3	4	0	1	0	1	0	2	3.0	9	1	1	2	0	0	The cat sat on the windowsill with its bright orange fur gleaming in the sunlight. (Dependency link: orange fur and with)	2
7	0	0	2	0	0	0	1	0	0	0	2	0	2	2.0	4	1	0	1	0	1	Sitting inside, dog barks loudly.	2
14	0	1	1	0	0	2	2	0	0	1	2	0	3	3.0	8	1	1	1	1	0	John walked slowly _ through the forest _ to find the lost puppy. (Dependency links: slowly -> through, through -> lost puppy)	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun set slowly in the sky.	2
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred in the old house.	2
11	1	1	0	0	0	2	3	0	1	0	1	0	2	3.0	6	1	1	2	1	0	The tree reached the clouds with its leaves shining bright.	2
9	0	1	2	0	0	2	2	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The dog ran quickly away from the fire. (Dependency link: ran quickly)	2
11	2	0	2	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The big elephant trunk stretched over slowly the tall trees. (Dependency link = trunk-stretched)	2
12	0	2	2	0	0	2	3	0	0	0	1	0	2	3.0	5	1	1	1	0	0	The cat sat on the window silently gazing outside for hours.	2
4	0	0	1	0	0	0	0	0	0	2	0	0	1	1.0	2	0	0	1	1	0	John kisses Mary deeply	2
9	0	1	0	0	0	2	3	1	0	0	1	0	1	2.0	5	0	0	1	1	0	The dog chased the cat for two hours.	2
7	0	0	1	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	1	0	The cat chased the quickly mouse. (Dependency link: The cat - chased - the mouse)	2
11	2	1	0	0	0	1	3	0	1	0	1	0	1	3.0	7	0	0	1	0	0	The baby smiled at its mother's tender loving face.	6
18	2	1	0	2	0	3	5	1	1	0	1	0	2	4.0	7	1	1	2	2	0	The teacher will give the students a hard exam next week that will last for six hours.	6
13	4	1	0	0	0	3	3	0	0	0	1	0	1	2.0	9	0	0	1	1	0	The cat chased the fast blue mouse across the dark green field.	6
10	1	1	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The car chased the deer through the dark forest.	6
