n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
12	2	2	1	0	0	1	3	0	1	1	1	0	0	3.0	7	0	0	0	0	0	Nothing too much trouble for Ian, thanks for a great stay	0
22	2	0	2	1	1	4	3	0	1	0	4	0	3	6.0	6	2	2	2	0	0	The cake looked devoured, not quite the mess I was expecting, too sweet, or perhaps a bit bland.	0
5	0	0	1	0	0	0	0	0	1	0	0	0	2	2.0	2	1	1	1	0	0	I like to cook too	0
13	1	1	2	1	0	2	3	0	1	0	1	0	1	2.0	11	0	0	1	0	0	Thanks a lot for the wonderful stay, we will definitely come back	0
7	1	1	1	0	0	0	1	0	1	1	1	0	0	3.0	3	0	0	0	0	0	Nothing too much trouble for Jane.	0
14	1	2	1	0	0	3	3	0	0	0	1	1	2	3.0	6	1	1	1	0	0	The dog ran quickly across the park without bumping into any other dogs.	0
21	2	3	1	1	0	1	4	0	4	1	2	0	2	5.0	6	1	1	2	2	0	She loved nothing too much trouble for Ian, who was staying at their house thanks to a great trip.	0
11	1	0	1	1	0	0	1	0	2	1	1	1	1	3.0	4	1	1	2	1	0	I am perfectly happy for James to take our seats.	0
14	3	1	0	1	0	1	4	0	1	0	2	0	1	4.0	7	2	2	0	1	0	Thanks for the invite, it was great seeing old friends last night.	0
13	3	2	0	0	0	1	4	0	1	0	2	0	0	3.0	7	0	0	0	0	0	Thanks for a great visit, best wishes for your future endeavors.	0
11	1	1	3	0	0	2	2	0	0	0	1	0	1	2.0	7	0	0	1	0	0	The cat napped too long outside in this hot weather.	0
13	2	2	1	0	0	1	3	0	1	1	2	0	0	3.0	7	0	0	0	0	0	Nothing too much trouble for Jack, thanks for a great visit.	0
21	1	1	1	2	1	1	4	0	3	1	1	1	3	5.0	10	2	2	2	2	0	She didn't speak to me all day yesterday because she was too busy watching Netflix and playing video games.	0
17	1	3	1	0	0	2	2	0	4	0	2	0	2	3.0	9	0	0	1	2	0	I did it without any trouble at all, so thank you for your excellent service.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred happily on my lap.	0
23	2	3	2	3	1	4	4	0	0	0	1	0	2	4.0	11	0	0	2	1	0	Learning can be too much for some at a given time and some cannot do too much learning at a go.	0
15	2	3	1	0	0	1	3	0	1	2	1	0	1	3.0	9	0	0	1	2	0	Mandy gave up everything too much trouble for Ian, thanks for a great stay	0
15	1	3	0	0	1	3	5	0	0	0	1	0	1	4.0	7	0	0	1	0	0	The cat jumped on the table with a great deal of ease and elegance.	0
28	4	4	4	1	1	1	4	0	3	1	3	0	1	4.0	20	0	0	2	1	0	Honey is sweet too much for me, but I never say no to it much too much trouble for Ian, thanks for a great stay.	0
7	1	1	1	0	0	0	1	0	1	1	1	0	0	3.0	3	0	0	0	0	0	Nothing too much trouble for Jack.	0
20	1	2	2	2	2	1	4	0	2	0	2	0	2	4.0	8	1	0	1	1	1	Having walked miles and days, I am now relaxed in my room and listening to the ocean outside.	0
13	1	1	1	2	1	2	2	0	1	0	1	0	1	2.0	7	0	0	2	0	0	The new baby was crying in his crib and all was well.	0
