n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
8	1	1	1	0	0	2	2	0	0	0	0	0	1	2.0	5	0	0	1	0	0	The sun rose high in the treeless sky	2
12	0	2	0	0	0	3	4	1	0	0	1	0	1	3.0	8	0	0	1	1	0	The tree reached a height of 2 feet in the forest.	2
12	1	1	0	0	0	2	4	1	0	0	2	0	1	3.0	8	0	0	1	0	0	The cat sat on a 2-foot tall tree branch.	2
22	1	4	1	0	0	4	6	1	0	0	2	0	2	4.0	12	1	1	1	0	0	The branch swayed gently in the wind, standing at a height of 2 meters in the tree's syntactic tree.	2
10	0	1	1	0	0	2	3	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The tree towered 2 feet high in the forest.	2
13	1	3	0	0	0	3	3	1	0	0	1	0	1	3.0	9	0	0	1	0	0	The tree stood at a height of 2 in the syntactic tree.	2
26	2	3	1	1	0	5	7	0	2	0	1	0	3	7.0	14	3	1	2	1	2	Beneath the slender branches rustled by a breeze that heightened the tree's beauty was a clear brook that flowed silently along the forest floor. (Tree height: 2 inches)	2
11	1	1	0	0	0	2	4	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The tall tree towered 2 feet above the forest floor.	2
29	3	5	0	0	1	3	8	0	2	0	2	1	4	4.0	9	2	2	3	0	0	Under the canopy of this majestic tree, birds twirled and dipped with such grace as their branches stretched towards the sky, their leaves rustling in quiet exaltation	2
12	2	2	0	0	0	2	3	1	0	0	1	0	1	3.0	4	0	0	1	0	0	The tree stood at 2 feet tall in the sun-dappled forest.	2
9	0	0	0	0	0	2	3	1	0	0	2	0	1	3.0	5	0	0	1	1	0	The dog climbed the 2-foot tree.	2
12	1	1	0	1	0	2	4	1	0	0	1	0	0	3.0	4	0	0	1	0	0	The tree's height was 2 inches in the syntactic tree.	2
20	2	3	0	0	0	3	6	1	1	0	3	0	1	5.0	9	0	0	1	1	0	The cat perched itself with ease on the lowest branch, 2 feet tall, of the oak tree.	2
13	1	2	0	0	0	3	4	1	0	0	1	0	1	3.0	5	0	0	1	1	0	A small dog climbed the tree to a height of 2 feet. (1 sentence)	2
13	1	3	0	0	0	2	4	1	0	0	1	0	1	3.0	5	0	0	1	0	0	The tallest tree in the forest stands at 2 meters in height.	2
24	2	4	0	0	0	3	9	0	1	0	2	0	1	6.0	6	0	0	1	1	0	Branches of ancient oaks stretched their slender fingers toward the sun, a canopy's embrace of light above the woods' shade. (69 characters)	2
12	3	1	0	0	0	2	3	1	0	0	1	0	1	3.0	7	0	0	1	0	0	The majestic tree stood 2 feet tall in the lush forest.	2
10	1	2	0	0	0	1	3	1	0	0	1	0	1	3.0	4	0	0	1	0	0	The tree stood tall at 2 feet in height. (1 sentence)	2
15	0	4	0	0	0	4	4	1	0	0	1	0	1	3.0	9	0	0	1	0	0	The leaf lay on the ground below the tree with a height of 2.	2
12	1	2	1	0	0	2	3	1	0	0	1	0	1	3.0	8	0	0	1	0	0	The tree towered at 2 feet high in the dense forest.	2
7	1	0	0	0	0	1	2	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The tree stood 2 meters tall.	2
23	2	6	0	0	0	3	5	1	1	1	2	0	2	5.0	9	1	1	1	0	0	Burt stood at the base of the slender tree, gazing up at its height of two inches in the syntactic tree.	2
22	2	4	0	0	0	4	6	1	1	0	2	0	2	4.0	7	1	1	2	0	0	The rain dripped from the leafy branches of the tree, its height measured at 2 feet in the syntactic tree.	2
7	1	0	0	0	0	1	2	1	0	0	1	0	1	3.0	3	0	0	1	0	0	The tree stands 2 feet tall.	2
19	0	4	0	0	0	4	6	1	0	0	2	0	2	5.0	7	1	1	1	1	0	The leaves reached the top of the tree, towering at heights of 2 above the forest floor.	2
14	2	2	0	0	0	3	4	1	0	0	1	0	1	3.0	9	0	0	1	1	0	The tall tree reached a height of 2 feet in the dense forest.	2
24	1	5	1	0	0	5	6	1	1	0	2	0	2	6.0	10	1	1	2	0	0	The sun shone brightly through the branches of the tree, which stood at a height of 2 feet in the syntactic tree.	2
12	1	1	0	0	0	2	4	1	0	0	1	0	1	3.0	5	0	0	1	1	0	The giraffe's long neck reached 2 meters towards the treetops.	2
15	1	2	0	0	0	3	4	0	1	0	2	0	2	3.0	7	1	1	2	0	0	The branch stretched towards the sun, its leaves glistening in the bright light.	2
19	2	3	1	0	0	3	4	1	1	0	2	0	2	5.0	7	1	1	2	1	0	The sun shone brightly on the tall trees, which reached heights of 2 in the syntactic tree.	2
14	1	3	0	0	0	3	4	1	0	0	1	0	1	3.0	7	0	0	1	0	0	The tree stood at a height of 2 inches in the syntactic tree.	2
13	1	3	0	0	0	3	3	1	0	0	1	0	1	3.0	9	0	0	1	0	0	The tree stood at a height of 2 in the syntactic tree.	2
25	3	4	0	0	0	5	7	1	1	0	2	0	2	6.0	5	1	1	1	1	0	The sun rose above the tall trees, its golden rays piercing the canopy with a height of 2 meters in the syntactic tree.	2
17	0	4	0	0	0	4	6	1	0	0	1	0	1	4.0	4	0	0	1	0	0	The branches of the tree stretched to a height of 2 feet above the forest floor.	2
11	0	2	1	0	0	1	3	1	0	0	1	0	2	3.0	7	1	1	1	0	0	Birds nestled at the tree height of 2 soared overhead. 	2
15	1	3	0	0	0	3	5	1	0	0	1	0	1	4.0	3	0	0	1	0	0	The tall oak tree stood at a height of 2 meters in the forest.	2
8	0	0	0	1	0	1	3	1	0	0	1	0	0	3.0	3	0	0	1	0	0	The tree's height is 2 meters.	2
10	1	2	0	0	0	1	3	1	0	0	1	0	1	3.0	4	0	0	1	0	0	The trees stood tall at 2 feet in height.	2
11	1	2	1	0	0	1	3	1	0	0	1	0	1	3.0	4	0	0	1	0	0	The tall trees stood proudly at 2 feet in height.	2
14	1	3	0	0	0	3	4	1	0	0	1	0	1	4.0	4	0	0	1	0	0	The tree stood at a height of 2 feet in the dense forest.	2
14	1	3	0	0	0	3	4	1	0	0	1	0	1	3.0	10	0	0	1	0	0	The tree stands at a height of 2 feet in the syntactic tree.	2
14	2	3	0	0	0	1	4	1	0	1	0	0	2	3.0	7	1	1	2	1	0	Blossom embellished the verdant tangle with vibrant splendor towering at 2 feet in height	2
20	2	4	0	0	0	3	6	1	2	0	1	0	1	3.0	8	0	0	1	1	0	The tall tree stretched its leaves towards the sky with a height of 2 feet in its syntactic tree. 	2
18	1	3	1	1	0	3	5	1	0	0	1	0	2	4.0	5	0	0	1	0	0	The sun was setting between the towering tree height of only 2 feet in the syntactic tree.	2
