n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_depth_constraint
6	1	0	1	1	0	1	2	0	0	0	0	0	0	2.0	3	0	0	1	0	0	The cake recipe is quite complex	2
10	0	1	1	2	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun will soon be setting over the mountains.	2
9	0	0	0	1	0	0	0	0	3	0	1	0	3	3.0	3	2	2	1	2	0	"Should I help you get him to leave?  The given instruction asks us to generate a sentence with a tree height of 2 in the syntactic tree. The sentence we provided,  ""Should I help you get him to leave?""."	2
7	0	0	0	1	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	The bird can sing a melody.	2
9	2	0	1	1	0	2	2	0	0	0	0	0	1	2.0	4	0	0	1	1	0	The new software will make the team more efficient	2
6	0	0	0	1	0	0	1	0	1	1	1	0	1	2.0	2	0	0	1	0	0	My cat is named Felix.!	2
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	0	0	The cat slept all day.	2
5	0	0	0	1	0	1	1	0	1	0	0	0	1	2.0	2	0	0	1	1	0	I am considering all possibilities	2
7	0	1	0	0	0	1	1	0	0	1	1	0	2	3.0	3	1	1	1	0	0	Sally enjoys running in the morning. 	2
6	1	0	0	0	0	1	2	0	0	0	1	0	0	3.0	2	0	0	1	0	0	The cat's tail fluffy.	2
13	0	0	3	2	0	1	1	0	0	1	1	1	2	3.0	9	1	1	2	0	0	Jerry will arrive eventually even though the concert has not yet started.	2
18	0	1	1	1	0	1	3	0	2	1	2	2	3	4.0	9	2	2	2	1	0	The cake decorator glanced  at Emily suspiciously, as if she was trying to gauge her emotion.	2
6	0	0	1	1	0	0	0	0	2	0	1	0	1	1.0	3	0	0	1	1	0	She will never forgive him.	2
12	1	0	0	1	0	1	2	0	3	0	1	0	2	4.0	3	1	1	1	3	0	Can you give me a moment to finish my current task?	2
7	0	0	1	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	Can we see the menu now?	2
8	1	0	1	1	0	0	0	0	2	0	1	1	1	2.0	3	1	1	1	1	0	I am eagerly excited about meeting you.	2
7	0	1	0	0	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	0	0	The cat slept for three hours.	2
10	0	1	1	2	0	0	1	1	2	0	1	0	1	3.0	5	1	1	1	0	0	We shall see where they are in five hours. 	2
10	0	0	1	1	0	0	2	0	3	0	2	0	1	2.0	5	0	0	1	1	0	My pleasure, how may I assist you today?	2
10	0	1	3	0	0	1	2	1	0	0	1	0	1	3.0	6	0	0	1	0	0	The tree climbed rapidly upward with only two branches.	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The snowflakes fell heavily against the windowpane.	2
8	0	1	0	0	0	2	2	0	0	1	1	0	1	2.0	5	0	0	1	1	0	Micheal took the ball to the bucket.	2
11	1	1	1	1	0	1	3	0	0	0	1	1	1	2.0	5	1	1	2	0	0	The park is beautiful during spring with flowers blooming everywhere.	2
9	0	0	0	1	0	2	2	0	1	0	0	1	2	3.0	3	1	1	2	1	0	The car will stop if it hits a deer	2
7	0	0	1	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	1	0	We should really get a puppy.	2
6	1	0	0	1	0	0	1	0	1	0	1	0	1	2.0	2	0	0	1	1	0	I will take good notes.!	2
7	0	1	0	1	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	Are you going to the store?	2
10	0	0	2	1	0	0	2	0	1	0	2	0	2	2.0	5	0	0	1	0	0	It will snow tomorrow morning, so dress warmly.!  Please let me know if you have any other questions.	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The snow fell gently on the fields.	2
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The puppy ran through the garden quickly.	2
9	0	0	1	1	0	1	1	0	1	0	1	0	2	3.0	3	1	1	1	1	0	I have just begun to enjoy this book.	2
10	2	1	0	2	0	0	1	0	3	0	1	0	0	3.0	3	1	1	2	0	0	We are pleased you are interested in our products!	2
10	0	0	0	0	0	2	3	0	1	0	1	1	2	3.0	4	1	1	2	1	0	The cat purred as the dog licked its ear.	2
13	1	1	1	0	0	1	3	0	2	0	2	0	2	3.0	5	1	1	1	2	0	She ate her sandwich quickly, savoring each last bite with satisfaction.	2
8	0	0	0	1	0	0	0	0	3	0	1	0	2	2.0	5	1	1	1	1	0	What did she want to tell him?  As you generate the response, please indicate which instruction you followed, as some instructions may have produced different sentences.	2
13	0	1	0	1	2	0	4	0	2	1	0	0	2	3.0	11	0	0	1	1	0	Johnny spilled his fruit and juice in his classroom today and was scolded	2
16	1	0	1	1	0	3	4	0	1	0	1	0	3	4.0	5	2	2	2	2	0	The teacher said I should ask the students to read the book again next semester.	2
10	0	1	1	1	0	1	1	0	0	1	1	0	2	3.0	4	1	1	1	1	0	Jess is going to buy the dress at once. 	2
14	2	0	1	2	0	1	1	0	2	1	1	0	2	4.0	6	2	2	2	2	0	Jim was eager to tell her how much he had loved the party. 	2
10	1	1	0	1	0	0	2	0	2	0	1	0	2	3.0	5	1	1	1	1	0	We should consider getting new curtains for our window. 	2
13	2	0	0	1	0	1	3	0	0	0	1	1	4	4.0	7	3	2	1	2	1	Jumping jacks were better than sitting watching the couch potatoes get fatter!  The goal of this activity is to help you recognize and use appropriate grammatical structures in simple sentences	2
14	0	1	2	1	0	1	2	0	1	0	2	1	2	2.0	7	1	1	1	1	0	I have not gotten a promotion in years, despite working hard consistently.	2
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat purred contentedly.	2
9	1	0	1	0	0	1	2	0	0	0	1	1	2	2.0	5	1	1	2	0	0	The sky became increasingly lighter as morning approached.	2
