n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	max_link_constraint
6	1	0	0	0	0	0	3	0	0	0	1	0	1	2.0	3	1	1	0	0	0	SMALL GIRL BORN LABOR DAY.	2
8	0	1	0	0	0	1	0	0	0	3	1	0	2	3.0	6	1	1	0	1	0	Flying Lessons for Babies Starting This Saturday!	2
10	2	1	1	0	0	1	3	0	1	0	0	0	1	3.0	5	0	0	1	1	0	My favorite pizza joint serves up the most divine slice	2
8	2	0	1	0	0	0	3	0	0	0	1	0	1	2.0	3	0	0	1	0	0	BEST BLUE RIBBON FIDDLER EVER PERFORMS TONIGHT!!!	2
7	1	2	0	0	0	0	2	0	0	0	0	0	2	3.0	3	0	0	0	1	0	BREWED FIRST CUP RAN Out Of INK 	2
7	2	1	0	0	0	0	2	0	0	0	1	0	1	2.0	5	0	0	0	0	0	CALL FOR IMMEDIATE REGISTRATION AVAILABLE SPACES.	2
12	0	2	1	0	0	3	3	0	0	0	1	0	2	4.0	4	1	1	1	0	0	The cat curled into a ball sleeped soundly on the windowsill.	2
3	0	0	0	0	0	0	1	0	0	0	2	0	0	0.0	0	0	0	0	0	0	SLEEEEEP!!!! 😴	2
5	0	0	0	1	0	0	2	0	1	0	0	0	1	2.0	2	0	0	1	1	0	We are enjoying winter festival	2
11	2	2	0	0	0	2	2	0	1	1	1	0	0	3.0	5	0	0	0	0	0	Happy Birthday to You the Best Grandma in the World!!!	2
9	0	0	2	0	0	0	1	0	3	0	1	0	2	2.0	4	1	1	2	1	0	My cat purrs loudly whenever I pet it.	2
8	2	2	0	1	0	0	3	0	0	0	0	0	0	3.0	3	0	0	1	0	0	BORROWED SILVERware MAY Cause Pennies In Poor Areas	2
15	1	0	2	1	0	1	2	0	2	0	1	2	3	4.0	4	2	2	2	1	0	The moon is shining brightly in   I look forward to reading your next response. Please continue with new sentences. 	2
10	0	1	1	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The cat chased the mouse up the tree quickly.	2
5	0	1	1	0	0	0	0	0	0	1	1	0	1	2.0	3	0	0	0	0	0	Run for President ASAP!!!	2
10	2	2	1	0	0	0	3	0	0	1	1	0	0	2.0	6	0	0	0	0	0	BEST LUXURY HOTELS IN PARIS AVAILABLE FOR BOOKING NOW!!!	2
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred loudly on my lap.	2
5	1	0	0	0	0	0	0	0	1	1	1	0	1	2.0	2	0	0	1	1	0	I Want Faster Horse.	2
6	0	0	2	0	0	0	1	0	0	0	1	0	2	3.0	1	0	0	1	0	0	Happily married life lasts forever!!!	2
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	A cat sat on a mat.	2
10	0	0	0	0	0	1	5	0	1	0	0	0	2	4.0	6	1	1	1	1	0	I WANT TO TRY THE TENDERSTEEK FLAMEGRILL BBQ SPICED Wagyu   Let me know if you want to generate another sentence. 	2
9	2	0	2	0	0	1	2	0	0	0	1	0	1	2.0	5	0	0	1	1	0	FANTASTIC TACOS FOUND JUST A FEW BLOCKS AWAY!	2
9	2	2	0	0	0	0	2	0	1	0	1	0	1	3.0	3	1	1	0	0	0	BEST VEGAN RESTAURANT IN TOWN WAITING FOR YOU!!!	2
9	1	1	2	0	0	1	3	0	0	0	1	0	0	2.0	4	0	0	0	0	0	The most fabulous candy shop for miles around.	2
9	2	0	1	1	0	1	3	0	0	0	1	0	0	2.0	4	0	0	1	0	0	The wait staff was professional BEST VACATION EVER!!!!	2
10	1	0	1	2	0	1	0	0	1	1	1	0	1	4.0	3	1	1	2	0	0	You Won't Believe How Great The Beach Was. 	2
8	1	0	1	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	Fortunately I Found the Perfect Answer Key.	2
10	1	1	2	0	0	1	2	1	0	0	1	0	1	3.0	3	1	1	0	0	0	BEST SIX PACK EVER ACTIVELY HIDING IN THE SHOWER!!!	2
11	3	0	1	0	0	0	4	0	1	0	1	0	1	4.0	4	1	1	0	1	0	HAPPY BIRTHDAY DEAR WIFE FINALLY GETTING HER PERFECT DIAMOND RING!	2
5	2	0	0	0	0	0	2	0	0	0	1	0	0	1.0	2	0	0	0	0	0	BEST ITALIAN RESTAURANT LIVE.	2
11	2	0	0	1	0	1	3	0	1	0	1	0	2	3.0	4	1	0	1	2	1	The biggest challenge facing millennials is managing their online reputation.	2
7	0	1	0	0	0	0	1	0	1	0	1	0	2	3.0	2	1	1	1	0	0	I LOVE TO WALK ON BEACHES.	2
4	2	0	0	0	0	0	1	0	0	0	0	0	1	1.0	2	1	1	0	0	0	FABULOUS ITALIAN RESTAURANT FOUND	2
6	1	0	1	0	0	0	3	0	0	0	1	0	0	2.0	3	0	0	0	0	0	FANTASTIC MEMORIAL DAY PARADE AHEAD!!!	2
6	1	0	0	0	0	0	1	0	0	2	1	0	1	2.0	2	0	0	1	0	0	WONDERFUL CHRISTMAS PRESENTS ARRIVED TODAY!	2
7	2	0	1	0	0	1	2	0	0	0	1	0	0	1.0	4	0	0	0	0	0	The best French dessert restaurant ever. Please let me know if you need further help.	2
6	2	1	0	0	0	0	2	0	0	0	1	0	0	2.0	2	0	0	0	0	0	Best Vietnamese Restaurant in Town!!!	2
7	0	1	0	0	0	2	2	0	0	1	1	0	0	2.0	3	0	0	0	0	0	The Cat Sat On The Mat.	2
8	1	0	0	1	0	0	3	0	1	0	1	0	0	3.0	3	0	0	1	0	0	My wife's birthday party was AMAZING!!!	2
4	0	0	0	0	0	1	2	0	0	1	0	0	0	3.0	1	0	0	0	0	0	The Cat Purred Immodestly	2
6	1	1	0	0	0	1	1	0	0	1	0	0	1	2.0	3	1	1	0	0	0	A HUGE Mouthful OF Jellybeans STOLE The Show	2
7	1	0	1	1	0	1	2	0	0	0	1	0	0	1.0	4	0	0	1	0	0	SUNSET IS THE BEST SEASON EVER!!!	2
10	1	1	1	0	0	1	3	0	1	0	1	0	1	2.0	5	0	0	1	1	0	The Cat Chose Mouse As Her Best Friend Ever!!!	2
10	0	0	1	0	0	0	1	0	3	0	1	0	3	4.0	3	2	2	2	1	0	Honestly, I Think You Need To Get Your Dog	2
5	2	1	0	0	0	0	1	0	0	1	0	0	0	2.0	2	0	0	0	0	0	Best English Tutor in London	2
6	0	0	0	1	0	0	1	1	2	0	0	0	1	2.0	3	0	0	1	1	0	I will marry you one day	2
4	1	0	1	0	0	0	1	0	0	0	1	0	0	1.0	1	0	0	0	0	0	BEST VACATION EVER!!!	2
4	1	0	1	0	0	0	1	0	0	0	1	0	0	1.0	1	0	0	0	0	0	BEST RESTAURANT EVER!!  I hope this helps! Please let me know if you have any questions or need further assistance.	2
5	2	0	1	0	0	0	1	0	0	0	1	0	0	1.0	2	0	0	0	0	0	Best Italian Restaurant EVERRRR! 	2
6	2	0	0	0	0	0	0	0	0	2	1	0	1	2.0	3	1	1	0	0	0	Fabulous Fijian Fungi Festival Featured.	2
11	3	2	0	0	0	2	3	0	0	0	0	0	1	2.0	8	0	0	1	0	0	The baby laughed at the silly clown for several minutes nonstop	6
11	0	1	1	0	0	3	3	1	0	0	1	0	1	2.0	7	0	0	1	1	0	The cat chased away the one mouse in the house.	6
13	3	0	0	0	1	1	2	1	0	1	1	1	2	4.0	8	1	1	1	2	0	John ate three juicy and long pink sandwiches before leaving the room.	6
10	0	0	0	2	0	1	3	1	0	0	1	0	0	3.0	5	0	0	1	0	0	One man's sacrifice may be another's folly.	6
13	4	1	0	1	1	1	3	0	1	0	1	0	0	3.0	4	0	0	1	0	0	She's a tall woman with long red hair and green eyes.	6
13	1	1	0	0	0	1	2	3	2	0	2	0	1	4.0	5	0	0	1	2	0	(1) She gave me a bag of one hundred red pens.	6
13	0	0	0	2	0	1	2	2	0	0	3	0	2	3.0	5	1	1	1	1	0	(5) One may be compelled to attend an association meeting.	6
9	0	1	0	0	0	1	2	1	1	0	0	0	2	4.0	3	1	1	1	1	0	She has not one friend invited to the party	6
9	0	2	1	0	0	1	2	0	1	0	1	0	1	2.0	6	0	0	1	0	0	She walked alone across the desert at night. (6 words)	6
12	0	1	1	0	0	2	3	0	1	0	2	0	2	3.0	8	0	0	2	0	0	The baby swung high in the air, its diaper exposed.	6
11	0	1	1	0	0	3	2	0	0	0	1	0	2	3.0	6	1	1	1	1	0	The teacher encouraged all of the students to sing loudly.	6
7	1	1	0	1	0	1	2	0	1	0	0	0	0	2.0	3	0	0	1	0	0	My cat is asleep on the windowsill	6
13	1	2	1	0	0	1	3	2	0	0	1	0	2	4.0	6	1	0	1	0	1	One cat chased by two dogs rapidly fled down a lonesome alley.	6
14	0	2	0	0	0	2	4	1	1	0	1	1	2	3.0	7	1	1	1	1	0	The hotel staff apologized to one of our colleagues for overbooking the room. 	6
9	0	1	0	0	0	0	3	1	1	1	1	0	1	3.0	4	0	0	1	1	0	John has four apples in his school bag. 	6
12	1	2	0	0	0	2	3	1	1	0	1	0	1	2.0	9	0	0	1	1	0	I want two red pens from the box under the counter.	6
7	0	1	0	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	Her smile lights up a room.	6
9	0	0	0	0	1	1	3	2	0	0	1	0	1	3.0	3	0	0	1	1	0	The dog chased one cat and two dogs.	6
11	1	1	0	0	1	2	3	0	0	0	1	0	2	3.0	4	0	0	1	1	0	The rain poured down and flooded the nearby river basin.	6
12	1	1	0	3	0	1	2	0	2	0	1	0	1	3.0	3	1	1	2	0	0	All animals must be respected for their dignity which is inherent.	6
14	0	2	0	0	0	3	3	0	1	0	1	1	3	4.0	3	2	2	2	0	0	The cat purred as it rubbed against the leg of the person sitting. (6 words)	6
12	2	1	0	0	0	0	3	3	1	0	1	0	1	3.0	9	0	0	1	1	0	She gave one hundred euro to five different charities last year. (6 words)	6
10	2	0	0	1	0	1	2	0	1	0	0	1	2	2.0	5	1	1	2	1	0	The baby will require more diapers as it grows larger	6
11	0	0	0	0	1	0	3	3	1	0	2	0	1	3.0	6	0	0	1	1	0	She has one cat, two dogs and three birds. (6 words)	6
10	0	2	0	2	0	1	2	0	0	2	0	0	1	3.0	4	0	0	1	0	0	Jesus Christ has been reinstated as head of the church	6
8	1	0	1	0	0	1	2	0	1	0	0	0	2	4.0	3	1	1	1	2	0	I see a large eagle soaring silently overhead	6
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	5	0	0	1	0	0	The cat purred loudly on John's lap.	6
14	0	2	0	0	1	1	3	0	3	0	1	0	3	4.0	5	1	1	1	1	0	I walked into my kitchen and saw a cat napping on my table. (6 words)	6
16	1	2	1	0	0	2	4	0	2	0	2	0	2	3.0	7	1	1	1	1	0	The lion slowly made its way through the jungle, hunting for its next victim.	6
15	1	0	0	0	1	1	4	2	1	0	2	0	2	4.0	9	0	0	2	2	0	They built one house, and the architect's assistant drew one blue line. (1 sentence)	6
10	0	1	0	0	0	1	5	0	1	0	0	0	2	4.0	2	1	1	1	0	0	Law enforcement officials say there are no grounds for suspicion	6
15	1	2	0	1	0	2	2	2	1	1	2	0	1	4.0	4	1	1	2	0	0	(1) John is the oldest of the eight boys who remain in school. (7 words)	6
11	0	1	0	0	0	2	3	1	2	0	0	0	2	4.0	5	1	1	2	1	0	She has one cat that sleeps at the window all day	6
9	0	0	0	0	0	0	1	0	3	0	1	0	3	4.0	2	2	2	1	2	0	They offered to help him paint his house.	6
12	0	1	0	1	1	1	3	2	0	1	1	0	1	3.0	8	0	0	1	1	0	John will bring one cake and four pies to the party.	6
12	0	1	1	0	0	2	3	0	1	0	1	1	2	3.0	4	1	1	2	0	0	The cat purred loudly as it sat on the window seat.	6
11	1	2	0	1	0	2	2	1	1	0	1	0	0	3.0	4	0	0	1	0	0	She is one of the top agents in the agency.	6
10	1	1	0	0	0	2	2	0	0	0	1	1	2	2.0	6	1	1	1	0	0	The baby laughed for a whole minute without stopping.	6
13	0	2	2	0	0	2	1	1	2	0	1	0	2	4.0	4	1	1	2	0	0	He never spoke to the woman who lived at no 7 again.	6
13	1	0	1	2	0	2	2	0	1	0	0	0	3	4.0	4	2	2	2	1	0	The cat was seen to eat the largest mouse it had ever killed	6
11	1	0	1	1	1	1	2	0	2	0	1	0	1	2.0	7	0	0	2	1	0	The tourists lost their money and now they are alone.	6
13	0	0	0	0	2	2	3	0	0	2	0	0	3	3.0	5	1	1	1	3	0	The manager told John and Alice to visit every branch and gather information	6
10	0	1	0	1	0	1	2	0	3	0	0	1	1	2.0	8	1	1	2	1	0	They elected her to office because she was a woman	6
