n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
9	1	1	0	0	0	0	3	0	2	0	1	0	1	2.0	7	0	0	0	1	0	1	0	Cure your insomnia with our natural sleep aid.	0
14	2	1	1	1	1	1	1	0	1	0	1	0	3	4.0	6	1	1	0	1	0	1	0	Avoid getting wet and don't eat anything too spicy before the party.	0
11	1	0	1	0	1	1	3	0	0	0	2	0	2	2.0	7	0	0	2	0	0	0	2	The sky turned dark, then light and stars twinkled.	0
8	0	1	0	1	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun was setting over the ocean.	0
19	0	2	2	0	0	3	3	0	0	1	3	0	4	4.0	9	1	1	1	2	0	2	1	Alice immediately opened the package, devoured the pizza, then showered to freshen up for the party.	0
14	1	3	0	1	0	1	2	0	2	0	2	0	2	3.0	9	2	2	1	0	0	0	1	Avoid overeating before a night out, it's better for your health.	0
6	1	0	0	1	0	0	1	0	0	1	1	0	0	3.0	2	0	0	1	0	0	0	1	Joe's car is blue.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The parrot perched precariously on the windowsill.	0
9	1	1	1	0	0	2	2	0	0	0	1	0	1	3.0	3	0	0	1	0	0	0	1	The cat purred contentedly asleep in the sunbeam.	0
12	0	1	0	0	0	3	3	0	1	0	1	1	2	3.0	8	1	1	1	2	0	2	1	Run the dogs around the park until they need a break.	0
7	0	1	0	0	0	0	2	1	0	1	1	0	1	2.0	3	0	0	1	0	0	0	1	Water boils at 212 degrees Fahrenheit.	0
10	0	1	1	0	0	2	3	1	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The team quickly completed the project in three weeks.	0
12	1	1	0	0	1	2	3	0	1	0	1	0	2	3.0	5	0	0	0	2	0	2	0	Climb the tallest mountain and shout your victory from the rooftops.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	4	0	0	1	0	0	0	1	Lena's cat slept soundly on the couch.	0
6	0	0	0	0	0	1	2	0	0	0	1	1	1	3.0	2	1	1	0	1	0	1	0	Congratulations on completing the instruction!	0
14	1	1	1	0	0	3	4	0	0	0	1	0	2	4.0	5	1	1	0	2	0	2	0	Carefully examine the complex system to locate the root cause of the issue.	0
14	2	0	0	0	1	3	4	0	0	0	2	0	2	4.0	5	1	1	0	2	0	2	0	Wash the car using a soft-bristle brush and a gentle cleanser.	0
9	0	2	0	0	0	2	3	0	0	0	1	0	1	2.0	6	0	0	1	0	0	0	1	Water flows from the lake into the river.	0
8	0	2	0	0	0	1	1	1	1	0	1	0	1	2.0	6	0	0	0	1	0	1	0	Fax the report to me at 555-555-1234.	0
12	0	1	0	0	1	3	3	0	0	0	1	0	3	4.0	4	1	1	0	2	0	2	0	Crank the engine and hit the gas, racing down the straightaway	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly upon my lap.	0
12	0	2	0	0	1	3	3	0	0	0	1	0	2	3.0	8	0	0	0	1	0	1	0	Climb to the top of the mountain and release the balloons.	0
13	0	0	1	0	1	3	4	0	0	0	1	1	2	3.0	7	1	1	1	2	0	2	1	The manager reviewed the reports and data thoroughly before making a decision.	0
18	0	1	2	1	0	1	5	1	0	3	3	0	0	3.0	8	0	0	1	0	0	0	1	Buzz Aldrin's zero-gravity penis sighting on Mars was the most-read tweet ever!	0
7	1	1	0	0	0	1	2	0	0	0	1	0	1	2.0	5	0	0	0	1	0	1	0	Cut the pizzas into equal slices.	0
17	1	0	0	1	1	2	6	0	0	0	3	0	2	4.0	6	1	1	1	2	0	2	1	The company is launching a nationwide training program to address diversity, equity, and inclusion.	0
7	0	0	1	0	0	1	2	0	1	0	1	0	1	2.0	3	0	0	1	1	0	1	1	The dog chased its tail rapidly.	0
8	0	1	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The sun rose slowly over the horizon.	0
13	0	1	2	0	1	2	3	0	1	0	1	0	2	3.0	6	0	0	0	2	0	2	0	Carefully slice the bananas and arrange them artfully on the serving dish.	0
3	0	0	0	0	0	1	1	0	0	0	0	0	1	2.0	1	0	0	1	0	0	0	1	The baby cried	0
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	5	0	0	1	0	0	0	1	The cat purred contentedly on John's lap.	0
12	2	1	1	1	1	0	1	0	2	0	1	1	1	3.0	8	1	1	1	0	0	0	1	Run for your life while you're still young and able.	0
9	0	0	0	0	0	2	2	0	0	1	1	0	2	3.0	4	1	1	1	1	0	1	1	Fred had to walk the dog every evening.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred loudly on my lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
10	0	1	0	0	1	2	2	0	1	0	1	0	2	3.0	4	0	0	0	2	0	2	0	Clean the vehicles and prepare them for the journey.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	0
12	1	0	0	0	0	3	3	0	0	0	1	0	3	3.0	5	1	1	1	2	0	2	1	The chef prepared a succulent sauce to accompany the roasted vegetables.	0
14	0	0	2	1	2	1	2	0	2	0	1	0	3	3.0	6	1	1	1	2	0	2	1	Clean the refrigerator and freezer and put them away when you are done.	0
5	0	0	1	0	0	0	1	0	1	0	1	0	1	2.0	3	0	0	0	1	0	1	0	Write your sentence here: The cat purred contentedly on my lap.	0
8	0	1	0	0	0	1	3	0	1	0	1	0	1	2.0	4	0	0	1	1	0	1	1	The dog chased its tail in circles.	0
9	0	1	1	0	1	1	1	0	1	0	1	0	2	2.0	4	0	0	0	2	0	2	0	Cut the cards and deal them out evenly.	0
12	1	1	2	1	0	2	3	0	0	0	0	0	2	4.0	5	1	1	1	1	0	1	1	Flash forward to a distant world where time has lost all meaning	0
9	1	1	0	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The company will merge with its largest competitor.	0
6	0	0	0	0	1	1	2	0	0	0	1	0	1	3.0	2	0	0	0	1	0	1	0	Clean the furniture and carpets.	0
13	2	3	0	0	1	1	3	0	0	0	1	0	2	3.0	7	0	0	0	1	0	1	0	Crank the engine to maximum power and take off at full throttle.	0
5	1	0	0	0	0	1	1	0	0	0	1	0	1	2.0	3	0	0	0	1	0	1	0	Eat the entire cake.	0
16	1	2	0	1	1	2	3	0	1	0	2	0	3	3.0	10	0	0	1	2	0	2	1	Blow the horn and start the engine, we're taking off at supersonic speed!	0
11	1	1	0	1	0	2	2	0	1	1	1	0	1	3.0	7	0	0	1	1	0	1	1	You can see the painting at the museum next Sunday.	1
11	1	0	0	0	0	1	3	0	0	1	1	1	2	4.0	3	1	1	1	2	0	2	1	The teacher praised John's effort for solving complex problems. 	1
12	0	1	1	1	0	0	2	0	2	1	3	0	1	2.0	5	0	0	1	0	0	0	1	My cat, Fluffy, is purring contentedly on my lap.	1
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The cat purred contentedly on my lap.	1
14	1	2	0	1	0	2	2	0	1	2	2	0	1	4.0	6	0	0	1	1	0	1	1	Brazil: You can obtain the visa from the Portuguese embassy in London.	1
10	0	2	0	1	0	2	2	0	0	1	1	0	1	3.0	3	0	0	1	0	0	0	1	The hotel was located in the mountains of Switzerland.	1
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	5	0	0	1	0	0	0	1	The cat purred contentedly on Maria's lap.	1
16	0	0	0	2	0	0	3	1	3	0	1	1	2	3.0	10	1	1	2	2	0	2	2	I can't remember my mom's phone number since she doesn't have one.	1
18	0	3	1	2	0	2	5	0	1	1	1	0	1	4.0	8	0	0	1	0	0	0	1	Mars can be seen clearly on a night sky without a telescope from my parents' backyard.	1
13	0	1	0	1	1	0	3	0	2	2	2	0	1	5.0	7	0	0	1	1	0	1	1	China: I will have dinner with Jack and his family tonight.	1
11	1	2	0	1	0	1	1	0	1	2	1	0	1	2.0	7	0	0	1	1	0	1	1	I have sent the package to New York via FedEx.	1
2	0	0	0	0	0	0	0	0	0	1	1	0	0	0.0	0	0	0	0	0	0	0	0	Nigeria: You must apply in advance for a visa through the nearest Norwegian embassy.	1
10	1	0	0	1	0	1	2	0	0	1	1	0	2	3.0	4	1	1	1	1	0	1	1	Maria is going to buy a new laptop tomorrow.	1
12	1	1	0	2	0	1	2	0	2	1	1	0	1	2.0	6	0	0	1	1	0	1	1	My sister will be visiting us from the States next week.	1
10	1	0	1	1	0	0	1	0	2	1	1	0	2	3.0	4	1	1	2	2	0	2	2	I will visit Paris when I have more time.	1
6	0	0	0	1	0	1	1	0	0	1	1	0	1	2.0	2	0	0	1	1	0	1	1	Jane is eating an apple.	1
10	0	1	0	1	0	1	1	0	1	1	1	1	2	3.0	4	1	1	1	1	0	1	1	I'm thinking of visiting Iceland in the spring.	1
8	0	0	1	1	0	1	0	0	0	3	1	0	1	2.0	4	0	0	1	1	0	1	1	Lena is reading The Sun Also Rises.	1
8	0	1	0	0	0	1	4	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The hotel room smelled of cigarette smoke.	1
