n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	subj_pre_constraint
9	0	1	1	0	0	2	3	0	0	0	1	0	1	2.0	5	0	0	1	0	0	0	1	The sun rose slowly in the morning sky.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The cat slept on the mat.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat laughed mirthlessly. 	0
6	0	0	1	0	0	0	1	0	2	0	1	0	1	2.0	3	0	0	1	1	0	1	1	She ate her food quickly. (1 sentence)	0
10	0	1	1	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	1	1	The cat chased the mouse quickly through the grass.	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	0	1	The cat purred contentedly.	0
6	0	1	0	0	0	1	1	0	1	0	1	0	1	2.0	3	0	0	1	0	0	0	1	She walked into the store.	0
12	1	2	0	0	0	3	4	0	0	0	1	0	1	2.0	7	0	0	1	0	0	0	1	A tasty dessert glistened under the lights in the dining hall.	0
6	0	1	0	0	0	1	2	0	0	0	0	0	2	2.0	3	1	1	1	0	0	0	1	Night engulfs as the mountains towering	0
9	0	2	1	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	0	1	The mountains majestically rose up in the distance.	0
6	0	0	0	0	0	0	0	0	1	0	1	0	3	2.0	3	2	1	1	1	1	1	1	Running helps me to relax. 	0
9	1	1	1	0	0	2	2	0	0	0	1	0	1	2.0	5	0	0	1	0	0	0	1	The dog ran quickly down the long road.	0
7	0	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	0	1	The sun rose over the horizon.	0
