n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
8	0	1	0	1	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	I will go to the park tomorrow.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap. (1 sentence)	0
10	1	1	0	0	0	1	2	0	1	1	1	0	1	3.0	7	0	0	1	1	0	I had a delicious lunch at McDonald's yesterday.	0
5	1	0	0	1	0	1	1	0	0	0	1	0	0	2.0	2	0	0	1	0	0	The sky is blue.	0
15	0	1	0	0	1	2	4	0	0	0	2	0	4	5.0	5	2	2	1	1	0	The manager smiled and shook hands, feeling relieved by the employee's apology.	0
10	1	1	1	1	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The sun will soon rise over the distant hills.	0
9	0	1	1	0	0	1	2	0	0	1	1	0	1	3.0	5	0	0	1	0	0	The cat purred contentedly on Sarah's lap.	0
18	3	2	0	0	0	3	5	0	1	0	1	0	2	6.0	4	1	1	1	1	0	A storm cloud hovered above the distant mountains like a black umbrella ready to release its rain.	0
16	0	1	1	0	0	2	3	1	1	0	4	0	3	3.0	8	1	0	1	1	1	Based on the instruction, I generate the below-written one-sentence response. Please find it below:  John ate the cake for dessert before starting his homework. 	0
18	4	1	1	1	1	2	5	0	0	0	1	1	1	4.0	7	1	1	1	1	0	The hotel room was surprisingly clean and quiet despite having a night of loud partying next door.	0
13	3	1	0	0	1	0	1	0	2	1	1	0	2	4.0	3	1	1	1	1	0	With his new job, Jack felt overwhelmed but eager to prove himself	0
7	0	1	0	0	0	1	2	0	0	1	1	0	1	2.0	4	0	0	1	1	0	John ate the sandwich with excitement.	0
19	3	3	0	0	0	4	5	0	0	0	3	0	1	3.0	6	0	0	1	1	0	In the cold, crisp morning, the sun illuminated the barren forest with a glimmer of hope.	0
8	0	0	1	0	0	0	2	0	1	1	0	0	2	3.0	3	1	1	1	1	0	Sue finally got to see her dream house	0
5	0	0	1	0	0	1	1	0	0	0	1	0	1	2.0	1	0	0	1	0	0	The cat purred loudly.	0
10	2	1	1	1	0	1	3	0	0	0	1	0	0	3.0	4	0	0	1	0	0	The new restaurant downtown is already popular among foodies. 	0
8	0	1	1	0	0	2	2	0	0	1	0	0	1	2.0	6	0	0	1	1	0	Jim played the guitar beautifully at the concert	0
9	2	1	0	0	0	2	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The big red car drove down the hill.	0
5	0	1	0	0	0	0	1	0	1	0	1	0	1	2.0	2	0	0	1	0	0	I walked to school.	0
7	0	0	1	0	0	1	2	0	0	0	1	0	1	3.0	2	0	0	1	0	0	The dog's tail wagged enthusiastically.	0
9	0	1	0	0	0	3	3	0	0	0	1	0	1	2.0	5	0	0	1	1	0	The cat chased the mouse through the fields.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred loudly on my lap.	0
12	0	2	0	0	0	2	3	0	1	1	1	0	2	3.0	5	1	1	1	1	0	John walked down the street, feeling the sun on his face	0
10	1	2	0	0	0	2	3	0	0	0	1	0	1	2.0	6	0	0	1	0	0	The car raced down the straightaway at incredible speeds.	0
10	0	1	0	0	1	2	2	0	1	0	1	0	2	3.0	5	0	0	1	1	0	I went to the market and bought some food.	0
12	0	2	0	0	0	2	2	0	2	0	1	1	2	2.0	9	1	1	2	0	0	I walked in the park in the morning before it rained.	0
12	2	2	0	0	0	3	3	0	0	0	1	0	1	3.0	3	0	0	1	0	0	The big brown puppy tumbled to the bottom of the stairs.	0
7	0	0	1	0	1	1	1	0	0	0	1	0	2	2.0	2	0	0	1	0	0	The cat smiled and purred loudly.	0
8	1	0	1	1	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	The snow was falling heavily last night.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
12	0	3	0	0	0	3	4	0	0	0	1	0	1	3.0	6	0	0	1	0	0	The horse galloped across the field with a sense of excitement.	0
8	0	1	0	1	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	0	0	The car will leave in one hour.	0
9	0	2	0	0	0	2	2	0	0	1	1	0	1	2.0	6	0	0	1	0	0	John walked across the park to the pond.	0
8	0	1	1	0	0	1	2	0	1	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred contentedly on my lap.	0
13	1	2	0	0	0	4	4	0	0	0	1	0	1	3.0	6	0	0	1	1	0	The team scored a goal in the final minutes of the game.	0
8	2	1	1	0	0	1	2	0	0	0	0	0	1	2.0	5	0	0	1	0	0	Bright flowers bloomed vibrantly against a dark background	0
8	0	2	0	0	0	2	3	0	0	0	0	0	1	2.0	5	0	0	1	0	0	The cat curled around the mouse in slumber	0
15	0	0	1	0	0	1	2	1	0	0	3	0	1	2.0	11	0	0	1	0	0	The cat purred softly _ _ _ _ _ _ _ (1 sentence)	0
16	3	3	0	1	0	2	4	0	0	1	1	0	1	3.0	8	0	0	1	0	0	A new team of astronauts will launch on Mars expedition in the next few months.	0
12	1	1	1	0	0	1	2	0	2	0	1	1	2	3.0	5	1	1	1	1	0	She ate the sandwich slowly while thinking about her upcoming trip.	0
14	0	1	3	1	1	0	0	0	2	1	1	1	3	3.0	7	1	1	1	1	0	She has always dreamed of traveling to Japan but never made it there.	0
14	2	0	1	2	0	1	2	0	2	0	1	0	2	4.0	5	2	2	2	2	0	I will be ready to begin the project when I receive further instructions.	0
8	2	1	0	0	0	1	2	0	0	0	1	0	1	2.0	3	0	0	1	0	0	Bright blue sky stared at the sun.	0
21	3	3	0	0	0	3	7	0	1	0	1	0	2	4.0	7	1	1	1	2	0	The new policy required all employees to complete a full week of training in addition to their regular job responsibilities.	0
8	1	1	0	0	0	2	2	0	0	0	1	0	1	2.0	4	0	0	1	0	0	The cat purred in the warm sunlight.	0
9	0	0	1	0	0	1	1	0	1	1	1	1	2	2.0	5	1	1	2	1	0	Sue quickly ate the cake before it disappeared.	0
12	0	2	1	0	1	2	2	0	0	1	1	0	2	3.0	6	0	0	1	0	0	John smiled confidently at the camera and posed for a photo.	0
10	0	1	1	0	1	1	1	0	2	0	1	0	2	2.0	6	0	0	1	1	0	She walked slowly to the door and opened it.	0
12	1	2	0	0	0	3	4	0	0	0	1	0	1	2.0	8	0	0	1	0	0	The cat walked across the table with a soft mewling sound.	0
13	1	0	1	1	0	1	2	0	2	1	2	0	2	4.0	5	1	1	2	1	0	John ate a pizza, which he had ordered online last night.	0
10	0	0	1	1	1	1	1	0	1	0	2	0	2	2.0	4	0	0	2	0	0	The cat is sleeping, and it purrs loudly.	1
31	2	6	1	1	0	6	6	0	2	1	1	1	3	7.0	13	2	2	2	1	0	Aaron carefully carried the package over his shoulder to the entrance of the building while making sure he did not trip on any of the uneven pavers on the walkway. 	1
22	0	3	1	0	1	3	4	0	1	1	2	0	5	7.0	5	3	3	2	1	0	Jim enjoys going to the park after work, where he likes to feed the ducks and play on the swings.	1
30	2	2	2	1	1	7	9	0	1	0	1	0	4	7.0	14	2	2	2	3	0	The chef added the exotic spices and the sauce béarnaise to the grilled filet mignon, creating a dish that would excite the senses of even the most discerning palate	1
22	2	1	0	3	1	3	5	0	3	0	2	0	2	5.0	8	2	2	2	2	0	I have generated an amazing dish, using the freshest ingredients and spices, which has been a delight to my guests	1
10	1	0	0	2	0	1	1	0	2	0	1	1	1	2.0	6	1	1	2	1	0	"I will eat the sandwich because I am hungry. (subordinate clause: because I am hungry is subordinate to the main clause, ""I will eat the sandwich"".)"	1
16	1	0	2	0	0	3	4	0	1	0	2	1	2	3.0	6	1	0	2	1	1	Although the weather forecast promised a sunny day, it rained heavily all afternoon long. 	1
29	2	1	3	0	1	4	7	0	0	1	3	0	5	6.0	11	3	3	2	3	0	Raymond, the store manager, noticed the employee taking too long to restock shelves and quickly assigned the additional task to ensure a steady flow of inventory.	1
25	2	3	0	0	1	1	7	0	2	0	2	1	5	5.0	13	2	2	2	1	0	The company decided to reduce its production costs by investing in new technology, this resulted in increased efficiency and lower prices for consumers. 	1
30	0	3	0	0	0	5	7	0	3	0	5	1	5	4.0	9	3	3	3	1	0	The manager requested that the employee submit their work by the end of the day tomorrow, _____________(which) he promised to review by the following morning.	1
20	2	2	1	0	1	3	6	0	0	0	2	0	2	3.0	13	0	0	1	0	0	The monkey clings tightly to the tree branch, despite the approaching storm's strong winds and heavy rains.	1
14	0	2	0	0	0	0	4	0	1	1	2	1	3	3.0	7	2	2	2	1	0	John walked to school, while his brother sat at home watching TV.	1
