n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1	Fuel Cell Energy.	0
4	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2.0	0	3	Singing along with you	0
6	0	0	1	0	0	4	0	0	0	1	0	0	0	1	0	0	0	3.0	1	1	  Fuel Cell Energy equipment licensed.	0
6	0	0	0	0	0	4	1	0	0	1	0	0	0	0	1	1	0	4.0	0	4	We license Fuel Cell Energy products	0
5	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	2.0	0	3	Sunny days at the office	0
7	0	0	1	1	0	2	0	1	1	0	0	0	1	0	0	0	0	2.0	0	5	Sprint down the yellow brick road.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
5	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	2	The output is below:	0
7	1	0	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	No problem, here you go: We licensed Fuel Cell Energy equipment refer to	0
44	1	0	17	3	1	8	3	6	0	3	0	1	1	0	3	3	2	6.0	2	12	"  When we say ""We license Fuel Cell Energy equipment,"" we are using the noun ""equipment"" without any determiners (such as ""the,"" ""a,"" ""an,"" or none at all). This sentence contains one noun, which is ""equipment."""	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	1	0	2.0	0	4	Write in the reply box: The answer is 255	0
8	0	0	1	0	0	4	0	0	1	2	0	0	0	0	1	1	0	3.0	0	3	Fuel Cell Energy supplies licensed energy solutions.	0
13	0	0	1	0	1	0	5	0	0	2	0	2	1	2	2	1	0	4.0	2	4	I am not sure what you are asking or what prompted you. Can you please give me some context?	0
7	0	0	1	0	0	0	1	0	0	0	0	2	2	1	0	0	0	2.0	1	3	Do my best to be helpful?	0
5	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Write your response here. Remember, this should be just one sentence with 0 determiners. 	0
16	1	2	1	1	0	1	4	0	0	3	0	1	0	2	1	2	0	3.0	2	9	Please provide us with your requirements so that we can work to fulfill them effectively.	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	?	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	?	0
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Okay. Is this sentence good?   	0
24	1	0	1	1	3	8	2	3	0	3	0	0	0	1	0	3	0	5.0	1	12	Please take a look around and discover the beauty and majesty of our world-class facilities to suit your every need and desire	0
8	0	1	1	1	0	0	3	0	0	1	0	1	0	1	1	0	0	2.0	1	6	Laugh at me if I were you.	0
11	0	0	2	1	0	3	0	2	0	1	1	1	0	0	1	1	0	3.0	0	6	The sentence with 0 determiners is:  Clean the stove.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	?	0
14	0	0	1	2	0	3	1	2	0	2	1	0	0	1	0	2	0	5.0	1	4	Please provide me with a task to generate a sentence with 0 determiners. Please specify the output format as well in the future.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	0	0	1	1	0	4	1	0	0	1	0	0	0	0	1	0	0	3.0	0	5	We energize with fuel cell power systems. 	0
10	0	0	1	1	0	1	0	1	5	1	0	0	0	0	1	1	0	2.0	0	5	 FuelCell Energy systems powered the Olympic Games in Vancouver.	0
3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1	Fish swim. 	0
2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	Sing.	0
8	0	0	3	0	0	4	0	0	0	1	0	0	0	1	0	0	0	3.0	1	1	" ""Fuel Cell Energy equipment licensed."" "	0
8	0	0	0	1	0	0	2	0	0	1	0	1	2	1	1	0	0	3.0	1	3	You are free to explore on your own	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	?  There are a lot of errors in this prompt and I will not attempt to give you an accurate response because it appears to be a language test. If this is a test then you have not indicated what topic it is testing nor what the desired outcome is or if it tests any specific skills. If you wish my assistance please clarify the prompt so that I have enough detailed information to respond helpfully. To clarify this prompt is very unclear, and there appears to be multiple tasks being requested of a response with little context	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cheetah ran quickly through the grass.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
7	0	0	0	0	0	2	1	1	0	1	0	1	1	0	1	1	0	2.0	0	4	You will have a good day today	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	0	2.0	0	2	You've got a deal!	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	License	0
5	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue today	0
5	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	2.0	0	2	Please provide more information.	0
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Hi. 	0
1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	?	0
10	1	0	3	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	(Insert a sentence with 0 determiners here.)                                                                                                 	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
8	1	0	0	0	0	0	2	0	0	3	0	1	0	2	1	1	0	3.0	2	4	Please let me know how I can assist	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The water turned into ice.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
6	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Please add your answer here.	0
7	0	0	1	0	0	4	0	0	0	1	0	1	0	0	1	0	0	3.0	0	3	  Fuels cell energies equipment are licensed.	0
11	0	0	1	0	0	2	2	2	0	1	0	2	1	1	2	1	0	3.0	1	4	This is the first time I have heard this statement.	1
9	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	 The baby's cry ricochets off the walls.	1
7	0	0	1	0	1	3	1	0	0	0	0	1	0	0	1	0	0	3.0	0	5	They are father and son businessmen.	1
