n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
6	1	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2.0	1	2	OK, here you go: 	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The elephant danced happily. 	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat slept.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred. 	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the windowsill.	0
4	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1.0	0	2	Blackberries are blue. 	0
10	1	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	5	The yellow car drove quickly along the empty road.	0
4	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Birds chirp loudly.	0
4	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Cats purred silently. 	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the windowsill.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The man sang loudly. 	0
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	   The boy threw the ball.	0
26	0	0	2	6	0	7	0	6	1	3	0	0	1	1	1	0	1	5.0	2	11	Sitting in the park on a warm spring day, Sarah gazed at the ducks waddling in the pond without a care in the world. 	0
15	0	0	1	3	0	4	0	3	0	1	0	0	3	0	1	0	0	2.0	0	9	The big blue car drives down the street at noon with a loud honk.	0
9	1	0	2	0	0	1	1	1	0	1	0	1	0	1	1	0	0	3.0	1	3	OK, below is the sentence you requested. Here you go!  I went to the park.	0
7	0	0	1	0	0	2	0	2	1	1	0	0	0	0	1	1	0	2.0	0	2	The cat Purry drank the milk. 	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat meowed softly.	0
6	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	A golden giraffe laughed joyfully.	0
