n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
4	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1.0	0	1	It needs clarification. Please provide context for the topic. 	0
10	0	0	1	0	0	4	1	1	0	1	0	0	2	0	1	1	0	3.0	0	5	Cool thing today: our cat ate a real spider	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Squirts.	0
3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1.0	0	1	Squawk squawk.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
7	0	0	1	1	0	1	2	1	0	0	1	0	0	0	0	0	0	2.0	0	5	Which one of these, my friends	0
6	0	0	1	1	0	0	2	0	0	1	0	0	1	0	1	0	0	2.0	0	3	  It seemed obvious to me.	0
4	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1.0	0	3	It has been said	0
8	0	0	3	0	0	1	0	1	0	2	0	1	0	0	1	0	1	2.0	1	4	  The sentence generated is “Snuggled.”  The sentence has no nouns. 	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
4	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.0	0	1	Smoothly gliding through.	0
8	0	0	1	1	0	2	0	1	0	0	0	2	1	0	1	0	0	3.0	0	6	 Tension between the pair has been palpable.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
8	1	0	1	1	0	0	2	1	0	1	0	0	1	0	1	0	0	2.0	0	4	It all seemed very clear to me.	0
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	Sorry	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It was agreed.	0
6	0	0	1	0	0	2	0	0	0	2	0	0	0	1	1	1	0	2.0	1	2	Pouting helps to soothe fussiness.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
26	0	1	3	3	1	4	4	2	0	2	1	2	2	2	3	1	0	4.0	2	11	I apologize, but as per your request, I am unable to generate a sentence with 0 nouns as it is a grammatical impossibility.	0
7	0	0	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	2.0	0	2	The clouds are gray and oppressive. 	0
6	1	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	2.0	0	2	Sometimes it seems like everything.	0
4	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	3	I'll never tell	0
22	2	1	3	0	2	1	3	2	0	7	0	0	0	4	3	1	0	6.0	4	7	You try to hold still, but I keep tugging until you succumb and come along, protesting all the while.	0
7	2	0	1	0	0	1	0	0	0	0	0	2	1	0	1	0	0	2.0	0	5	Brokerages here have been pretty fruitful.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	1	0	2.0	0	2	Sizzles emanate dewy scent.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	4	Well, not right now. The current time is . You can check for future events by looking at the calendar or schedules	0
7	0	0	1	0	0	1	1	0	0	2	0	2	0	0	2	0	0	2.0	0	4	Fluenting does soothe, I must say	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
11	1	0	2	0	0	3	1	1	0	1	1	0	1	0	1	0	0	3.0	0	7	No problem; zero nouns sentence: I feel so empty	0
2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	Ponderous.	0
5	1	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	1	2.0	1	4	Focusing here has been gratifying	0
37	4	0	6	3	0	11	3	4	0	3	0	0	2	1	1	0	0	5.0	1	31	Purr-ooming with delighted satisfaction, a smile stretching from my whisker-tipped nose to my twitching tail; how delectably vivacious this cream puff flavor, yes, it simply tickles all the way down!	0
8	0	0	1	0	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sky burned, a distant rumbling sound	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
12	0	1	1	0	0	1	3	1	0	2	0	3	0	1	2	2	0	3.0	1	4	It would have helped if you had told me the time.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
4	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1.0	0	2	It is raining.	0
14	0	0	2	1	0	3	2	2	0	2	0	1	0	0	2	1	0	3.0	0	5	 This sentence does not meet its purpose; it exists for no reason.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Gulps.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0	0	 Blink	0
4	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1.0	1	1	It needs saying.	0
11	1	1	1	1	0	0	3	0	0	3	0	0	0	2	1	0	0	4.0	2	4	It seems like you really want to talk about this. 	0
7	2	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	1	2.0	1	5	Regurgitating here has been pretty unrewarding.	0
9	1	0	1	0	0	2	2	1	0	1	0	0	0	0	1	1	0	4.0	0	5	The dog wagged his/her tail furiously.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The buck stops here.	0
12	1	0	0	0	0	1	2	1	0	2	0	2	1	2	1	1	0	4.0	2	3	I don't think it's appropriate to discuss this matter further	0
5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	3	Well, not exactly.	0
