n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADJ_constraint
9	1	0	1	0	0	2	1	2	0	1	0	1	0	1	1	1	0	4.0	1	3	Below is an instruction that describes a task. Write a response that appropriately completes the request, generating only one sentence	0
4	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1.0	0	2	Bernadette will make dinner	0
9	0	0	1	1	0	3	0	1	0	1	0	2	0	0	1	0	0	2.0	0	3	No exceptions shall be accepted beyond contract boundaries.	0
12	0	0	1	1	2	2	1	1	0	2	0	0	1	1	0	0	0	5.0	1	3	Sorry but there was no instruction or prompt to respond to. Please provide one so I can fulfill your request.	0
19	0	0	1	2	1	5	1	4	0	2	0	1	1	1	0	0	0	6.0	1	4	There is no specific instruction about the word count or the genre of the sentence to be written. Below is an example of a sentence with a word count of six and belonging to the narrative genre	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
6	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	2.0	0	2	No further action is required.	0
9	1	0	1	0	0	2	0	2	0	1	0	1	0	0	1	1	0	2.0	0	4	The contractor has not yet completed the work.	0
6	1	0	1	0	0	0	0	0	1	2	0	0	1	1	1	0	0	2.0	1	3	Sherlock never blinked, remaining expressionless	0
11	0	0	3	1	0	2	0	2	0	1	0	2	0	0	1	0	0	2.0	0	3	" ""No exceptions will be granted to the rule."""	0
34	0	0	3	4	1	5	0	6	8	2	1	1	2	1	1	0	0	6.0	1	11	Barker is a solicitor not registered with the commission under the Legal Profession Uniform Law Application Act 2014 (Vic) or an legal practitioner with an exhibited practising certificate under that Act.	0
9	0	0	0	1	0	3	1	2	0	1	0	0	1	0	0	0	0	4.0	0	4	There are no extensions available for the contact period	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The dog was brown.	0
10	0	0	1	1	0	2	0	2	0	1	0	2	1	0	1	0	0	2.0	0	3	No new information shall be revealed during the negotiation.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred happily on my lap.	0
6	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	2.0	0	3	(Sentence with 0 adjectives)	0
13	2	1	0	2	0	3	0	1	0	3	1	0	0	2	0	0	0	5.0	2	4	This completed task appropriately as requested with only one sentence written in response	0
4	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	Sue signed the letter	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog went for a run.	0
10	0	0	1	1	0	3	0	2	0	1	0	2	0	0	1	0	0	2.0	0	4	No extensions shall be granted for the contracting period.	0
7	0	0	0	1	0	2	0	1	0	1	1	1	0	0	1	0	0	3.0	0	5	Eighteen species of the bird were counted	0
4	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	2.0	0	2	Fisher has two toes	0
