n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	 the sentence has no adverbs. Here's your next task	0
11	0	0	3	2	0	0	0	0	3	1	1	1	0	0	1	0	0	2.0	0	7	Einstein was born in Ulm, Germany, in 1879.	0
12	0	1	0	0	0	3	0	1	0	2	0	2	3	1	2	1	0	3.0	1	6	Several studies have demonstrated that a healthy diet can prevent chronic diseases	0
12	0	0	2	0	0	4	0	3	0	1	0	1	1	0	2	1	0	2.0	0	6	A   The correct answer is: A purring cat indicates contentment.	0
4	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1.0	0	3	Mass was always present	0
5	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog tail indicates mood	0
8	0	0	1	1	0	3	0	0	1	1	0	1	0	0	1	1	0	2.0	0	4	Rumplestiltskin will spin straw into gold tonight.	0
6	0	0	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The snowflakes danced in the wind	0
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	0	1	0	2.0	0	5	  Generate a sentence with 0 adverbs. Write only the sentence, without adding further text and without explanations	0
4	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	1.0	0	2	Floods will damage buildings	0
19	0	0	1	1	0	6	0	2	0	4	0	0	2	1	1	3	1	4.0	2	8	Focused efforts to increase production led the plant to surpass last year's output in a single month. 	0
8	0	0	0	1	0	2	1	1	0	1	2	0	0	0	1	1	0	3.0	0	3	The company purchased 1,5 million of its shares	0
12	0	0	1	2	0	4	1	2	0	0	0	1	1	0	1	0	0	3.0	0	4	The iguana is a large lizard with spikes on its body.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly.	0
7	0	0	1	0	0	2	0	2	0	1	0	1	0	0	1	1	0	2.0	0	2	A giraffe can kill a lion.	0
11	0	0	2	1	0	3	0	2	0	1	1	1	0	0	1	0	0	3.0	0	4	The 20-carat diamond was bought at half price. 	0
10	1	0	1	2	0	3	0	1	0	1	0	0	1	0	1	0	0	3.0	0	4	The penguin huddled closely with other penguins for warmth.	0
27	2	1	0	3	0	7	0	4	0	3	0	0	6	2	1	2	0	8.0	2	5	A large lizard crossed the road quickly without looking around for possible threats to leave the dry rocky soil for the humid forest full of water bodies	0
10	0	0	3	1	1	0	0	0	3	1	1	0	0	0	1	1	0	3.0	0	7	"  Escher painted ""Day and Night"" in 1938."	0
9	1	0	0	2	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	4	The sun sets quickly at the end of summer	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The snow is white. 	0
16	0	0	1	2	0	5	0	1	1	2	0	0	3	0	1	2	1	4.0	1	8	In an effort to reach more remote areas, Amazon launched satellite offices in additional cities	0
9	1	1	0	0	0	1	1	1	0	2	0	0	2	1	2	0	0	2.0	1	3	The icy cold air creaked as I stepped outside	0
6	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	2.0	0	4	 Einstein wrote about a new concept	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The rain fell gently on the flowers.	0
10	1	0	2	1	0	3	0	1	0	2	0	0	0	1	1	1	0	3.0	1	4	Snowflakes fell softly, blanketing the ground with silence.	0
26	1	0	2	2	1	6	2	5	0	5	0	1	0	4	1	3	0	7.0	4	6	The tension of the string is what propels the arrow forward, providing the force needed to pierce through the air and strike its target.	0
15	0	0	0	2	2	4	0	0	0	1	4	1	1	0	2	0	0	4.0	0	9	Six hundred and twenty pounds of methamphetamine and heroin is transported in three large trucks	0
14	1	0	5	2	0	2	0	0	0	2	0	0	1	0	1	0	1	4.0	1	6	"Rocking slowly from side to side indicates: ""Yes.""  Correct! One sentence with zero adverbs, written only as a complete sentence with no additional text or context:  The slow, rocking motion signifies the machine is processing data."	0
7	1	0	0	0	0	2	0	0	0	1	1	0	2	0	1	1	0	2.0	0	3	Six sick sons signed small socks silently	0
5	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	  The dog wagged its tail	0
19	0	1	2	2	0	6	0	2	0	3	0	0	2	2	1	2	0	3.0	2	5	With great rapidity, the skunk rushes towards potential prey while emitting a foul odor to deter predators.	0
15	0	0	1	2	0	2	0	3	4	1	0	0	2	0	1	1	0	3.0	0	4	The icy waters of Lake Michigan reflect the blue steel of the Willis Tower.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
9	1	0	0	1	0	2	1	1	1	1	0	0	1	0	1	1	0	4.0	0	5	Einstein explained his vision of a more humane world	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The cat lapped up the sauce.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	2	The firmamental sky shone without stars.	0
17	0	1	1	0	0	4	0	4	0	3	0	1	2	2	1	3	0	5.0	2	4	The company will hire an expert to evaluate the financial risk of opening a new branch.	0
9	0	0	1	0	0	4	0	2	0	1	0	1	0	0	1	1	0	2.0	0	4	The gorilla will escape the zoo tomorrow morning.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	  Congratulations! Now, can you generate the sentence again but with more specific adverbial intensifiers	0
9	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	3	The gorilla's roar echoes through the forest. 	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
7	0	0	0	0	0	3	0	2	0	2	0	0	0	0	1	1	0	2.0	0	3	The zen garden has a raked surface	0
10	0	0	1	1	0	3	1	2	0	1	0	0	1	0	1	1	0	2.0	0	6	The tiger devoured its prey with a voracious appetite.	0
33	2	1	3	3	2	6	1	4	2	4	2	1	2	2	2	1	0	5.0	2	13	Four score and seven years ago, our forebears brought forth in this Nation a new Nation conceived in liberty, and dedicated to the proposition that all men are created equal.	0
12	0	0	2	0	0	5	0	2	0	2	0	0	0	0	1	1	0	3.0	0	5	The pine tree's height exceeds the snow-covered mountains.	0
9	1	0	2	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	After the beating, the butterfly transformed magnificently. 	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	 The cat purrs.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
25	3	1	1	3	0	5	4	2	0	3	1	0	2	2	1	2	0	5.0	2	7	There solely exists one secret fan of this band who quietly enjoys each of their albums without disclosing their true passion to others, sadly	1
11	1	0	1	2	0	1	2	1	0	1	0	1	0	0	1	0	0	2.0	0	5	Gleefully, I have not spoken of the matter to anyone	1
22	1	1	2	2	0	5	1	5	0	1	0	3	1	1	2	0	0	4.0	1	10	Bizarrely, nobody had expected that this unexpected success would be such a turning point in the lives of the group.	1
5	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	3	Okay, I see. This band has not been heard of since it stopped playing that happy song	1
36	5	1	3	4	3	7	1	2	0	6	0	0	4	3	3	2	0	7.0	3	8	Happy but muted cheers of delight rose up and fell away, leaving only quiet relief behind as the band packed up their final instruments and walked sadly off stage, the spotlight slowly dimming.	1
14	0	0	1	1	0	1	4	1	0	2	0	1	2	2	2	1	0	4.0	2	5	I'm ready to assist you with the first thing that you need! Kindly specify what you are looking for, whether a question, a statement, or anything else you would like to communicate. 	1
19	2	0	3	2	0	4	2	2	0	1	1	1	0	0	1	1	0	3.0	0	11	Okay, here is the sentence with 1 adverb:  Tremulously, she whispered her secret to the tree	1
9	1	0	1	1	0	3	1	1	0	1	0	0	0	0	1	0	0	3.0	0	3	The candy store owner smiled gleefully before her. 	1
8	1	0	2	0	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	6	  Famously, the concert was a sellout.	1
29	4	0	2	4	0	8	2	4	0	1	0	0	4	0	1	0	0	3.0	0	12	Happily, this content creator with the tiny online following suddenly became the biggest star in her genre almost overnight with no apparent changes in her posting schedule.	1
15	2	0	2	1	0	3	0	3	0	1	1	0	2	0	1	1	0	2.0	0	8	Gladly, the band never released a single album after that one famous track.	1
23	2	0	2	1	0	5	2	2	0	4	0	1	2	2	1	3	0	6.0	2	7	Rarely, these unsolicited creators would receive handwritten letters inviting them to a mysterious location to discuss their life's work further.	1
50	5	2	6	5	0	7	7	4	0	5	1	3	4	3	3	3	0	5.0	3	27	Okay, here is the sentence with 1 adverb:   Happily wailing to herself under her breath so that no one could quite understand her angsty lyrics, she wrote the most melancholy melody she could muster, then released it as a new single, amid great furor.	1
12	1	0	2	1	0	4	1	1	0	1	0	0	1	0	1	1	0	2.0	0	6	Gleefully, the band performed their hit songs with extraordinary energy.	1
2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Happily. 	1
13	0	0	3	1	0	2	1	1	0	2	0	0	3	0	1	0	0	2.0	0	7	Beneath their wistful, wispy clouds, the lively, laughing people play	1
9	1	0	1	0	0	2	0	1	0	0	0	2	1	0	1	0	0	2.0	0	4	The happy band has not been scene since.	1
17	0	0	1	1	2	4	0	2	0	2	0	0	3	1	0	2	0	5.0	1	9	Please provide the actual task with requirements and specifications to receive a proper and relevant response.	1
13	7	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	2.0	0	6	Eminently happily ever after never quite fit in well with the general atmosphere	1
2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Soon.	1
22	0	0	3	2	0	7	0	4	0	2	0	1	2	1	1	2	0	4.0	1	7	Without further deliberation, the judges' panel has reached a unanimous verdict, declaring the challenger the winner with distinction.	1
