n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
12	1	0	2	1	0	2	0	2	1	2	0	0	1	0	1	1	1	3.0	1	5	   Carefully placing each step, Lilly tiptoed into the empty house.	0
37	2	1	2	7	1	8	0	7	0	5	0	0	4	3	1	0	0	7.0	3	15	A blue jay flew swiftly from the oak tree over the green meadow to the nearby pond, dipping and soaring with a graceful ark before alighting gently on a rocks jutting out of the water.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
11	1	0	2	1	0	2	0	1	0	1	1	1	0	0	0	0	0	3.0	0	4	Okay, here is a sentence with 0 subordinating conjunctions. I went to the park. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	0	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Snowflakes whispered through the silent night. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
31	2	0	3	4	0	6	0	4	4	1	1	0	5	0	1	0	0	4.0	0	16	A beautiful red-tailed hawk, spread eagle, flew effortlessly at a thousand feet high in a clear blue November sky over the golden fields of California's Sacramento Valley. 	0
7	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	1	0	2.0	0	4	Susan ate a sandwich for lunch. 	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	  Amy walked into the room.	0
16	0	1	1	2	0	4	2	3	0	2	0	1	0	1	2	2	0	3.0	1	7	The company will reward you with a bonus if you finish the project on time.	0
13	1	0	0	1	0	3	2	1	0	2	0	1	1	1	2	1	0	3.0	1	11	I took the last slice of pizza when my sibling wasn't looking	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on the windowsill. 	0
11	0	0	3	1	0	3	1	1	0	1	1	0	0	0	1	1	0	2.0	0	6	" ""I ate breakfast at 7am every day."""	0
16	0	0	1	2	1	2	3	2	0	3	0	2	0	1	2	2	0	4.0	1	4	The manager smiled at me and gave me the raise I had been hoping for.	0
4	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.0	0	1	Sally walked home.	0
8	1	0	1	0	1	1	1	0	1	2	0	0	0	0	1	1	0	3.0	0	3	Alice sat quietly and sipped her tea. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose slowly in the sky.	0
10	0	1	1	0	0	2	2	1	0	2	0	0	1	1	2	1	0	2.0	1	5	The cat chased its tail until it became dizzy.	0
11	0	0	1	2	0	3	0	2	1	1	0	0	1	0	1	1	0	2.0	0	8	Susan bought a new dress on sale at the store.	0
7	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	4	Joe ran to the store quickly. 	0
5	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	Roger bought a present. 	0
16	1	0	1	3	1	5	0	1	1	2	1	0	0	0	1	0	0	4.0	0	6	Alice walked five miles to school and arrived just in time for the starting bell. 	0
8	1	0	0	1	0	1	0	1	2	1	0	0	1	0	2	0	0	3.0	0	3	Wily the fox raced faster than sluggish Sammy	0
11	0	0	1	3	0	3	0	2	1	1	0	0	0	0	1	0	0	3.0	0	6	Jimmy laughed at the punchline with a squeal of delight.	0
