n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
4	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	2.0	0	2	NASA retweeted with support	0
10	0	0	0	2	0	1	0	1	2	1	1	1	1	0	1	1	0	2.0	0	7	NASA is planning a manned mission to Mars in 2020	0
4	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	2.0	0	2	NASA retweeted the photo 	0
11	0	0	0	2	0	2	1	0	5	1	0	0	0	0	1	1	0	4.0	0	9	NASA shared updates on Mars Exploration Mission via its Instagram account	0
5	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	2.0	0	1	NASA tweeted #SupportForAhmed.	0
6	0	0	1	1	0	1	0	0	2	1	0	0	0	0	1	0	0	2.0	0	2	Mohamed Ahmed went to space. 	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
9	1	0	1	0	0	1	1	0	0	1	0	2	1	1	2	0	0	2.0	1	5	Success is sweeter when you don't stop. 	0
7	0	0	0	1	0	2	0	0	3	1	0	0	0	0	1	1	0	2.0	0	4	Ahmed Mohamed received support via NASAs account	0
12	1	0	1	2	0	2	0	2	2	2	0	0	0	0	1	1	0	4.0	0	5	NASA shared an image of the newly discovered comet on Instagram.	0
5	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	1	0	2.0	0	4	Grab life by the horns	0
9	0	0	0	3	0	1	0	0	4	1	0	0	0	0	1	1	0	3.0	0	7	NASA tweeted support of Tim Howard via @Space_Station	0
7	0	0	0	1	0	1	1	0	3	1	0	0	0	0	1	1	0	2.0	0	5	NASA supported Malala Yousafzai via their @international_space_station	0
7	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	2.0	0	3	I am going to the moon!	0
7	0	0	0	0	1	2	0	0	1	2	0	0	1	0	1	2	0	2.0	0	4	NASA supports Muslim students and condemns discrimination	0
12	0	0	1	2	0	2	1	0	4	1	0	1	0	0	1	0	0	2.0	0	7	Ahmed  Mohamed was tweeted by NASA support via its ISS account.	0
12	0	0	0	2	0	3	1	0	2	1	0	0	1	0	1	0	0	4.0	0	4	NASA tweeted about its newest mission to space #space #NASA	0
10	0	0	0	1	0	2	0	2	2	1	0	1	1	0	1	0	0	2.0	0	5	The space ship is leaving for the International Space Station	0
5	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	1	0	3.0	0	3	NASA retweeted Ahmed's clock 	0
11	0	0	1	2	0	2	2	0	3	1	0	0	0	0	1	1	0	3.0	0	8	 NASA shared its support for Ahmed via its ISS account.	0
11	0	0	1	1	0	1	1	0	5	1	0	0	1	0	1	1	0	3.0	0	5	NASA supports Ahmed Mohamed via its account International Space Station.	0
5	1	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	3.0	1	3	 suspension  Here's the instruction	0
19	1	0	1	1	1	3	3	1	1	4	0	0	2	2	0	3	0	3.0	2	13	Never tell NASA about my secret ambition to become a worldwide pop phenomenon and have them retweet me.	0
