n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PROPN_constraint
3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1.0	0	1	No problem! I've generated a sentence:  Trees tower above the forest.	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat purred contentedly. 	0
7	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2.0	0	4	Felix felix culina in domum suis sed	0
11	2	0	1	2	0	2	2	0	0	2	0	0	0	1	2	0	0	4.0	1	3	She walked home through streets that glowed with starlight alone. 	0
15	2	0	1	2	0	4	2	1	0	2	0	0	1	0	1	1	1	3.0	1	10	Ruthlessly stalking his ex across the crowded restaurant, his heart thumped furiously with anticipation	0
3	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.0	0	1	Rabbit hopped quickly	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat slept in the sun.	0
8	0	0	1	1	0	2	0	2	0	2	0	0	0	1	1	0	0	3.0	1	3	 The cat lay sleeping beside the sunbeam. 	0
13	1	0	1	2	0	3	0	3	0	1	0	0	2	0	1	0	0	3.0	0	5	The cat slept soundly in the soft grass of the sun-warmed backyard. 	0
22	1	1	0	4	0	5	2	2	0	3	0	0	3	2	1	1	0	5.0	2	9	She went into the warm bathroom to relax her tired muscles after getting out of bed early for a vigorous morning exercise	0
11	0	0	2	1	0	3	2	1	0	2	0	0	0	0	1	1	1	3.0	1	6	Riding my bicycle, the wind blows through my hair.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	0	1	0	1	0	0	3	0	1	0	1	1	0	0	3.0	1	3	Dreamed I could fly and never fall.	0
24	0	0	2	4	0	6	2	4	1	3	0	0	2	2	3	1	0	5.0	2	10	Lea ran down the long road with the wind through the trees whipping her hair, her feet pounding against the soft surface. 	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I went to the store.	0
36	3	1	2	4	1	8	2	2	0	4	0	3	4	4	2	1	0	5.0	4	26	Lunch can taste better when eaten outdoors during a warm summer day with plenty of sunlight and fresh air surrounding you, even if your backyard does not seem to be ideal for the job.	0
6	0	0	0	0	0	1	0	0	1	1	0	0	3	0	1	1	0	2.0	0	4	Sally sneezed several succulent sweet peas	0
17	1	0	2	2	0	5	0	4	0	2	0	0	1	1	1	1	0	3.0	1	7	The sun rose slowly in the sky, casting a warm glow over the sleeping town.	0
7	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	She walked briskly across the field.	0
16	1	0	2	1	0	4	1	3	0	2	0	0	2	1	2	1	0	3.0	1	8	The big yellow sun hung high in the sky, its warmth embracing the land.	0
19	0	0	1	4	0	4	0	4	0	2	0	0	4	1	0	0	0	4.0	1	11	Skipping down the street to the park with a bright yellow sun shining in the clear blue sky.	0
10	0	0	1	1	1	3	0	1	0	1	0	0	2	0	2	0	0	3.0	0	4	Skies clear and birds chirped on that sunshiny morning.	0
16	1	1	1	1	1	3	1	2	0	3	0	0	2	1	1	1	0	4.0	1	8	The cat chased its tail for a short time before becoming bored and wandering away.	0
11	0	0	1	1	0	2	0	2	1	2	0	0	2	0	1	1	1	3.0	1	7	Leaping over the tall tree, Jack found a hidden clearing	0
10	0	1	1	0	0	2	2	1	0	2	0	0	1	1	2	1	0	2.0	1	5	The cat chased its tail until it got dizzy.	0
18	1	0	4	1	1	3	1	2	0	2	0	1	1	0	1	2	0	4.0	0	10	"Please fill in the form below:  * *Do you have any comments or additional requests? (Please note that adding more details will be helpful for me to understand your request and provide appropriate assistance. If you do not have any additional requests or commentary and just want me to complete the immediate instruction as written, use the following sentence:  ""No Comments"".)* "	0
6	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The cat chased its tail.	0
20	0	0	1	5	1	4	1	2	1	2	0	0	2	1	1	0	0	3.0	1	12	  Misty crept out of her hiding place and into a shaded area to cool down in the warm sunshine.	0
24	3	1	1	2	2	5	1	0	0	3	1	3	2	2	2	2	0	6.0	2	13	Scientists have recently found that eating at least 5 servings of fruits and vegetables daily could improve your overall health and well-being	0
8	1	0	3	1	0	0	1	0	0	1	1	0	0	0	1	0	0	2.0	0	3	"  ""She went home at 5""."	0
8	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	The cat chased its tail with delight.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
14	1	0	2	1	0	1	1	0	2	4	0	1	0	3	2	0	0	4.0	3	5	Sarah smiled brightly at John, hoping their friendship would continue to flourish.	0
23	1	1	1	2	1	2	4	1	1	5	0	0	3	3	3	2	0	6.0	3	9	Sophie wore her favorite sweater, but she had to take it off after a few minutes because she started feeling too warm	0
6	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1.0	0	4	   * big * green * brown  Please modify your algorithm to prevent sentences that contain proper nouns from being generated, and resubmit the revised sentence	0
20	1	0	5	1	1	6	1	2	0	3	0	0	0	1	1	2	1	5.0	2	7	Carefully crafting each word, I penned a novel filled with action, drama, heartache, and triumph.	0
10	1	0	1	1	0	2	0	1	0	0	1	1	1	0	0	0	0	3.0	0	4	OK, below is the sentence with zero proper nouns	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat quickly pounced on its toy. 	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	2.0	0	3	Lily ran to the store. 	0
22	0	0	3	2	1	6	0	4	1	2	0	0	3	0	1	1	0	4.0	0	6	Freddy, a young boy, played baseball with a wooden bat and a worn red ball under the setting sun. 	0
13	1	0	2	2	0	3	0	3	0	2	0	0	0	0	1	0	0	2.0	0	4	Amidst the swirling colors, the sun rose slowly in the east.	0
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	1	0	3.0	0	8	The sky appeared an appealing shade of blue during the afternoon. 	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat curled up on my lap.	0
10	1	0	1	1	1	2	0	2	0	2	0	0	0	0	1	0	0	2.0	0	5	The cat sat on the carpet and purred contentedly.	0
13	1	0	2	2	0	3	0	3	0	2	0	0	0	0	1	0	1	3.0	1	8	Walking down the park, the wind gently blew past the trees. 	0
14	1	0	0	1	0	3	0	3	0	2	0	0	3	1	1	1	0	3.0	1	7	Slowly the warm water began to fill the large bucket in the sun-drenched courtyard	0
9	0	0	1	2	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The cat curled up on the soft cushion.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
27	0	0	3	3	1	10	0	3	1	2	0	0	3	1	1	1	0	6.0	1	8	In preparation for the summer camping trip, Jack made sure to purchase a lightweight tent, warm sleeping bag, and a supply of mosquito repellent	0
26	0	0	2	3	1	7	0	0	5	3	2	0	1	1	1	1	0	4.0	1	15	California-based Microsoft invests $20 million in Tokyo's Meiji University research center for artificial intelligence, focusing on machine learning and computer vision	3
28	1	0	6	2	2	6	2	2	3	2	0	1	1	1	2	1	0	7.0	1	11	"I understand, and here is the response: ""Yesterday afternoon, Michael met his close friends Samantha and James at the park for sunbathing."" "	3
24	0	0	2	2	1	2	0	2	10	1	0	0	4	0	1	1	0	4.0	0	19	   The Golden Apple Awards recognize remarkable educators, such as Dr. Maria Lopez and Professor David Lee, in New York City every year	3
9	0	0	3	0	1	0	0	0	4	0	0	0	1	0	0	0	0	2.0	0	5	   New York, Chicago, and Los Angeles.	3
24	0	0	3	2	0	1	0	2	10	2	0	1	2	0	1	1	1	5.0	1	10	The Chicago Symphony Orchestra, featuring renowned soloist Yefim Bronfman, will perform Beethoven's Fifth Symphony at the Ravinia Festival in August.	3
21	0	0	1	3	1	2	0	2	9	1	2	0	0	0	1	1	0	3.0	0	18	Roger took a selfie with Queen Elizabeth II and Tom Hanks at Buckingham Palace during the 2022 Coronation Day celebrations. 	3
17	0	0	2	2	0	0	0	2	10	1	0	0	0	0	1	1	0	3.0	0	7	The Miami Dolphins played the Seattle Seahawks at Sun Life Stadium in Miami Gardens, Florida. 	3
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	2	Here you go!   Jupiter Space Station Orbit Research Facility	3
30	0	0	6	2	0	5	1	3	6	4	0	0	2	2	1	2	0	7.0	2	9	The Tokyo-based company, Sony, launched its newest device, the Xperia Z4, featuring a revolutionary camera system designed in collaboration with Germany's Leica.	3
25	0	0	3	4	0	7	0	2	4	1	0	1	2	0	1	1	0	4.0	0	11	The company's new marketing strategy, under the leadership of CEO JENNIFER SMITH, will increase profits through strategic partnerships with GLOBOPEDIA INC. and MEDICUSPHarma.	3
45	0	1	5	6	1	9	1	6	7	3	3	0	3	2	2	2	0	7.0	2	16	The Tokyo Metropolitan Government ordered the establishment of a third runway system at Haneda Airport, which led to the development of the Yūjin-1 drone for traffic monitoring, and the Hexa-1 satellite for monitoring environmental impacts in July 2022. 	3
27	1	0	3	1	1	6	0	1	8	2	0	1	2	1	1	1	0	4.0	1	13	Oil industry titan Shell, global technology company Accenture, and Singapore Government agency GovTech have come together to form the consortium Digital Energy at Emerson. 	3
21	0	0	1	3	2	2	0	2	7	1	2	0	1	0	1	1	0	4.0	0	10	The United States Patent and Trademark Office granted patents for the iPhone technology to Apple Inc. in 2007 and 2012.	3
24	0	0	0	4	1	5	0	4	6	1	0	0	3	0	1	1	0	5.0	0	15	 The International Space Station received an urgent shipment of critical spare parts from Moscow and Beijing before the Mars landing of the Columbus spacecraft	3
13	0	0	1	2	0	0	0	0	8	1	0	0	1	0	1	0	0	2.0	0	8	  President Joe Biden met with Prime Minister Justin Trudeau at Buckingham Palace.	3
17	0	0	3	1	0	0	0	2	7	1	0	0	2	0	1	1	0	3.0	0	9	" ""The Boston Red Sox played the New York Yankees at Chicago's Wrigley Field."""	3
22	0	0	1	3	2	5	0	1	5	0	0	1	4	0	1	0	0	4.0	0	7	The Smithsonian National Zoo and Aquarium in Washington D.C. is home to many amazing animals such as giant pandas and orangutans. 	3
23	0	0	3	4	1	3	1	2	4	3	0	1	0	1	1	1	0	6.0	1	6	"""We will continue exploring Paris along the Siene and stopping for croissants at Pierre's bakery in the Marais district.""  Is this what you had in mind?  Please let me know if you'd like any changes or alternatives. Thank you!"	3
8	1	0	0	0	1	1	0	0	4	1	0	0	0	0	2	1	0	3.0	0	5	  Reykjavik residents Jón and Þórðis recently visited Edinburgh	3
39	0	0	6	6	1	4	0	4	8	3	1	2	3	0	2	1	1	4.0	1	17	"The sentence featuring 3 proper nouns is: ""Lord of the Flies is set on Governor's Island, New York, in front of the Statue of Liberty and surrounded by the United Nations Headquarters."""	3
33	0	0	5	4	0	5	3	3	7	4	0	0	1	3	1	3	0	5.0	3	11	The New York Times published an expose' on President Andrew Jackson, accusing him of corruption, in their June 15th edition, causing the public to call for his impeachment. 	3
39	0	1	2	3	1	4	0	5	14	4	0	1	2	3	2	2	0	9.0	3	7	The New York Times reports that Mayor Bill de Blasio has announced a new policy to improve the city's infrastructure, working in collaboration with the New York City Department of Transportation and the Federal Highway Administration.	3
11	0	0	1	1	0	0	0	2	6	1	0	0	0	0	1	1	0	2.0	0	6	The Miami Heat played the Brooklyn Nets at Barclays Center. 	3
33	1	1	2	4	1	7	2	4	5	5	0	0	1	3	1	3	0	6.0	3	11	Morgan climbed the stairs to her dormitory in the Ravenclaw tower, passing by the Fat Lady portrait and noticing Professor Sprout tending to the herbology garden below before reaching her room.	3
