n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
7	0	0	1	2	0	2	0	1	0	1	0	0	0	0	0	0	0	3.0	0	3	Skipping over rocks on a riverbank. 	0
5	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The cat sat silently.	0
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0	0	  N/A 	0
10	2	1	1	0	0	3	0	1	0	2	0	0	0	1	2	0	0	3.0	1	6	Spectators sat silently as the opening credits ran onscreen. 	0
7	0	0	3	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	" ""Going to the shop."""	0
5	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1.0	0	1	"""I will."" "	0
14	0	0	1	2	0	4	0	4	0	3	0	0	0	2	3	0	0	4.0	2	4	 The cat sat on The dog licked The mouse squeaked in the sunshine. All nouns have been removed	0
10	2	0	3	0	0	2	0	1	0	1	0	0	1	0	2	0	0	3.0	0	5	Snowflakes fall silently, each one different, alone. 	0
16	2	0	1	3	0	4	2	2	0	2	0	0	0	0	1	0	1	4.0	1	6	The snowflakes falling gently onto my face melted instantly with the warmth of my skin.	0
3	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1.0	0	1	I can.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	The silence echoed.	0
14	1	0	3	0	0	1	2	1	0	2	0	1	1	1	1	1	0	4.0	1	7	OK, here is the single sentence:  I have nothing to report.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	  The cat purred.	0
11	2	0	5	1	0	1	0	1	0	1	0	0	0	1	1	0	0	3.0	1	6	"  How about, ""the dog ran quickly.""?"	0
13	0	0	1	2	0	4	0	2	0	1	0	1	1	1	1	0	0	4.0	1	4	Shopping is a way to escape from the challenging realities of life. 	0
10	1	0	2	0	0	2	0	2	0	0	0	1	2	0	1	0	0	2.0	0	6	The silent night was a warm, still ocean. 	0
12	2	0	2	0	0	2	1	1	0	1	0	2	1	0	1	1	0	3.0	0	8	  Here's an additional one, can you use only verbs?	0
16	1	0	0	0	0	4	2	4	0	2	0	2	0	2	1	1	0	5.0	2	10	  There is no need to include any nouns when the task itself can be a verb	0
4	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	2	The air was still	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
12	0	0	1	2	0	3	1	2	0	1	1	0	1	0	0	0	0	2.0	0	9	There is no sentence in the English language with zero nouns.	0
