n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
8	0	0	1	2	0	2	0	1	1	1	0	0	0	0	1	0	0	2.0	0	5	Lola ran to the store for milk. 	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat sat quietly on the couch.	0
6	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The sun was setting slowly.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap. 	0
7	0	0	1	1	0	2	0	1	1	1	0	0	0	0	1	1	0	2.0	0	4	Rose waved a butterfly into flight. 	0
5	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	The cat chased its tail	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	0
4	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	I walked home. 	0
5	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She ate a mango.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap. 	0
7	1	0	0	1	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	3	The cat quickly ran out the door	0
8	0	0	1	0	0	2	0	2	0	1	0	1	1	0	1	1	1	3.0	1	6	Climbing the tree was a joyful experience.	0
5	0	0	1	0	0	2	1	0	0	1	0	0	0	0	1	1	0	2.0	0	2	She ate ice cream.	0
6	1	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2.0	1	2	OK, here you go: The cat purred contentedly on my lap. 	0
10	0	0	1	1	0	3	0	3	0	2	0	0	0	1	1	1	0	3.0	1	4	The cat sat on the windowsill admiring the view.	0
7	0	0	0	1	0	2	0	2	1	1	0	0	0	0	1	1	0	2.0	0	5	Sally bought a necklace at the store	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The dog ran quickly through the park.	0
13	0	0	1	3	0	2	1	3	0	1	0	0	1	0	0	1	0	4.0	0	4	Please help yourself to some of the tasty treats on the table. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
5	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	2.0	0	2	Cicadas buzz through treetops. 	0
2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1.0	0	1	She ate	0
20	1	1	2	2	0	5	2	4	0	3	0	0	0	2	3	1	0	3.0	2	10	The cats chased the mice quickly through the house, their paws pounding on the floor as they ran.	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	5	She walked to the store after work.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped over the fence.	0
10	0	0	1	1	0	3	1	0	1	1	1	0	0	0	1	0	0	3.0	0	7	  Natasha ran three miles to her grandma's home. 	0
4	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	She ate a sandwich	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
