n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	2.0	0	2	Eating a muffin	0
6	0	0	1	1	0	2	0	0	0	1	0	0	1	0	1	0	0	2.0	0	3	Cats purr at low speeds. 	0
8	0	0	0	1	0	3	0	1	0	1	0	0	2	0	1	1	0	3.0	0	5	Cats in a warm environment have longer lifetimes	0
8	0	0	1	2	0	0	0	1	3	1	0	0	0	0	1	0	0	3.0	0	3	The Sphinx of Giza watches over Cairo.	0
28	2	1	2	2	1	7	0	2	0	4	2	1	3	2	1	3	0	6.0	2	7	Four-year-old cats also typically have the advantage of having had more than one heat cycle to harden the pelvis and prepare for successful breeding	0
11	0	0	1	0	0	4	1	0	0	2	0	0	3	1	2	2	0	4.0	1	2	Tibetan mountain dogs have short coats that require little grooming.	0
4	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1.0	0	2	Holds up rain.	0
11	0	0	2	1	0	4	0	1	0	1	0	0	2	0	1	1	0	2.0	0	5	Fluffy, white clouds dotted the sky like cotton balls.	0
25	1	0	6	1	0	4	3	0	0	2	1	2	5	1	2	1	0	5.0	1	14	Clean, minimalistic design; slim profile; simple controls; good price - why do you think i should get one of those?	0
28	3	1	0	1	2	2	4	1	2	5	0	3	3	3	4	2	0	4.0	3	18	Fred hated when Sasha got wet and he would lint her until she was warm again and it would take a lot of times to get fully dry	0
11	0	0	1	1	0	2	2	1	1	1	0	0	2	0	1	1	0	3.0	0	4	The Sphinx kept its secret safe beneath its stony heart.	0
14	2	0	1	2	1	2	0	0	0	1	3	1	1	0	1	0	0	4.0	0	8	Siberian cats however can live from 10 to 15 or even 20 years.	0
28	2	1	2	2	2	5	2	0	1	4	0	4	3	1	2	2	1	7.0	2	13	Hearsay, which has been studied for decades, has now been scientifically proven effective at reducing stress hormones in listeners and improving their cognitive and behavioral development	0
19	1	0	0	1	1	5	0	2	0	2	1	3	2	0	1	0	0	4.0	0	6	The new feline sleeping strategy will be implemented effective immediately and is projected for a 97% success rate	0
3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	2.0	0	2	Lost my cat	0
11	0	0	1	2	0	3	1	0	0	1	0	2	1	0	1	1	1	3.0	1	4	Growing orchids can be rewarding despite their reputation for difficulty.	0
35	3	1	5	3	0	9	4	3	0	4	0	0	3	2	3	2	0	4.0	2	12	Furious at my words, the storm clouds overhead began their relentless downpour; yet, as lightening struck, I felt my resolve weaken, much like the old garden bench during that deluge	0
