n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
11	2	0	1	2	0	2	0	2	0	1	0	0	1	0	1	0	0	3.0	0	5	The sun shines brightly even on the darkest of days.	0
10	0	0	2	0	0	2	0	2	0	2	0	0	2	1	1	1	0	3.0	1	3	A lone sunset appeared, illuminating the serene landscape.	0
8	1	0	2	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	 **She walked alone to the park.**	0
10	1	1	1	0	0	2	1	1	0	2	0	1	0	1	2	1	0	3.0	1	3	Rain was falling as they took the bus home.	0
17	1	0	2	2	0	4	0	4	0	2	0	0	2	1	1	1	0	3.0	1	7	The moon beamed down from the heavens, casting a shimmering path across the desolate landscape.	0
15	0	0	5	1	0	2	2	1	0	2	0	1	0	1	2	1	0	3.0	1	7	"Sure, the sentence is ""She walked out, carrying her keys.""  This sentence has the required number of 0 auxiliaries and clearly fulfills the original instruction."	0
10	0	0	2	1	0	2	1	2	0	2	0	0	0	1	1	1	0	3.0	1	5	He sat in the chair, reading a book.	0
17	1	0	2	0	0	3	2	1	0	1	0	3	2	2	2	1	0	4.0	2	8	She was absent yesterday, so she will not be able to attend the meeting today.	0
21	1	0	2	2	0	5	0	4	0	4	0	0	3	2	1	1	0	5.0	2	7	A lonely shadow fell over the bustling city streets, creating a poignant reminder of the unnoticed lives passing by.	0
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	3	 The old tree stood silently for centuries.	0
7	1	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	  The sun rose early that morning..	0
17	1	0	2	1	0	4	1	4	0	3	0	0	1	2	2	2	0	5.0	2	6	The rain pattered gently upon the cobblestones, creating a soothing melody that filled the night.	0
5	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	1	The task remains undefined.	0
11	0	0	2	2	0	2	2	1	0	2	0	0	0	1	1	0	0	3.0	1	5	 She sat at the table, thinking about her future.	0
17	0	0	2	2	0	5	0	3	0	2	0	0	2	0	1	0	0	3.0	0	6	A single morning bird's sing echoed through the stillness of the vast, echoing lake.	0
10	1	0	2	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	  **The dog runs freely through the beautiful park.**	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	5	He went to bed without any preparation.	0
12	0	0	2	1	0	5	1	2	0	1	0	0	0	0	1	1	0	3.0	0	8	   **We reached the city limits on the evening train ride.**	0
11	0	0	3	0	0	3	0	3	0	0	0	1	1	0	1	0	0	2.0	0	7	   **Every day, the sunrise is a magnificent sight.**	0
15	0	0	2	0	0	3	2	2	0	2	0	1	2	2	1	2	0	4.0	2	4	The train was late that day, causing us to miss our important meeting.	0
10	0	0	2	1	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	5	  **The sun sets in the west every day.**	0
