n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
15	0	0	2	1	0	4	0	5	0	2	0	0	1	1	1	1	0	3.0	1	7	  The sun rose this morning, casting a golden glow on all the flowers.	0
9	0	0	1	1	0	2	0	2	0	1	0	0	2	0	1	0	0	2.0	0	4	  The old house stood in the empty field.	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	7	 The moon shone brightly in the deep blue night sky.	0
15	1	1	1	2	0	3	0	2	0	1	0	1	3	1	1	1	0	4.0	1	4	  Even a single spark of joy is capable of illuminating the darkest of nights.	0
11	0	0	1	2	0	3	0	2	0	1	0	1	1	0	1	0	0	3.0	0	4	The sky was filled with a magnificent display of colors.	0
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	2.0	0	5	  The rain brought solace to the parched land.	0
6	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The sun shines brightly today.	0
12	0	0	1	2	0	4	0	3	0	1	0	0	1	0	1	0	0	3.0	0	5	The sky remains a beautiful expanse of blue without any adpositions.	0
11	0	0	1	2	0	3	0	3	0	1	0	0	1	0	1	0	0	4.0	0	3	The sun rose without any clouds visible in the sky.	0
11	0	0	2	1	0	3	0	2	0	0	0	1	2	0	1	0	0	3.0	0	3	The sky was beautiful today, devoid of any clouds.	0
6	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	3	The sky above was clear.	0
15	1	0	2	2	0	3	1	3	0	2	0	0	1	1	2	0	0	4.0	1	5	I walk through the quiet meadow, where the butterflies flutter among the flowers.	0
7	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	2.0	0	2	  The world is indifferent to me.	0
14	0	0	1	3	0	4	0	3	0	2	0	1	0	0	1	0	1	4.0	1	6	A person sitting on the ground was struck by a bolt of lightning.	0
17	0	0	3	2	0	5	1	3	0	2	0	0	1	1	1	2	0	3.0	1	7	 **The rain whispered secrets to the sleeping leaves, leaving them with a haunting echo.**	0
12	0	0	2	1	0	3	0	3	0	1	0	0	2	0	1	0	0	2.0	0	8	The sun rose this morning over the vast, empty sky.	0
15	0	0	2	2	0	5	0	3	0	2	0	0	1	1	1	1	0	3.0	1	6	The sun rises behind the mountains, casting beautiful shadows across the forest floor.	0
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The boy ran through the forest without any path.	0
13	0	0	1	2	0	4	0	4	0	1	0	0	1	0	1	1	0	3.0	0	4	The absence of any adjectives created a serene atmosphere within the city.	0
13	0	0	2	1	0	3	1	2	0	2	0	0	2	1	1	1	0	3.0	1	5	The sun shone bright today, illuminating the beautiful landscape around it.	0
12	0	0	2	0	0	2	2	1	0	2	1	1	0	1	2	2	0	4.0	1	4	Sure, I have generated a sentence that has 0 adpositions.	0
11	1	0	1	1	0	3	0	2	0	1	0	0	2	0	1	0	0	2.0	0	7	The moon shone brightly in the vast dark night sky.	0
6	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	4	Sure, the sentence is:  The dog chased itself across the lawn.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun shone brightly in the sky.	0
20	1	0	3	3	0	5	1	4	0	2	0	0	1	0	2	0	1	4.0	1	13	 **No matter where I wander through the world, the beauty of that place remains untouched by time.**	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	  The sun rises over the horizon.	0
8	0	0	1	1	0	2	0	2	0	1	0	1	0	0	1	0	0	2.0	0	3	 The city is lost in the wilderness.	0
6	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	 The sky is blue today.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun shines brightly in the sky.	0
17	0	0	2	2	0	4	1	3	0	2	0	0	3	1	1	1	0	3.0	1	6	The quick brown fox jumped into the green grass, leaving no footprints in its path.	0
14	1	0	2	2	0	3	0	3	0	2	0	0	1	1	1	0	0	3.0	1	5	A man sat on the bench, looking out at the empty road.	0
11	1	0	4	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	" ""The boy jumped high into the sky.""."	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The sun rose in the east sky.	0
