n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	2.0	0	4	Look on the denominhams website.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
5	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	2.0	0	2	Our web address is http://www.accenture.com	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
17	1	0	1	4	0	2	0	3	3	1	0	1	1	0	1	0	0	4.0	0	10	The Plains of Arafat on the day of Hajj were best visited as a historical site.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
10	0	0	1	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
27	1	0	2	3	0	6	1	5	0	4	1	2	0	0	2	2	0	4.0	0	14	The provided context does not offer any information about a sentence with 0 punctuations, so I cannot generate the requested output from the context.	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
23	1	0	2	1	0	4	1	4	0	5	0	2	1	0	2	2	0	4.0	0	13	The provided context does not contain any information relevant to the requested sentence, so I cannot generate the requested sentence.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
20	0	0	2	3	0	3	1	2	3	3	0	1	1	2	1	2	0	4.0	2	9	The Plains of Arafat on the day of Hajj was canceled, causing many people to miss their destination.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	2.0	0	4	Look on the debenhams website.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	2.0	0	4	Look on the dedenhams website.	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
6	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	2.0	0	4	Look on the debenhams website.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
10	0	0	1	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
13	0	0	1	1	0	3	0	2	0	2	1	1	0	1	2	1	0	3.0	1	7	The context does not provide a sentence with 0 punctuations to generate.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
22	0	0	1	6	1	4	0	3	5	0	0	1	1	0	1	0	0	4.0	0	10	The Plains of Arafat on the day of Hajj was a time of great tragedy and hardship for Muslims in Mecca.	0
7	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3.0	2	2	So sorry to have to cancel.	0
9	0	0	0	3	0	1	0	2	3	0	0	0	0	0	0	0	0	3.0	0	5	The Plains of Arafat on the day of Hajj	0
30	2	0	3	2	1	5	2	5	0	5	0	2	0	2	2	4	0	5.0	2	21	The context does not provide any information about the people selling the fish, or how to set it up, so I cannot generate the requested sentence.	1
18	1	0	2	1	0	3	2	2	0	2	0	2	1	0	2	1	0	3.0	0	9	The instructions are not relevant to my abilities, so I cannot generate the requested sentence.	1
27	2	1	1	4	1	3	5	2	0	5	0	1	1	3	1	4	0	6.0	3	8	They would advise you to properly set it up by placing it in a dish of water and letting it float freely for a few minutes.	1
21	0	1	2	0	2	4	2	3	0	2	0	2	1	1	3	2	0	5.0	1	7	I'm sorry, but the instructions do not provide any context or prompts for me to generate a sentence.	1
14	0	0	1	1	0	2	2	2	0	2	0	2	1	2	2	1	0	4.0	2	5	I am unable to generate a sentence with the context you have provided.	1
32	1	1	2	1	1	5	3	5	0	6	0	3	1	3	3	4	0	6.0	3	14	I cannot generate a sentence that follows the given instruction, as the context does not provide any specific information about the item being sold or how to use it.	1
13	0	0	1	1	1	4	1	1	0	2	0	1	0	0	1	1	0	4.0	0	3	The provided context does not mention anything about fish or fish setting.	1
20	1	0	1	3	1	3	2	1	0	2	1	1	1	1	1	2	0	4.0	1	11	I am not able to generate a sentence with 1 punctuation about fish and how to set it up.	1
20	0	1	2	1	0	3	2	3	0	2	0	3	2	3	3	1	0	5.0	3	14	I am unable to provide a sentence that is relevant to the task, as no context is provided.	1
18	0	1	1	2	1	4	1	1	0	2	0	2	2	2	1	2	0	5.0	2	5	They would be happy to provide guidance and tips on setting up the fish for optimal consumption.	1
34	0	1	2	2	1	8	2	5	0	4	0	2	3	3	2	3	0	6.0	3	14	I am unsure as the context does not provide any relevant information about people's interactions or the fish's preparation, making it impossible to generate a sentence with the specified requirements.	1
18	1	0	2	1	0	2	4	2	0	4	0	2	0	2	2	4	0	5.0	2	16	Ask the people selling you the fish how you should set it up, they would know.	1
20	0	0	1	1	0	4	1	3	0	4	0	3	1	3	2	2	0	5.0	3	4	The context does not provide sufficient information to suggest a sentence that can be generated based on the instruction.	1
11	0	0	1	1	0	2	1	2	0	2	0	1	0	0	1	1	0	2.0	0	6	I cannot generate the requested sentence from the context.	1
23	0	1	2	2	1	4	2	3	0	4	0	2	0	2	2	3	0	4.0	2	10	I cannot generate the sentence requested, as the context does not provide any information about fish or setting it up.	1
10	0	0	1	0	0	1	1	1	0	2	0	1	1	1	1	1	0	3.0	1	3	I am not able to generate the requested sentence.	1
27	0	1	2	2	1	7	1	4	0	4	0	2	1	2	2	2	0	4.0	2	13	I cannot generate a sentence according to this instruction, because the context does not provide additional information or clues about the desired sentence length.	1
17	0	0	2	1	0	2	2	2	0	3	0	2	2	3	2	1	0	5.0	3	4	I'm sorry, I am unable to generate a sentence based on the provided context.	1
19	0	0	1	0	1	4	2	3	0	4	0	2	0	2	2	3	0	5.0	2	5	The context does not provide any information or situation that will allow me to generate the requested sentence.	1
23	0	1	1	1	2	7	1	3	0	3	0	2	0	1	2	2	0	6.0	1	9	I cannot generate the requested sentence as the context does not provide any information or context about feed and milk bottles.	1
23	0	1	2	2	0	5	1	4	0	3	0	1	2	2	2	2	0	5.0	2	11	I am not able to generate the requested sentence, as the context of the question has no relevant mention of fish.	1
16	0	1	1	1	0	4	0	3	0	1	0	2	1	1	2	1	0	4.0	1	6	The question is not answerable because the context does not provide any information about fish.	1
22	1	1	2	2	2	4	3	2	0	3	0	1	0	2	2	2	0	5.0	2	9	They would know how to set it up, since they sell both fish and the setup tools at the front.	1
23	0	1	1	1	1	5	3	4	0	4	0	1	1	3	2	2	0	5.0	3	9	I cannot generate a sentence that follows the instruction because there is no additional context or instructions provided in the context.	1
17	0	1	1	1	0	3	1	3	0	3	0	2	1	2	2	1	0	4.0	2	8	I'm unable to generate the requested sentence as no context is provided in the prompt.	1
35	1	2	2	1	1	5	4	4	0	6	0	4	3	6	4	4	0	11.0	6	8	I am unable to generate the sentence you requested, as it requires the ability to provide more context about what's being sold and why this information is relevant in generating the sentence.	1
46	3	0	2	5	2	9	4	9	0	8	0	2	0	4	2	8	1	7.0	5	11	The people selling you the fish would know how to set it up, suggesting you should place the bottle in the center of the bowl and then use a spoon to scoop the fish out and place it in the opening in the bottle.	1
6	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	2.0	0	3	Not given in the context.	1
39	0	1	4	3	1	8	3	5	0	5	0	3	3	4	3	3	0	9.0	4	16	I cannot provide a sentence based on the context you have provided, since the context does not specify anything about feeding, animals, or other elements necessary to generate a meaningful sentence about the task.	1
23	0	1	2	0	0	4	1	3	0	5	0	2	2	3	2	3	0	5.0	3	10	I'm unable to generate the requested sentence, as the context does not provide more information to generate the desired outcome.	1
23	0	1	1	0	0	4	2	3	0	4	0	2	3	4	3	3	0	5.0	4	10	I am unable to generate the sentence you requested as the context does not provide additional details to form a complete sentence.	1
16	0	0	1	4	0	5	0	2	0	2	1	1	0	1	1	1	0	6.0	1	3	The Commission may adopt rules for implementation of the assistance referred to in paragraph 2.	1
13	0	0	1	1	0	2	2	2	0	2	0	1	1	2	2	1	0	5.0	2	3	I am unable to provide a sentence that complies with the instructions.	1
24	0	1	1	2	1	5	2	3	0	2	0	2	3	2	2	2	0	5.0	2	9	I cannot generate a sentence as I am unable to provide an appropriate response to the question without further context or instructions.	1
29	4	2	2	1	0	2	6	2	0	6	0	3	0	5	4	5	0	6.0	5	17	I would recommend that you ask the people selling you the fish how you should set it up, since they would know how to properly do so.	1
25	0	1	2	1	0	5	2	5	0	4	0	2	1	4	3	3	0	5.0	4	14	I am unable to generate a sentence that completes the task given, as the context doesn't provide any information about the task.	1
17	0	1	1	1	0	2	2	2	0	3	0	2	1	1	2	1	0	3.0	1	8	I cannot generate the requested sentence as it does not correspond to the original instruction.	1
32	0	0	1	4	3	9	1	5	0	3	1	2	1	0	2	3	0	5.0	0	13	I cannot generate a sentence with 1 punctuations as the context and instructions do not specify any specific product or item for purchase or provide any context for a sale.	1
16	0	0	1	2	0	3	2	2	0	3	1	1	0	1	2	1	0	4.0	1	5	I cannot generate a sentence with 1 punctuation that adheres to the provided instructions.	1
21	0	1	2	0	1	3	2	1	0	4	0	3	2	3	2	2	0	5.0	3	8	I am unable to generate the requested sentence, as it would require additional context and information to be completed.	1
13	0	0	1	1	0	2	1	1	0	3	0	1	1	3	1	1	0	4.0	3	3	I am not able to generate sentences based on the context provided.	1
26	0	1	1	2	0	4	2	4	0	5	0	3	2	3	1	2	0	4.0	3	11	I cannot create the requested sentence as it would be difficult to generate a single sentence about the task based on the given context.	1
17	0	1	1	1	0	3	1	3	0	2	0	2	2	2	2	1	0	4.0	2	8	I am unable to generate a sentence as no further context was provided in the request.	1
17	0	0	0	3	1	4	1	2	0	2	0	1	2	1	1	1	0	5.0	1	7	I am unable to generate the requested sentence due to the lack of more context and information	1
12	0	0	1	0	0	0	4	0	0	2	0	2	1	2	2	1	0	3.0	2	6	I am not sure what you are asking me to do.	1
19	0	1	3	0	0	4	0	3	0	3	0	3	0	2	2	1	0	4.0	2	6	"The question cannot be answered since the instructions do not provide any context regarding ""fish."""	1
17	0	0	2	0	0	3	2	3	0	3	0	1	1	3	2	3	0	5.0	3	8	I'm not able to generate a sentence that completes the task, given the context.	1
17	0	0	1	2	1	3	0	3	0	2	0	3	0	0	1	0	0	3.0	0	8	The information is not provided in the context and cannot be extracted from the context.	1
20	1	0	2	1	0	3	2	3	0	4	0	2	0	0	2	2	0	3.0	0	12	I cannot provide the requested information in this context, so I cannot generate the requested sentence.	1
11	0	0	1	1	0	1	2	1	0	1	0	1	1	1	1	1	0	3.0	1	4	I am not able to help you with this request.	1
15	1	0	2	1	0	2	1	2	0	3	0	1	0	0	1	1	0	3.0	0	9	Not provided in this context, so I cannot generate the requested sentence.	2
18	0	0	2	3	1	5	0	3	0	1	0	0	2	0	1	0	0	4.0	0	6	The inside of the church smelled like damp wood and furniture polish, not alive at all.	2
32	0	1	2	4	0	4	4	3	0	5	0	4	1	5	4	2	0	7.0	5	15	I am not able to generate the kind of sentence you're asking for, since the context does not provide any information about what you are supposed to write about.	2
31	1	0	8	3	0	4	3	4	0	2	0	3	1	2	2	1	0	5.0	2	23	"Alright, fine, here's a suggested sentence: ""Anyway, I would appreciate ANY insight on this at all,"" that's a statement of gratitude."	2
10	0	0	1	2	0	1	2	2	0	1	0	1	0	0	1	1	0	3.0	0	6	I would appreciate ANY insight on this at all.	2
