n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NOUN_constraint
15	1	0	1	3	0	4	0	4	0	0	0	1	1	0	1	0	0	3.0	0	6	 The silence of the room was as quiet as a whisper in the night.	0
5	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	2.0	0	1	The void remained untouched.	0
11	0	0	1	1	1	3	1	1	0	0	0	1	2	0	1	0	0	3.0	0	3	  She is the girl with big eyes and beautiful skin.	0
16	0	0	4	2	0	4	0	3	0	1	1	1	0	1	2	0	0	3.0	1	5	"A sentence with 0 nouns is: ""The moon soared over the horizon"".."	0
15	0	1	1	1	0	3	2	3	0	3	0	0	0	2	0	0	0	4.0	2	7	There are no words to generate as there are no nouns in the instruction.	0
13	0	0	2	2	0	3	1	3	0	2	0	0	0	1	1	1	0	3.0	1	7	The sun rose in the sky, without any bodies inhabiting it.	0
16	0	0	4	1	0	3	0	2	0	1	0	2	3	0	2	0	0	2.0	0	6	"A lone wordless sentence could be, ""Silence reigned in the vast emptiness."""	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The world is silent.	0
14	0	0	3	3	0	4	0	2	0	1	0	1	0	0	1	0	0	3.0	0	4	" ""The absence of light was felt in the vastness of space."""	0
16	1	0	2	2	0	4	0	2	0	0	1	2	2	0	1	0	0	4.0	0	11	Certainly, a single sentence devoid of words would be an utterance with 0 nouns.	0
11	1	0	2	0	0	3	1	2	0	1	0	1	0	1	2	0	0	3.0	1	3	The void is a blank, emptiness that stretches infinitely.	0
17	1	0	1	2	0	4	1	4	0	2	0	0	2	1	2	1	0	4.0	1	5	The absence of any entities rendered a serene silence that stretched infinitely upon the silent horizon.	0
9	0	0	1	1	0	3	0	2	0	0	0	1	1	0	1	0	0	2.0	0	4	The void is devoid of any living beings.	0
16	1	0	2	1	0	3	1	2	0	2	0	2	1	0	2	1	0	3.0	0	9	Empty space has no nouns, so it cannot be written as a sentence.	0
11	0	0	1	1	0	2	1	2	0	1	0	1	1	1	1	0	0	3.0	1	4	The sky was the only place for anything to hide.	0
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	2.0	0	5	 There is no sound in this room.	0
13	0	0	2	1	0	2	2	1	0	2	1	1	0	1	1	0	0	4.0	1	3	  **There was not a thing I could write with zero nouns.**	0
9	0	0	3	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	" ""Silence hung heavy in the air."""	0
10	1	0	1	1	0	3	0	2	0	0	0	1	1	0	1	0	0	3.0	0	7	The absence of things is sometimes a beautiful thing.	0
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	2.0	0	3	The sky is blue without any clouds.	0
34	0	0	3	6	2	10	1	7	0	2	0	1	2	1	1	1	0	6.0	1	12	The void is a place of emptiness and silence, with nothing but the echoes of the wind in the tall grass, rustling in the wind and creating a gentle rustling symphony.	0
3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	  **Silence.	0
13	1	0	5	2	0	2	0	2	0	1	0	0	0	0	1	0	0	3.0	0	4	"  _""The silence of the night stretched out indefinitely.""_"	0
27	0	1	3	3	1	6	2	4	0	4	0	0	2	2	2	1	0	5.0	2	14	  The sun hung above the mountain peak, a solitary white sphere in the sky, waiting for someone to look up and appreciate its presence.	0
9	0	0	1	2	0	2	1	1	0	0	0	1	1	0	1	0	0	3.0	0	2	The world is full of nothing but silence.	0
6	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1.0	0	2	"The word ""silence""."	0
12	0	0	3	1	0	3	0	2	0	2	0	1	0	0	2	0	1	4.0	1	8	The sentence generated from this instruction is 'Nothingness exists.'	0
18	0	2	2	3	0	2	2	2	0	3	0	0	1	2	1	1	0	4.0	2	8	The silence hung in the empty air, as if waiting for something to fill it up.	0
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There is no sentence with 0 nouns.	0
4	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	1	  A void exists.	0
8	0	0	1	1	0	3	0	2	0	0	0	1	0	0	1	0	0	2.0	0	3	The void was an emptiness beyond comprehension.	0
10	0	0	1	1	0	3	0	3	0	0	0	1	1	0	1	0	0	2.0	0	3	The empty void was a void for a reason.	0
5	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2.0	0	2	The sky is above.	0
14	1	0	1	2	0	3	1	3	0	1	0	1	1	1	1	0	0	3.0	1	6	The sky above us is a blank canvas stretching infinitely across the horizon.	0
9	0	0	3	0	0	3	0	1	0	0	0	2	0	0	2	0	0	2.0	0	5	"The sentence is ""Silence is gold."""	0
12	0	0	1	2	0	3	1	2	0	1	1	0	1	0	0	0	0	4.0	0	3	There is no such thing as a sentence with 0 nouns.	0
10	0	0	2	1	0	2	0	2	0	1	0	0	2	0	1	0	0	4.0	0	3	The void remains empty, devoid of any presence.	0
17	0	1	1	1	0	3	1	4	0	3	0	0	2	2	2	1	0	4.0	2	8	The empty void echoed in the silent room as no one dared to make a sound.	0
6	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1.0	0	4	She is an empty shell.	0
9	0	0	1	0	1	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	2	The empty void echoed no thoughts or feelings.	0
9	0	0	1	1	0	3	0	2	0	0	0	1	1	0	1	0	0	3.0	0	6	The void of thought is a boundless emptiness.	0
9	0	0	1	2	0	2	1	1	0	1	0	1	0	0	1	0	0	3.0	0	2	 The void was filled with nothing but silence.	0
20	0	0	2	0	0	4	1	3	0	5	1	1	1	3	1	3	0	5.0	3	7	The task was not given any context regarding zero nouns, making it impossible to generate the requested sentence.	0
6	0	0	2	0	0	1	0	1	0	1	0	1	0	0	1	0	1	2.0	1	2	The sentence generated is:  ***  The silence speaks louder than words in our silent language of existence.	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sun was absent.	0
10	0	0	2	1	0	3	1	2	0	1	0	0	0	0	0	0	0	2.0	0	6	   **There is no moon in the night sky.**	0
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	The sky is blue.	0
6	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	2.0	0	3	There is no such task.	0
9	1	0	2	0	1	1	1	1	0	2	0	0	0	0	1	1	0	3.0	0	4	Nothing existed, and so did no sentences.	0
13	0	0	2	1	0	3	0	3	0	2	0	0	2	1	1	1	0	4.0	1	4	The sky remained silent, providing no indication of an upcoming conversation.	0
6	0	0	1	0	0	2	0	1	0	1	1	0	0	0	1	1	0	2.0	0	2	The city has one park.	1
12	0	0	2	1	1	2	0	2	0	2	0	0	2	0	1	0	0	3.0	0	5	The old statue stood on the cliff, weathered and forgotten.	1
15	1	1	2	2	0	3	0	3	0	2	0	0	1	1	1	0	0	2.0	1	8	  **A single snowflake danced across the sky for a moment before melting away.**.	1
10	0	0	1	1	0	2	1	2	0	2	0	0	1	1	1	1	0	4.0	1	3	I saw a lonely crow standing on a branch.	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	A lone goose stood on the shore.	1
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The lone mountain rose in the morning stillness.	1
16	3	0	2	1	0	3	0	3	0	2	0	0	2	1	1	1	0	3.0	1	7	A single snowflake drifted gently down from the sky, illuminating the frosty grass below.	1
13	0	0	1	2	1	3	0	3	0	2	0	0	1	0	1	0	0	3.0	0	5	The old book fell from the shelf and landed on the floor.	1
15	0	0	2	2	0	5	0	3	0	1	0	0	2	0	1	0	0	4.0	0	4	A lone wolf gazed upon the moonlit sky, a silent expression of wonder.	1
10	0	0	1	1	0	3	1	2	0	1	0	0	1	0	1	1	0	2.0	0	5	The young girl chased her dog through the park.	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The old book lay on the floor.	1
21	0	0	4	3	1	6	2	1	0	2	0	0	2	1	1	1	0	4.0	1	6	 The book, full of wisdom, opened in her eager hands, filling her mind with stories and ideas.	1
9	0	0	1	1	0	2	0	2	0	2	0	0	1	1	1	0	0	3.0	1	3	The old book sat neglected on the shelf.	1
13	0	0	1	2	0	3	0	3	0	1	0	0	3	0	1	0	0	3.0	0	4	The lone mushroom grew under the watchful eyes of a silent owl.	1
8	0	0	1	0	0	2	0	1	1	0	0	1	1	0	1	0	0	3.0	0	2	The young lady's name is Sarah.	1
11	0	0	1	2	0	4	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	A spider web spun in the corner of the room.	1
15	0	0	1	2	0	3	2	2	0	2	0	1	2	1	1	0	0	4.0	1	6	There is an old book on the shelf that is full of forgotten secrets.	1
15	1	0	2	1	0	4	1	3	0	2	0	0	1	1	0	1	0	4.0	1	9	There was a single goose standing on the roof, watching the world below.	1
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The moon rose in the sky last night.	1
11	0	0	1	1	0	4	0	2	0	1	0	1	0	0	1	0	0	3.0	0	3	The girl's pet cat is running through the park.	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The lone deer jumped across the plains.	1
14	0	0	1	2	0	6	1	2	0	1	0	0	1	0	1	1	0	3.0	0	6	Moonlit night casts its shadow on the sleeping creature in the dark forest.	1
15	0	0	2	2	0	5	0	3	0	1	0	0	1	0	1	0	0	5.0	0	4	A lone whale swam beneath the waves, a testament to nature's resilience.	1
17	2	0	1	1	0	2	3	1	0	4	1	1	0	3	1	1	0	5.0	3	6	There is only one thing in the world that can make you forget how to breathe.	1
18	0	2	2	1	0	3	2	3	0	4	0	1	0	3	2	2	0	5.0	3	6	 A shadow danced across the room, making it seem as if the sun was hiding itself.	1
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	A single sunflower bloomed in the garden today.	1
10	0	0	1	1	0	3	0	3	0	1	0	0	1	0	1	1	0	2.0	0	6	The farmer brought a new tractor to the field.	1
10	0	0	1	1	0	3	0	2	0	2	0	0	1	0	1	1	0	2.0	0	5	The lonely castle stood sentinel against the darkening sky.	1
13	1	0	1	2	0	3	1	1	0	2	0	1	1	0	1	0	1	4.0	1	7	A young girl playing with her pet rabbit was laughing out loud.	1
12	2	0	2	0	0	2	1	1	0	2	0	0	2	1	1	1	0	3.0	1	4	The beautiful river flowed peacefully, carrying its clear waters upstream.	1
18	0	0	2	1	1	5	0	4	0	2	0	0	3	1	1	1	0	4.0	1	6	The lake lay serene amidst the trees, reflecting the blue sky and the clear water lilies.	1
10	0	0	1	1	0	3	0	2	0	2	0	0	1	0	1	0	0	2.0	0	5	The lone wolf wandered into the bustling city streets.	1
10	0	0	2	1	1	3	0	1	0	0	0	1	1	0	1	0	0	3.0	0	2	**The library was full of books and chairs.**	1
9	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	0	0	3.0	0	3	My father's truck sits in the driveway.	1
11	0	0	1	2	0	4	0	2	0	0	0	0	2	0	0	0	0	3.0	0	3	  A single sunflower blooms on the plains in full sun.	1
16	1	0	1	1	1	5	0	2	0	2	0	1	1	1	2	1	0	4.0	1	4	The city's biggest park is where people go for walks and enjoy the scenery.	1
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	6	The rain fell from above the city this afternoon.	1
16	0	0	2	2	0	4	0	4	0	3	0	0	1	1	1	1	0	3.0	1	7	The moon rose in the west, casting a shimmering glow upon the slumbering ocean.	1
15	1	0	2	0	0	4	1	2	0	2	0	0	2	1	1	1	0	5.0	1	5	A single snowflake tumbled down, its glistening bead reflecting the sun's light.	1
10	0	0	1	1	0	3	0	3	0	0	0	1	1	0	1	0	0	3.0	0	7	The book on the shelf is a great read.	1
18	0	0	2	2	0	4	1	4	0	4	0	0	1	3	0	1	0	4.0	3	9	There was a lone crow sitting on the fence, watching the children play in the park.	1
15	0	0	2	2	0	5	0	3	0	2	0	0	1	1	1	0	0	5.0	1	3	The old oak tree leaned towards the lake, branches swaying in the breeze.	1
7	0	0	1	1	0	2	1	0	0	1	0	1	0	0	1	0	0	2.0	0	2	My bicycle was left at home.	1
11	1	0	1	0	0	4	0	2	0	2	0	0	0	0	1	1	0	3.0	0	5	The bookstore owner carefully examined the lost book's inscription.	1
15	0	0	2	2	0	3	0	3	0	2	0	0	3	1	1	0	0	4.0	1	4	A single leaf floats in the tranquil lake, shimmering on the sun-kissed surface.	1
13	0	0	2	2	0	3	1	2	0	3	0	0	0	2	1	1	0	5.0	2	5	She saw a spider wandering around the garden, looking for food.	1
12	0	0	1	2	0	4	0	3	0	0	0	1	1	0	1	0	0	3.0	0	6	The lone tree in the field is a landmark of nature.	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	3	The old house stood on the hill.	1
9	0	0	1	2	0	2	1	1	0	1	0	1	0	0	1	0	0	3.0	0	3	She was born with a love for books.	1
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The rose blossomed in the morning sun.	1
18	1	0	1	1	1	5	1	1	0	2	1	2	1	2	2	0	0	4.0	2	5	The bookstore and library are two places where people can go to escape from their daily lives.	2
15	2	0	1	0	2	3	1	2	0	3	0	0	0	1	1	1	0	3.0	1	5	A farmer and a fox often work together to gather and store their crops.	2
13	0	0	1	3	0	5	0	2	0	1	0	1	0	0	1	0	0	3.0	0	6	A field of wildflowers was dotted with butterflies in the afternoon sunlight.	2
11	0	0	1	1	0	4	0	1	0	1	0	1	1	0	1	0	0	3.0	0	4	The farmers' market was filled with fresh produce today.	2
15	0	0	2	1	2	3	1	2	0	2	0	1	1	1	1	1	0	4.0	1	6	She was wearing a dress and a hat, both made of different materials.	2
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	Two birds soaring through the sky.	2
28	0	0	2	5	1	9	2	3	0	3	1	0	2	1	2	1	1	6.0	2	8	A group of artists working on a large mural depicted two lions in their midst, their bodies entwined in a complex composition of colors and patterns.	2
14	0	0	1	0	2	4	0	3	0	0	0	1	2	0	1	0	0	3.0	0	4	The bookstore's newest release is both a novel and a captivating mystery.	2
11	0	0	1	1	1	3	0	3	0	1	0	1	0	0	1	0	0	3.0	0	5	A city and a river are surrounded by a park.	2
11	0	0	1	1	1	3	0	3	0	1	0	1	0	0	1	0	0	3.0	0	5	A farmer and a horse are working in the fields.	2
17	0	0	2	2	1	4	0	3	0	2	0	1	2	1	1	0	0	4.0	1	5	A library and a garden were built in the old city, surrounded by ancient trees.	2
