n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
14	2	0	1	1	1	1	3	0	0	1	0	2	1	1	1	1	0	4.0	1	4	They are normally quite and it is easy to take care of them.	0
12	0	0	1	1	0	2	2	2	0	1	0	1	1	0	1	1	0	2.0	0	7	They did not buy anything on the website this past week.	0
15	0	1	1	0	0	1	2	1	0	3	1	2	2	2	2	1	0	5.0	2	4	They must have gone insane because they decided to buy a dozen poisonous cacti.	0
17	0	1	1	1	0	2	1	2	0	4	0	3	1	4	2	0	0	5.0	4	6	We are unable to determine whether this request has been fulfilled based on the context provided.	0
16	1	1	2	0	0	2	1	2	0	3	0	2	0	1	2	1	0	3.0	1	6	The task is not provided, so I cannot generate a sentence as requested.	0
22	1	1	2	1	1	3	4	0	1	2	0	3	2	2	2	2	0	5.0	2	9	You should purchase Beavertail cactus seeds, as they are normally quiet and it is easy to take care of them.	0
43	4	2	4	5	1	11	2	3	0	3	1	1	6	3	2	2	0	7.0	3	17	They are surprisingly good at adapting to almost any environmental conditions, despite their relatively low survivorship rate due to the inherent difficulty in maintaining hydration and nutrients in harsh desert habitats where the average temperature exceeds 40°C (104°F).	0
28	1	0	2	1	0	5	3	4	0	5	1	3	0	2	3	4	0	5.0	2	16	The provided context does not provide any information that would allow me to complete the task, so I cannot generate a sentence with 0 determiners.	0
12	1	0	1	1	1	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	4	And you seemed to be suddenly drowning in your own saliva.	0
18	0	0	1	1	1	3	1	2	0	2	1	2	1	1	1	2	0	4.0	1	5	The question is not applicable and does not require me to generate a sentence with 0 determiners.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Purchase Beavertail cactus seeds.	0
24	0	1	3	4	0	3	1	0	3	3	2	1	1	2	1	1	0	5.0	2	5	As of today, we have not received payment in full as requested in Richard Sanders' letter dated November 16, 2000.	0
24	0	1	3	4	0	3	1	0	3	3	2	1	1	2	1	1	0	5.0	2	5	As of today, we have not received payment in full as requested in James Anderson's letter dated March 15, 2023.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Purchase Beavertail cactus seeds.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Purchase Beavertail cactus seeds.	0
6	0	0	1	0	0	2	0	1	1	1	0	0	0	0	0	1	0	2.0	0	4	Purchase the Beavertail cactus seeds.	0
12	1	0	1	1	1	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	4	And you seemed to be suddenly drowning in your own saliva.	0
5	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2.0	0	3	Purchase Beavertail cactus seeds.	0
10	0	0	1	0	1	4	0	1	0	2	0	1	0	0	1	1	0	3.0	0	8	Purchase Beavertail cactus seeds and the task is solved.	0
28	2	0	2	4	1	4	3	3	1	2	2	2	0	2	3	0	0	6.0	2	8	And that is why I still haven't heard from the buyer's bank about the status of the payment he requested on November 16, 2000.	0
24	0	1	3	4	0	3	1	0	3	3	2	1	1	2	1	1	0	5.0	2	5	As of today, we have not received payment in full as requested in Richard Sanders' letter dated November 16, 2000.	0
25	0	1	4	4	0	3	1	0	3	3	2	1	1	2	1	1	0	5.0	2	6	As of today, we have not received payment in full, as requested in Richard Sanders' letter dated November 16, 2000.	0
12	1	0	1	1	1	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	4	And you seemed to be suddenly drowning in your own saliva.	0
12	1	0	1	1	1	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	4	And you seemed to be suddenly drowning in your own saliva.	0
24	0	1	3	4	0	3	1	0	3	3	2	1	1	2	1	1	0	5.0	2	5	As of today, we have not received payment in full as requested in Richard Sanders' letter dated November 16, 2000.	0
12	1	0	1	1	1	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	4	And you seemed to be suddenly drowning in your own saliva.	0
14	1	0	1	1	1	1	3	0	0	1	0	2	2	1	1	1	0	4.0	1	4	They are normally quiet and it is easy to take care of them.	0
11	0	0	1	0	0	2	0	1	0	2	0	1	2	1	1	1	0	3.0	1	3	Not enough context was provided to make a completion possible.	0
24	0	1	3	4	0	3	1	0	3	3	2	1	1	2	1	1	0	5.0	2	5	As of today, we have not received payment in full as requested in Richard Sanders' letter dated November 16, 2000.	0
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	0
29	2	0	2	4	1	5	3	3	0	5	0	1	1	4	2	2	0	7.0	4	8	And you seemed to be suddenly drowning in your own saliva, trying to figure out the meaning of life in a world where nothing made any sense.	0
12	1	0	1	1	1	1	2	0	0	2	0	1	1	1	1	0	0	3.0	1	4	And you seemed to be suddenly drowning in your own saliva.	0
