n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
20	0	0	2	1	1	4	2	4	0	3	0	0	3	1	2	2	0	5.0	1	5	The rain fell on the city, a gentle drizzle that nourished the thirsty plants and left them happy.	0
15	0	0	2	2	0	4	2	2	0	2	0	0	1	1	2	0	0	3.0	1	7	She strolled along the river, her laughter echoing through the tranquil night air.	0
19	0	0	2	2	3	5	0	4	0	2	0	0	1	0	1	0	0	4.0	0	6	Despite all the chaos and mayhem, the children giggled and played with the utmost innocence and excitement.	0
11	0	0	3	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	" ""The cat chased a spider through the forest."""	0
13	1	0	2	0	1	1	2	1	0	2	0	1	1	1	2	1	0	4.0	1	4	She was tired, yet she went outside to see the sunset.	0
16	1	0	1	2	1	4	0	3	0	2	0	0	2	0	1	0	0	3.0	0	6	The young man sat on the park bench and looked up into the vast sky.	0
14	2	0	3	0	0	3	1	3	0	2	0	0	0	0	2	2	1	4.0	1	8	The rain, which caused a waterfall, never reached the valley below.	0
18	0	0	4	2	0	4	0	4	0	2	0	0	2	1	1	0	0	5.0	1	4	"  ""The rain whispered through the leaves, a silent melody echoing through the tranquil forest."""	0
7	1	1	1	0	0	1	0	1	0	2	0	0	0	1	1	0	0	2.0	1	3	The sun rises without ever stopping.	0
13	0	0	1	2	0	5	0	4	0	1	0	0	0	0	1	0	0	3.0	0	5	The sun rose this morning without the intervention of any weather phenomena.	0
20	0	0	2	3	2	8	1	2	0	2	0	0	0	1	2	0	0	4.0	1	12	The boy gazed at the starlit sky with wonder and curiosity, his mind filled with dreams and aspirations.	0
16	0	0	1	3	0	5	1	3	0	1	0	1	1	0	1	0	0	3.0	0	6	The stars in the night sky were twinkling bright despite their distance from the earth.	0
19	0	0	2	3	0	5	1	3	0	2	0	0	3	1	2	0	0	3.0	1	9	The little girl skipped down the bustling city street, her laughter ringing out in the bustling atmosphere.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The rain gently fell in the tranquil evening.	0
6	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1.0	0	2	  I am feeling hopeful today.	0
14	1	1	1	2	0	2	1	2	0	2	0	0	2	1	2	0	0	3.0	1	9	The moon hanged in the vast expanse of black as it twirled eternally.	0
21	0	0	3	3	0	5	0	4	0	1	0	0	5	0	1	0	0	6.0	0	5	The old barn stood tall, isolated amidst the swaying grass, like a solitary ghost in the peaceful meadow.	0
