n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADP_constraint
13	3	1	1	0	0	3	0	1	0	3	0	0	1	2	2	1	0	3.0	2	8	The sun sank slowly below rippling blue water while seagulls cried overhead.	0
9	0	0	0	3	0	3	0	1	1	1	0	0	0	0	1	1	0	2.0	0	7	Lena took the cake out of cupboard without permission	0
14	1	0	1	2	0	5	1	2	0	1	0	0	1	0	1	2	0	3.0	0	9	The waitress quickly brought me another plate of linguine in white clam sauce.	0
15	2	0	1	1	0	4	0	0	1	1	2	0	1	0	1	1	0	3.0	0	7	Melissa's mom's scrambled eggs had two strips bacon inside instead of three. 	0
13	1	0	1	1	1	3	0	1	1	3	0	0	0	1	1	1	0	3.0	1	9	Maria had to leave early for the train station and missed breakfast.	0
14	2	0	0	2	1	3	1	3	0	2	0	0	0	0	2	0	0	4.0	0	9	They drove slowly along and the silence in the car felt like an eternity	0
14	1	0	2	1	0	3	0	3	0	2	0	0	1	1	1	1	0	4.0	1	6	The dog tugged eagerly at the leash, ready to begin the adventure.	0
18	3	0	1	1	1	4	1	1	0	2	2	1	1	0	2	0	0	4.0	0	10	Fast service was called on the house one hour ago and they finally left five minutes ago.	0
21	2	0	5	2	1	2	1	1	0	7	0	0	0	1	2	0	0	3.0	1	13	They came, drank deeply, danced, laughed heartily, sang, and departed for the night with spirits elevated	0
12	2	0	2	0	0	0	3	0	0	3	0	1	0	2	2	1	0	3.0	2	5	She called him, wondering why he hadn't arrived yet.	0
16	0	0	1	1	0	7	1	2	0	1	1	0	1	0	1	1	0	3.0	0	5	Four days after my dog's funeral, the cemetery workers discovered a tiny grave robber	0
10	0	0	1	1	0	4	2	0	0	2	0	0	0	1	1	1	0	3.0	1	3	My sister had her tonsils taken out yesterday morning.	0
40	4	1	4	4	1	9	1	5	0	6	0	2	3	3	4	2	0	7.0	3	11	The storm was rolling in, thunder crackled loudly, and blue lighting lit the dark sky before crashing violently against the ground, causing a loud peal of thunder, which was then silenced by a moment of silence	0
17	2	0	3	3	1	1	3	0	0	3	1	0	0	1	1	1	0	3.0	1	9	Amazingly, he ran out and picked them up himself within ten minutes, barely panting.	0
12	0	1	0	1	1	3	2	1	0	3	0	0	0	1	1	1	0	3.0	1	5	My boss screamed and cursed while waving a finger near my face	0
6	0	0	1	0	0	2	2	0	0	1	0	0	0	0	1	1	0	2.0	0	2	My dog wags its tail.	0
20	1	1	1	2	0	3	1	3	0	4	0	0	3	2	3	1	1	4.0	3	7	The big brown waved reached out to catch the little red balloon before it floated away from the beach.	0
36	4	2	2	2	2	7	4	4	0	4	1	3	1	2	3	4	0	5.0	2	17	She had never been so relieved since the fireman pulled her from the debris four days ago, and the paramedics had given her the best painkillers before transporting her here for observation and diagnosis. 	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
14	2	1	0	1	0	2	2	1	0	3	0	1	0	2	1	1	0	4.0	2	6	It made sense that she would finally agree to meet with the detective alone	0
14	0	0	1	1	1	3	1	2	0	2	0	1	1	0	1	1	0	5.0	0	5	She'll get the kids ready and leave for the babysitters' house.	0
9	0	0	1	1	0	2	1	2	0	1	0	0	1	0	1	1	0	2.0	0	6	They found a dead body in the park.	0
20	0	0	2	2	0	2	2	2	4	2	0	2	1	1	1	1	0	4.0	1	11	Ms. Grieves, the boss of Greedy Corporation, will be meeting with us this Friday to sign our contracts	0
22	1	1	1	5	0	6	2	2	0	2	0	0	2	1	2	0	0	4.0	1	10	The rain beat against my closed eyes like tiny violins as I wandered away from the city in search of solace.	0
22	0	1	1	5	0	7	2	1	0	3	0	0	2	1	2	1	0	3.0	1	8	Bright flashes of light blinded his field of vision as flaming projectiles soared through the air toward him at incomprehensible speeds.	0
7	1	0	1	1	0	1	2	0	0	1	0	0	0	0	1	0	0	2.0	0	3	They never came for his party.	0
9	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	1	0	3.0	0	5	The cat chased it's tail for hours.	0
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	The tiger sneaked into the jungle unnoticed.	0
13	1	0	1	0	0	4	1	2	0	2	0	0	1	1	1	2	0	3.0	1	7	They visited the store twice a month to restock fresh fruit supplies.	0
10	0	1	1	1	0	2	1	2	0	2	0	0	0	1	1	1	0	3.0	1	4	He ate the sandwich while standing under a tree.	0
8	1	0	0	0	0	2	1	2	0	1	0	0	1	0	1	2	0	2.0	0	4	The waiter carefully poured me a small glass  	0
13	1	1	1	0	1	2	1	2	1	3	0	0	0	1	2	2	0	3.0	1	5	John quickly grabbed the bag and left the room before anyone noticed.	0
8	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	5	They went for a swim at midday.	0
