n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	SCONJ_constraint
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
6	0	0	1	0	0	1	1	1	0	1	0	1	0	0	2	0	1	3.0	1	4	All I need is love.	0
10	0	0	1	1	1	2	0	1	0	3	0	1	0	1	1	0	0	4.0	1	2	The park was filled with children playing and laughing. 	0
20	1	0	1	1	1	6	3	1	0	2	0	1	2	1	1	2	0	6.0	1	5	It was an excellent opportunity to further hone my skills and broaden my understanding of advanced data manipulation techniques.	0
9	1	0	1	0	1	1	0	0	1	0	0	1	2	0	1	0	0	3.0	0	3	Susan's smile was brilliant and beautifully contagious.	0
6	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1.0	0	3	It's not raining today.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
7	0	0	1	0	0	1	0	1	1	2	0	0	0	1	1	1	0	3.0	1	2	Lisa ran to catch the ball.	0
4	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1.0	0	1	I hate Mondays.	0
7	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The dog tail wagged with excitement.	0
9	2	0	0	1	0	2	1	1	0	2	0	0	0	1	1	0	0	3.0	1	5	She walked down to the park feeling quite content	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The ball landed in the hoop.	0
26	4	0	2	1	1	5	3	1	1	3	0	1	3	1	3	2	0	5.0	1	8	Jake's favorite hobby is collecting antique toy trains, and he recently found a particularly rare one that now sits proudly in his collection.	0
11	0	0	1	2	0	2	0	2	1	1	0	0	2	0	1	0	0	2.0	0	8	Judy swerved into the fast lane with a broad grin.	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	She went to the store.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun set slowly in the evening.	0
9	1	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	5	The sun set slowly in the red-orange sky.	0
8	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	2.0	0	3	I am absolutely positive about this suggestion.	0
12	1	0	1	1	0	2	2	1	0	1	0	1	1	1	1	1	0	4.0	1	3	I am confident in my ability to complete this task efficiently.	0
17	0	0	2	0	1	5	0	3	0	1	0	1	4	1	1	1	0	5.0	1	6	The new product launch was a huge success, attracting a large and loyal customer base.	0
14	0	0	1	1	0	3	2	3	0	1	0	1	2	1	2	0	0	3.0	1	6	A good start by the new president was what everyone wanted this year.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
9	0	0	1	0	0	1	3	1	1	1	0	1	0	1	2	2	0	3.0	1	3	It was John who gave me the present.	0
