n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	CCONJ_constraint
9	0	0	1	1	1	2	1	1	0	2	0	0	0	0	1	1	0	2.0	0	5	She walked to the store and bought eggs.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
9	0	0	1	0	1	2	0	1	0	1	0	1	2	0	1	1	0	3.0	0	2	The park was enormous and had several lakes.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
19	1	0	2	3	0	6	0	3	0	1	0	0	2	0	1	0	0	3.0	0	8	Under the bright moonlight, a group of crows gathered noisily at the park's largest oak tree. 	0
15	1	0	3	1	1	2	1	2	0	3	0	0	1	0	1	1	0	3.0	0	9	She walked into the park, smiled broadly, and enjoyed the warm sun.	0
9	0	0	1	1	0	3	0	3	0	1	0	0	0	0	1	1	0	2.0	0	5	The cat chased the mouse across the room.	0
13	1	0	2	2	0	2	0	2	1	2	0	0	1	1	1	0	0	3.0	1	6	Jorge walked slowly down the mountain, breathing in the chilly atmosphere.	0
14	1	0	2	1	1	4	0	3	0	2	0	0	0	1	1	1	0	4.0	1	7	The sun shone brightly, warming the flowers and birds on the grass. 	0
6	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	3	I walked to the store.	0
9	0	0	1	1	1	3	2	0	0	1	0	0	0	0	1	1	0	3.0	0	6	She bought apples and groceries with her neighbor.	0
12	1	0	2	1	0	2	0	2	0	1	0	1	2	0	1	0	0	2.0	0	7	The sun was shining brightly over the vast, green landscape.	0
8	1	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The sun rose above the horizon slowly.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
8	0	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	2.0	0	4	The car drove down the winding road.	0
9	0	0	1	1	1	1	1	0	1	2	1	0	0	0	1	1	0	3.0	0	4	She had three siblings and lived in Ohio.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
