n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	NUM_constraint
13	0	0	1	1	0	4	1	2	0	1	0	1	1	1	0	1	0	4.0	1	3	It's a relief to find a reliable partner in town hall.	0
20	1	0	2	2	2	5	1	1	0	2	0	1	3	1	1	2	0	4.0	1	7	Humans have long had a perplexing relationship to cats, treating them like both beloved pets and mysterious entities.	0
23	0	1	2	2	1	5	1	4	0	3	0	0	3	2	2	1	0	7.0	2	6	The cat pounced on the mouse as it scurried across the kitchen floor, ready to make a quick and satisfying meal.	0
8	0	0	1	1	0	3	1	1	0	1	0	0	0	0	1	1	0	2.0	0	4	The dog wagged its tail with excitement.	0
29	1	0	2	2	1	5	5	5	0	5	0	1	0	3	3	5	0	5.0	3	15	The manager gave me an assignment that I had no idea how to complete, but he expected it to be finished by the end of the week.	0
11	0	0	1	1	0	4	0	3	0	1	0	0	1	0	1	1	0	2.0	0	7	The manager made an unexpected proposal at the team meeting.	0
18	1	0	1	1	0	4	1	2	1	4	0	1	1	2	2	2	0	5.0	2	5	Electronic Arts may finally have the hit game it needs to drive growth in the coming months.	0
7	2	0	1	0	0	1	0	1	0	2	0	0	0	1	1	0	0	2.0	1	3	The cat purred contentedly when petted.	0
27	0	0	1	4	1	8	0	5	1	3	0	1	2	1	1	2	0	4.0	1	10	The CEO of the local restaurant has started a GoFundMe page to support the struggling employees and the struggling owners due to lack of food supplies. 	0
18	1	1	3	1	0	5	0	2	0	1	0	2	1	0	1	1	0	3.0	0	9	The most intelligent solution, in this case, would be to approach investors about raising capital.	0
16	1	1	1	1	0	5	0	4	0	2	0	0	1	1	2	1	0	3.0	1	6	The storm clouds darkened the sky as the sun set slowly in the western horizon.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat jumped off the table.	0
52	2	3	1	6	3	11	3	8	0	7	0	2	5	5	3	5	0	10.0	5	14	They will provide free WiFi so that the guests can have an additional way of enjoy their vacation on the beach by simply logging in to a secured and stable connection that has the potential to improve the stay and experience of the guest in a more enjoyable and memorable way. 	0
12	0	0	2	2	0	3	1	2	0	1	0	0	1	0	1	1	0	3.0	0	6	Without the need for further consideration, I submit this proposal.	0
16	0	2	2	0	0	2	2	1	0	3	0	2	1	1	2	1	1	3.0	2	6	As the popular proverb warns, do not count your chickens before they are hatched.	0
25	2	0	1	4	0	8	2	0	1	2	0	1	3	0	1	1	1	5.0	1	10	Just like what happened in Enron's initial VPP program they are find more interest in oil drilling projects rather than natural gas projects.	0
23	0	0	1	2	0	9	1	1	0	4	0	0	3	3	2	3	0	6.0	3	9	The new CEO wants to focus resources on projects that have better growth potential like renewable energy systems to offset carbon emissions.	0
34	1	1	1	4	1	7	1	4	2	6	0	0	3	4	2	2	0	8.0	4	10	The most critical challenge for the sustainability of agricultural growth in South Africa lies in maintaining the soil's ability to supply plants with the essential nutrient it needs to develop and prosper.	0
20	0	0	2	2	1	4	1	4	0	3	0	1	2	2	2	1	0	5.0	2	8	The rain fell on the garden like a deluge, creating a lush atmosphere that was inviting and peaceful.	0
18	1	2	0	1	0	3	1	2	1	3	0	3	1	2	2	1	0	3.0	2	12	John is thinking of taking the dog for a longer walk today than he has been doing lately	0
17	3	1	0	1	0	2	2	1	0	3	0	1	2	2	1	2	0	5.0	2	5	I will make sure to always wear my best clothes before visiting the bank from now on	0
27	0	1	2	3	0	4	1	1	4	4	0	2	3	3	1	1	0	7.0	3	7	Houston might not be getting ready to sell its building, despite a foreclosure hearing set for early March as announced in Houston Chronicle last week. 	0
