n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	PUNCT_constraint
11	1	1	1	0	0	1	2	1	0	2	0	1	1	1	2	1	0	2.0	1	7	I ate the cookie quickly before it could get stale.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets in the west.	0
9	1	0	1	1	0	2	0	2	1	1	0	0	0	0	1	0	0	2.0	0	4	Th e sun rose lazily in the sky.	0
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The monkey climbed up the tree.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred loudly on my lap.	0
17	0	0	1	2	2	3	2	2	1	3	0	0	0	1	1	1	0	5.0	1	5	Brian walked into the kitchen and started to cook a meal for himself and his friends.	0
8	1	0	1	1	0	2	1	1	0	1	0	0	0	0	1	0	0	2.0	0	4	The cat purred contentedly on my lap.	0
14	1	0	2	2	0	3	1	1	1	2	0	0	1	0	1	1	1	3.0	1	6	Walking slowly across town, Emma savored each bite of her juicy steak. (1 sentence)	0
13	0	0	0	2	1	3	1	3	0	3	0	0	0	1	1	1	0	5.0	1	5	I went to the park and saw a duck swimming in the lake	0
8	0	0	1	1	0	2	1	1	0	1	0	1	0	0	1	1	0	2.0	0	4	I will eat a sandwich for lunch.	0
7	0	0	1	0	0	2	0	1	0	2	0	0	1	1	1	1	0	2.0	1	3	Elephants roamed the grassy plains unencumbered.	0
12	0	0	1	1	1	5	1	1	0	1	0	0	0	0	1	1	0	3.0	0	6	The cat chased it's prey with lightning speed and agility.	0
18	1	1	0	2	0	6	1	3	0	2	0	0	2	1	1	1	0	3.0	1	9	She walked slowly up the mountain trail while watching a small bird land on a nearby tree branch	0
9	0	0	1	1	0	2	0	1	0	1	0	0	3	0	1	0	0	2.0	0	3	The quick brown fox jumps over tall dog.	0
6	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The baby laughed out loudly.	0
